time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	12.280000,-82.210000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.04352	12.850000,-82.070000,0.000000	91.620000,9.050000,0.000000	90.500000,-13.400000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.08878	12.780000,-82.080000,0.000000	91.650000,9.040000,0.000000	90.560000,-13.200000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.13064	12.960000,-82.010000,0.000000	91.700000,9.160000,0.000000	90.560000,-13.160000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.17964	14.260000,-81.820000,0.000000	91.700000,9.330000,0.000000	90.630000,-13.130000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.22395	14.520000,-81.630000,0.000000	91.780000,9.210000,0.000000	90.770000,-13.180000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.26503	14.030000,-81.460000,0.000000	91.790000,9.100000,0.000000	90.870000,-13.300000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.31464	14.550000,-81.570000,0.000000	91.830000,8.940000,0.000000	90.940000,-13.360000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.35945	14.650000,-81.480000,0.000000	91.910000,8.950000,0.000000	91.080000,-13.300000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.39765	13.980000,-81.630000,0.000000	92.020000,8.930000,0.000000	91.170000,-13.310000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.44856	16.210000,-81.460000,0.000000	92.060000,9.130000,0.000000	91.200000,-13.150000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.49400	17.820000,-81.340000,0.000000	91.940000,9.610000,0.000000	91.160000,-12.740000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.53225	19.900000,-81.110000,0.000000	92.020000,9.900000,0.000000	91.240000,-12.500000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.58505	19.230000,-81.210000,0.000000	92.030000,9.960000,0.000000	91.220000,-12.490000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.62884	20.480000,-81.250000,0.000000	91.950000,10.020000,0.000000	91.210000,-12.500000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.67207	19.850000,-81.440000,0.000000	91.840000,9.990000,0.000000	91.000000,-12.470000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.71364	17.130000,-81.400000,0.000000	91.810000,9.740000,0.000000	91.000000,-12.780000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.76454	15.730000,-81.390000,0.000000	91.740000,9.520000,0.000000	90.940000,-12.970000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.80546	13.840000,-81.460000,0.000000	91.710000,9.260000,0.000000	90.840000,-12.990000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.84611	13.000000,-81.530000,0.000000	91.670000,9.180000,0.000000	90.900000,-13.170000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.89468	13.100000,-81.430000,0.000000	91.720000,9.120000,0.000000	90.970000,-13.370000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.94398	12.510000,-81.310000,0.000000	91.710000,9.060000,0.000000	90.850000,-13.350000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
0.97762	12.550000,-81.290000,0.000000	91.690000,9.290000,0.000000	91.050000,-13.160000,0.000000	91.640000,9.120000,0.000000	90.480000,-13.270000,0.000000
