time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	-20.930000,-67.900000,0.000000	84.340000,42.590000,0.000000	135.230000,-88.140000,0.000000
0.137	-20.870000,-67.950000,0.000000	84.360000,42.600000,0.000000	131.390000,-88.150000,0.000000
0.262	-20.890000,-68.100000,0.000000	84.380000,42.570000,0.000000	132.790000,-88.110000,0.000000
0.400	-20.920000,-68.060000,0.000000	84.360000,42.560000,0.000000	132.140000,-88.130000,0.000000
0.525	-20.830000,-68.000000,0.000000	84.280000,42.490000,0.000000	133.460000,-88.050000,0.000000
0.649	-21.030000,-68.050000,0.000000	84.170000,42.560000,0.000000	133.510000,-87.990000,0.000000
0.787	-21.110000,-68.010000,0.000000	84.230000,42.590000,0.000000	136.590000,-87.960000,0.000000
0.912	-21.390000,-67.900000,0.000000	84.170000,42.650000,0.000000	135.960000,-87.880000,0.000000
1.062	-21.370000,-67.940000,0.000000	84.210000,42.560000,0.000000	135.640000,-87.860000,0.000000
1.174	-21.450000,-68.010000,0.000000	84.200000,42.490000,0.000000	134.240000,-87.900000,0.000000
1.300	-21.290000,-68.070000,0.000000	84.300000,42.400000,0.000000	129.460000,-88.010000,0.000000
1.437	-21.490000,-68.120000,0.000000	84.220000,42.290000,0.000000	131.810000,-88.040000,0.000000
1.562	-21.660000,-68.020000,0.000000	84.150000,42.370000,0.000000	133.240000,-88.210000,0.000000
1.700	-21.730000,-68.260000,0.000000	84.200000,42.190000,0.000000	137.140000,-88.210000,0.000000
1.824	-20.940000,-68.210000,0.000000	84.070000,42.210000,0.000000	143.330000,-88.040000,0.000000
1.949	-19.360000,-68.670000,0.000000	83.940000,41.710000,0.000000	124.060000,-87.980000,0.000000
2.087	-19.670000,-68.750000,0.000000	84.200000,41.820000,0.000000	131.640000,-86.710000,0.000000
2.213	-19.540000,-68.740000,0.000000	84.350000,41.510000,0.000000	137.040000,-86.570000,0.000000
2.350	-17.140000,-69.430000,0.000000	83.830000,40.630000,0.000000	118.700000,-85.420000,0.000000
2.475	-17.270000,-69.850000,0.000000	82.170000,39.790000,0.000000	126.730000,-84.750000,0.000000
2.600	-21.200000,-69.940000,0.000000	81.360000,38.270000,0.000000	133.870000,-83.190000,0.000000
2.737	-23.060000,-70.630000,0.000000	81.180000,36.850000,0.000000	137.590000,-82.020000,0.000000
2.862	-25.300000,-71.490000,0.000000	81.240000,34.750000,0.000000	132.260000,-81.900000,0.000000
3.000	-26.750000,-72.620000,0.000000	80.990000,33.040000,0.000000	117.100000,-79.630000,0.000000
3.125	-32.290000,-73.280000,0.000000	81.550000,29.730000,0.000000	99.030000,-77.910000,0.000000
3.250	-39.790000,-74.830000,0.000000	81.510000,26.490000,0.000000	85.750000,-76.720000,0.000000
3.387	-44.660000,-75.960000,0.000000	81.500000,24.010000,0.000000	76.150000,-75.820000,0.000000
3.512	-50.940000,-76.760000,0.000000	81.470000,21.200000,0.000000	72.440000,-76.380000,0.000000
3.649	-53.930000,-77.370000,0.000000	81.840000,19.330000,0.000000	74.590000,-76.810000,0.000000
3.775	-56.850000,-77.510000,0.000000	81.060000,17.770000,0.000000	86.780000,-76.380000,0.000000
3.900	-59.170000,-77.640000,0.000000	81.370000,16.610000,0.000000	40.320000,-74.250000,0.000000
4.037	-59.650000,-77.680000,0.000000	81.430000,15.580000,0.000000	58.780000,-71.490000,0.000000
4.163	-60.600000,-77.680000,0.000000	81.760000,14.550000,0.000000	16.200000,-67.990000,0.000000
4.300	-61.410000,-77.730000,0.000000	81.960000,13.770000,0.000000	-21.450000,-63.470000,0.000000
4.425	-61.450000,-77.720000,0.000000	82.330000,13.390000,0.000000	-54.960000,-58.900000,0.000000
4.550	-60.470000,-77.640000,0.000000	82.640000,13.140000,0.000000	-85.060000,-54.900000,0.000000
4.688	-59.490000,-77.650000,0.000000	82.860000,12.940000,0.000000	-110.690000,-51.680000,0.000000
4.812	-59.330000,-77.340000,0.000000	82.570000,13.160000,0.000000	-132.310000,-52.140000,0.000000
4.950	-59.290000,-77.090000,0.000000	82.820000,12.990000,0.000000	137.150000,-55.660000,0.000000
5.075	-59.920000,-77.100000,0.000000	82.890000,12.880000,0.000000	108.980000,-59.060000,0.000000
5.200	-59.590000,-77.250000,0.000000	83.290000,12.690000,0.000000	89.850000,-60.310000,0.000000
5.338	-61.320000,-77.120000,0.000000	83.570000,12.510000,0.000000	71.650000,-62.820000,0.000000
