time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	150.470000,2.010000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.12350	150.460000,2.010000,0.000000	-56.550000,-73.330000,0.000000	112.310000,-40.520000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.12550	150.470000,2.020000,0.000000	-56.420000,-73.330000,0.000000	112.260000,-40.480000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.14631	150.460000,2.050000,0.000000	-56.170000,-73.360000,0.000000	112.250000,-40.530000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.18468	150.410000,2.010000,0.000000	-56.280000,-73.330000,0.000000	112.210000,-40.550000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.22980	150.420000,2.000000,0.000000	-56.330000,-73.320000,0.000000	112.180000,-40.460000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.26693	150.440000,2.000000,0.000000	-56.300000,-73.290000,0.000000	112.170000,-40.470000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.31875	150.440000,2.030000,0.000000	-56.220000,-73.340000,0.000000	112.140000,-40.490000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.35955	150.470000,2.000000,0.000000	-56.340000,-73.350000,0.000000	112.120000,-40.530000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.40990	150.500000,1.960000,0.000000	-56.310000,-73.390000,0.000000	112.100000,-40.550000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.45505	150.530000,1.900000,0.000000	-56.320000,-73.400000,0.000000	112.050000,-40.570000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.49851	150.490000,1.870000,0.000000	-56.360000,-73.360000,0.000000	112.040000,-40.580000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.53834	150.460000,1.840000,0.000000	-56.510000,-73.310000,0.000000	112.060000,-40.600000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.58707	150.440000,1.840000,0.000000	-56.490000,-73.290000,0.000000	112.020000,-40.610000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.62977	150.450000,1.830000,0.000000	-56.410000,-73.330000,0.000000	112.000000,-40.600000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.68002	150.430000,1.810000,0.000000	-56.490000,-73.340000,0.000000	112.020000,-40.610000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.72289	150.400000,1.770000,0.000000	-56.390000,-73.310000,0.000000	112.020000,-40.670000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.76996	150.450000,1.800000,0.000000	-56.410000,-73.270000,0.000000	112.010000,-40.610000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.81453	150.440000,1.840000,0.000000	-56.480000,-73.250000,0.000000	112.080000,-40.600000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.85787	150.450000,1.830000,0.000000	-56.470000,-73.260000,0.000000	112.120000,-40.530000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.89886	150.410000,1.860000,0.000000	-56.560000,-73.250000,0.000000	112.100000,-40.530000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.95234	150.480000,1.820000,0.000000	-56.330000,-73.260000,0.000000	112.070000,-40.460000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
0.99657	150.500000,1.840000,0.000000	-56.210000,-73.270000,0.000000	112.000000,-40.520000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.03872	150.550000,1.900000,0.000000	-56.210000,-73.290000,0.000000	112.060000,-40.550000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.08218	150.510000,1.870000,0.000000	-56.220000,-73.280000,0.000000	112.070000,-40.500000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.13163	150.500000,1.940000,0.000000	-56.360000,-73.260000,0.000000	112.070000,-40.480000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.16575	150.430000,1.960000,0.000000	-56.210000,-73.230000,0.000000	112.110000,-40.510000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.21696	150.370000,1.990000,0.000000	-56.170000,-73.270000,0.000000	112.090000,-40.440000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.26581	150.340000,1.960000,0.000000	-56.180000,-73.240000,0.000000	112.090000,-40.370000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.31684	150.340000,2.000000,0.000000	-56.100000,-73.260000,0.000000	112.080000,-40.360000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.38306	150.300000,1.970000,0.000000	-56.160000,-73.280000,0.000000	112.100000,-40.370000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.43840	150.360000,2.000000,0.000000	-56.040000,-73.260000,0.000000	112.040000,-40.380000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.44754	150.370000,1.990000,0.000000	-56.020000,-73.250000,0.000000	112.050000,-40.310000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.49992	150.340000,2.040000,0.000000	-56.050000,-73.220000,0.000000	112.050000,-40.280000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.56412	150.330000,2.040000,0.000000	-56.130000,-73.220000,0.000000	112.080000,-40.280000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.61655	150.350000,2.030000,0.000000	-56.280000,-73.190000,0.000000	112.100000,-40.240000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.62762	150.340000,1.950000,0.000000	-56.230000,-73.150000,0.000000	112.140000,-40.220000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.68386	150.380000,1.920000,0.000000	-56.140000,-73.140000,0.000000	112.180000,-40.240000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.74738	150.360000,1.940000,0.000000	-56.090000,-73.130000,0.000000	112.110000,-40.250000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.80556	150.370000,1.990000,0.000000	-56.230000,-73.090000,0.000000	112.080000,-40.240000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.80736	150.370000,2.000000,0.000000	-56.300000,-73.120000,0.000000	112.120000,-40.280000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.86547	150.430000,1.980000,0.000000	-56.480000,-73.140000,0.000000	112.180000,-40.210000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.91831	150.440000,1.970000,0.000000	-56.490000,-73.120000,0.000000	112.110000,-40.190000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.98218	150.500000,1.930000,0.000000	-56.610000,-73.110000,0.000000	112.170000,-40.150000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
1.98734	150.560000,1.920000,0.000000	-56.510000,-73.100000,0.000000	112.200000,-40.180000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
2.04560	150.520000,1.930000,0.000000	-56.460000,-73.120000,0.000000	112.160000,-40.170000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
2.10484	150.560000,1.910000,0.000000	-56.290000,-73.140000,0.000000	112.130000,-40.170000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
2.21927	150.550000,1.920000,0.000000	-56.160000,-73.150000,0.000000	112.140000,-40.200000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
2.22763	150.610000,1.860000,0.000000	-56.290000,-73.120000,0.000000	112.140000,-40.260000,0.000000	-56.700000,-73.330000,0.000000	112.300000,-40.520000,0.000000
