time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	-6.590000,-83.570000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
0.120	-6.360000,-83.500000,0.000000	85.830000,-26.350000,0.000000	90.910000,-4.690000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
0.256	-6.390000,-83.460000,0.000000	85.870000,-26.430000,0.000000	90.840000,-4.750000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
0.391	-6.730000,-83.350000,0.000000	85.820000,-26.350000,0.000000	90.750000,-4.720000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
0.510	-7.190000,-83.260000,0.000000	85.760000,-26.370000,0.000000	90.760000,-4.780000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
0.645	-6.470000,-83.360000,0.000000	85.840000,-26.240000,0.000000	90.710000,-4.570000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
0.780	-7.070000,-83.360000,0.000000	85.780000,-26.290000,0.000000	90.570000,-4.520000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
0.901	-6.430000,-83.140000,0.000000	85.730000,-26.410000,0.000000	90.570000,-4.570000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
1.051	-5.700000,-83.100000,0.000000	85.720000,-26.420000,0.000000	90.600000,-4.600000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
1.170	-6.140000,-83.020000,0.000000	85.840000,-26.450000,0.000000	90.650000,-4.690000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
1.290	-5.800000,-82.900000,0.000000	85.740000,-26.430000,0.000000	90.620000,-4.700000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
1.425	-6.870000,-83.100000,0.000000	85.600000,-26.330000,0.000000	90.530000,-4.670000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
1.575	-5.990000,-83.060000,0.000000	85.640000,-26.530000,0.000000	90.550000,-4.780000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
1.680	-7.210000,-83.080000,0.000000	85.750000,-26.700000,0.000000	90.520000,-4.810000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
1.816	-7.840000,-83.090000,0.000000	85.840000,-26.690000,0.000000	90.600000,-4.810000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
1.951	-6.450000,-83.190000,0.000000	85.930000,-26.600000,0.000000	90.740000,-4.730000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
2.071	-5.790000,-83.390000,0.000000	86.030000,-26.470000,0.000000	90.880000,-4.790000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
2.206	-6.280000,-83.460000,0.000000	86.190000,-26.410000,0.000000	90.940000,-4.750000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
2.340	-6.780000,-83.500000,0.000000	86.240000,-26.510000,0.000000	90.980000,-4.700000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
2.460	-7.090000,-83.550000,0.000000	86.320000,-26.500000,0.000000	91.130000,-4.830000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
2.610	-6.330000,-83.620000,0.000000	86.260000,-26.630000,0.000000	91.170000,-4.840000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
2.731	-5.850000,-83.740000,0.000000	86.370000,-26.600000,0.000000	91.170000,-4.790000,0.000000	85.810000,-26.430000,0.000000	90.900000,-4.780000,0.000000
