time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	9.180000,-60.110000,0.000000	88.320000,8.550000,0.000000	56.620000,-86.180000,0.000000
0.120	9.120000,-60.100000,0.000000	88.340000,8.460000,0.000000	56.740000,-86.310000,0.000000
0.255	9.250000,-60.160000,0.000000	88.480000,8.410000,0.000000	57.750000,-86.430000,0.000000
0.391	9.170000,-60.320000,0.000000	88.510000,8.360000,0.000000	58.490000,-86.430000,0.000000
0.511	9.360000,-60.530000,0.000000	88.500000,8.380000,0.000000	59.460000,-86.520000,0.000000
0.645	9.580000,-60.710000,0.000000	88.570000,8.230000,0.000000	59.040000,-86.430000,0.000000
0.781	9.830000,-60.940000,0.000000	88.630000,8.190000,0.000000	58.010000,-86.410000,0.000000
0.930	9.860000,-61.170000,0.000000	88.620000,8.100000,0.000000	56.440000,-86.570000,0.000000
1.035	9.850000,-61.380000,0.000000	88.680000,7.860000,0.000000	56.290000,-86.670000,0.000000
1.171	9.790000,-61.620000,0.000000	88.750000,7.910000,0.000000	58.250000,-86.720000,0.000000
1.291	9.760000,-61.750000,0.000000	88.680000,7.910000,0.000000	57.520000,-86.760000,0.000000
1.426	9.600000,-61.740000,0.000000	88.620000,7.820000,0.000000	58.030000,-86.740000,0.000000
1.561	9.730000,-61.750000,0.000000	88.740000,7.870000,0.000000	60.140000,-86.730000,0.000000
1.681	9.920000,-61.800000,0.000000	88.720000,7.920000,0.000000	61.000000,-86.700000,0.000000
1.815	9.830000,-61.760000,0.000000	88.750000,7.890000,0.000000	59.350000,-86.730000,0.000000
1.951	9.820000,-61.740000,0.000000	88.750000,7.970000,0.000000	59.850000,-86.720000,0.000000
2.071	9.820000,-61.730000,0.000000	88.660000,8.030000,0.000000	60.720000,-86.600000,0.000000
2.205	9.780000,-61.570000,0.000000	88.710000,8.160000,0.000000	58.700000,-86.710000,0.000000
2.341	9.930000,-61.680000,0.000000	88.700000,8.090000,0.000000	58.000000,-86.690000,0.000000
2.460	10.090000,-61.600000,0.000000	88.760000,8.090000,0.000000	59.140000,-86.630000,0.000000
2.596	9.970000,-61.590000,0.000000	88.850000,8.030000,0.000000	61.190000,-86.570000,0.000000
2.730	9.990000,-61.640000,0.000000	88.770000,8.040000,0.000000	60.880000,-86.630000,0.000000
2.850	9.820000,-61.710000,0.000000	88.750000,7.980000,0.000000	60.040000,-86.690000,0.000000
2.985	9.880000,-61.800000,0.000000	88.650000,8.060000,0.000000	59.310000,-86.670000,0.000000
3.121	9.840000,-61.720000,0.000000	88.600000,7.920000,0.000000	58.820000,-86.790000,0.000000
3.241	9.550000,-61.700000,0.000000	88.670000,7.790000,0.000000	58.560000,-86.790000,0.000000
3.376	9.460000,-61.780000,0.000000	88.720000,7.880000,0.000000	55.330000,-86.820000,0.000000
3.510	9.810000,-61.760000,0.000000	88.660000,7.780000,0.000000	56.610000,-86.680000,0.000000
3.630	9.710000,-61.850000,0.000000	88.680000,7.740000,0.000000	57.980000,-86.590000,0.000000
3.766	9.850000,-61.830000,0.000000	88.670000,7.750000,0.000000	59.530000,-86.620000,0.000000
3.900	9.880000,-61.920000,0.000000	88.670000,7.770000,0.000000	59.000000,-86.570000,0.000000
4.020	9.790000,-61.880000,0.000000	88.720000,7.810000,0.000000	59.600000,-86.700000,0.000000
4.156	10.020000,-61.880000,0.000000	88.860000,7.770000,0.000000	57.410000,-86.840000,0.000000
4.290	10.080000,-61.800000,0.000000	88.860000,7.840000,0.000000	55.000000,-86.760000,0.000000
4.411	10.080000,-61.890000,0.000000	88.770000,7.780000,0.000000	51.300000,-86.960000,0.000000
4.545	10.280000,-61.800000,0.000000	88.900000,7.840000,0.000000	50.740000,-86.780000,0.000000
4.680	11.440000,-61.810000,0.000000	88.750000,8.010000,0.000000	47.320000,-86.740000,0.000000
4.800	11.640000,-61.900000,0.000000	88.550000,8.020000,0.000000	44.080000,-86.770000,0.000000
4.936	11.160000,-62.140000,0.000000	88.280000,8.070000,0.000000	40.780000,-86.650000,0.000000
5.071	10.600000,-62.280000,0.000000	88.020000,7.650000,0.000000	38.070000,-86.450000,0.000000
5.191	10.240000,-62.380000,0.000000	87.750000,7.450000,0.000000	32.390000,-86.420000,0.000000
5.326	9.990000,-62.670000,0.000000	87.420000,7.250000,0.000000	32.250000,-86.270000,0.000000
5.460	9.400000,-62.890000,0.000000	87.140000,6.910000,0.000000	25.810000,-86.210000,0.000000
5.581	8.710000,-63.150000,0.000000	87.070000,6.070000,0.000000	20.900000,-86.250000,0.000000
5.715	9.640000,-63.150000,0.000000	86.650000,6.250000,0.000000	18.770000,-86.140000,0.000000
5.851	11.350000,-62.940000,0.000000	87.360000,5.040000,0.000000	0.110000,-85.020000,0.000000
5.970	8.910000,-62.900000,0.000000	87.590000,3.440000,0.000000	19.390000,-84.000000,0.000000
6.106	8.280000,-63.420000,0.000000	87.130000,0.650000,0.000000	0.530000,-83.970000,0.000000
6.241	7.830000,-64.320000,0.000000	87.760000,-3.770000,0.000000	-17.620000,-84.250000,0.000000
6.360	7.280000,-65.450000,0.000000	88.860000,-8.600000,0.000000	-34.190000,-83.410000,0.000000
6.496	7.710000,-66.240000,0.000000	89.430000,-13.770000,0.000000	-48.570000,-81.920000,0.000000
6.631	6.030000,-67.390000,0.000000	89.790000,-19.990000,0.000000	-60.650000,-78.320000,0.000000
6.751	3.510000,-68.690000,0.000000	90.010000,-26.770000,0.000000	-71.380000,-74.490000,0.000000
6.885	3.250000,-70.590000,0.000000	91.290000,-33.890000,0.000000	-79.710000,-70.360000,0.000000
7.021	3.830000,-72.300000,0.000000	91.670000,-41.070000,0.000000	-86.860000,-65.710000,0.000000
7.141	-4.590000,-74.110000,0.000000	91.480000,-47.870000,0.000000	-92.690000,-60.870000,0.000000
7.275	-13.320000,-75.900000,0.000000	89.300000,-55.180000,0.000000	-97.630000,-56.060000,0.000000
7.411	-23.120000,-77.380000,0.000000	88.030000,-61.880000,0.000000	-100.570000,-51.680000,0.000000
7.530	-26.240000,-79.690000,0.000000	85.910000,-67.300000,0.000000	-102.610000,-47.210000,0.000000
7.666	-32.590000,-81.120000,0.000000	84.000000,-71.720000,0.000000	-104.920000,-43.130000,0.000000
7.800	-40.020000,-82.230000,0.000000	82.560000,-75.880000,0.000000	-106.030000,-39.560000,0.000000
7.920	-42.710000,-82.990000,0.000000	81.320000,-78.590000,0.000000	-107.060000,-37.040000,0.000000
8.056	-45.480000,-83.530000,0.000000	80.890000,-80.890000,0.000000	-107.990000,-34.950000,0.000000
8.190	-45.570000,-83.880000,0.000000	81.270000,-82.150000,0.000000	-108.330000,-33.280000,0.000000
8.311	-47.000000,-83.940000,0.000000	82.000000,-83.050000,0.000000	-107.830000,-32.130000,0.000000
8.445	-48.180000,-83.950000,0.000000	81.480000,-83.530000,0.000000	-107.060000,-31.370000,0.000000
8.581	-46.600000,-84.140000,0.000000	81.020000,-83.410000,0.000000	-106.110000,-30.850000,0.000000
8.700	-47.470000,-84.400000,0.000000	81.030000,-83.200000,0.000000	-104.950000,-30.780000,0.000000
8.836	-46.130000,-84.520000,0.000000	80.750000,-82.670000,0.000000	-103.580000,-30.730000,0.000000
