time	pelvis_imu	femur_r_imu	tibia_r_imu
8.970	-45.520000,-84.320000,0.000000	80.690000,-81.860000,0.000000	-102.560000,-30.960000,0.000000
9.090	-46.910000,-84.250000,0.000000	80.450000,-80.710000,0.000000	-101.330000,-31.290000,0.000000
9.225	-44.900000,-84.220000,0.000000	80.350000,-79.640000,0.000000	-99.960000,-31.400000,0.000000
9.360	-46.030000,-83.930000,0.000000	80.210000,-78.750000,0.000000	-98.670000,-31.750000,0.000000
9.481	-46.900000,-83.700000,0.000000	80.850000,-77.950000,0.000000	-97.160000,-31.990000,0.000000
9.615	-44.140000,-83.530000,0.000000	81.060000,-76.660000,0.000000	-95.760000,-32.730000,0.000000
9.750	-44.230000,-83.230000,0.000000	81.570000,-75.760000,0.000000	-94.360000,-32.920000,0.000000
9.870	-42.360000,-83.070000,0.000000	81.830000,-74.840000,0.000000	-93.120000,-33.330000,0.000000
10.005	-41.630000,-82.980000,0.000000	81.850000,-73.690000,0.000000	-91.790000,-33.490000,0.000000
10.141	-39.800000,-82.820000,0.000000	81.890000,-72.530000,0.000000	-90.620000,-34.240000,0.000000
10.260	-38.040000,-82.570000,0.000000	81.720000,-71.400000,0.000000	-90.080000,-34.890000,0.000000
10.396	-36.030000,-82.510000,0.000000	82.460000,-70.560000,0.000000	-89.160000,-35.810000,0.000000
10.530	-35.170000,-82.440000,0.000000	82.960000,-69.510000,0.000000	-88.330000,-36.660000,0.000000
10.651	-36.440000,-82.340000,0.000000	83.080000,-69.150000,0.000000	-87.360000,-36.900000,0.000000
10.785	-37.330000,-82.290000,0.000000	83.260000,-68.550000,0.000000	-86.520000,-37.120000,0.000000
10.920	-38.380000,-82.130000,0.000000	83.620000,-68.070000,0.000000	-85.880000,-37.610000,0.000000
11.041	-38.020000,-82.090000,0.000000	84.310000,-67.250000,0.000000	-85.340000,-38.190000,0.000000
11.175	-33.730000,-81.980000,0.000000	84.870000,-66.280000,0.000000	-85.260000,-38.710000,0.000000
11.311	-29.380000,-82.070000,0.000000	84.890000,-65.720000,0.000000	-84.810000,-39.030000,0.000000
11.430	-27.160000,-81.870000,0.000000	85.230000,-65.180000,0.000000	-85.030000,-39.310000,0.000000
11.566	-28.450000,-81.690000,0.000000	86.740000,-65.300000,0.000000	-85.250000,-39.280000,0.000000
11.700	-25.520000,-82.010000,0.000000	87.370000,-64.890000,0.000000	-85.380000,-39.370000,0.000000
11.821	-23.100000,-82.040000,0.000000	88.060000,-64.570000,0.000000	-85.200000,-39.380000,0.000000
11.956	-22.350000,-81.980000,0.000000	88.340000,-64.270000,0.000000	-85.280000,-39.390000,0.000000
12.091	-22.800000,-82.120000,0.000000	89.180000,-64.210000,0.000000	-85.140000,-39.390000,0.000000
12.211	-19.580000,-82.090000,0.000000	90.090000,-63.740000,0.000000	-85.290000,-39.740000,0.000000
12.345	-18.090000,-82.330000,0.000000	90.590000,-63.650000,0.000000	-85.310000,-40.020000,0.000000
12.481	-16.680000,-82.320000,0.000000	90.890000,-63.300000,0.000000	-85.510000,-40.470000,0.000000
12.600	-16.080000,-82.390000,0.000000	91.210000,-62.890000,0.000000	-85.450000,-40.790000,0.000000
12.735	-16.200000,-82.400000,0.000000	91.660000,-62.530000,0.000000	-85.710000,-40.960000,0.000000
12.871	-16.070000,-82.370000,0.000000	92.130000,-62.350000,0.000000	-85.750000,-41.190000,0.000000
12.990	-15.540000,-82.380000,0.000000	92.360000,-62.320000,0.000000	-85.910000,-41.440000,0.000000
13.126	-13.820000,-82.400000,0.000000	92.700000,-62.120000,0.000000	-86.300000,-41.690000,0.000000
13.260	-11.860000,-82.470000,0.000000	92.970000,-62.020000,0.000000	-86.630000,-41.980000,0.000000
13.381	-12.750000,-82.490000,0.000000	93.110000,-61.920000,0.000000	-87.000000,-42.310000,0.000000
13.515	-14.890000,-82.490000,0.000000	93.720000,-62.090000,0.000000	-86.750000,-42.240000,0.000000
13.650	-15.490000,-82.550000,0.000000	93.130000,-62.050000,0.000000	-86.750000,-42.360000,0.000000
13.771	-16.900000,-82.730000,0.000000	93.000000,-62.260000,0.000000	-86.800000,-42.350000,0.000000
13.905	-18.420000,-82.700000,0.000000	92.710000,-62.300000,0.000000	-86.950000,-42.380000,0.000000
14.041	-18.410000,-82.720000,0.000000	92.500000,-62.310000,0.000000	-87.030000,-42.480000,0.000000
14.160	-18.880000,-82.770000,0.000000	92.240000,-62.480000,0.000000	-87.070000,-42.490000,0.000000
14.295	-19.070000,-82.740000,0.000000	91.830000,-62.530000,0.000000	-87.210000,-42.590000,0.000000
14.430	-18.280000,-82.720000,0.000000	90.970000,-62.530000,0.000000	-87.300000,-42.620000,0.000000
14.550	-18.180000,-82.850000,0.000000	90.920000,-62.660000,0.000000	-87.290000,-42.760000,0.000000
14.684	-18.190000,-82.900000,0.000000	89.570000,-62.840000,0.000000	-87.320000,-42.550000,0.000000
14.821	-19.860000,-82.910000,0.000000	88.830000,-63.270000,0.000000	-87.360000,-42.190000,0.000000
14.940	-21.770000,-82.980000,0.000000	88.770000,-63.660000,0.000000	-87.160000,-42.480000,0.000000
15.075	-21.300000,-83.120000,0.000000	88.430000,-63.610000,0.000000	-87.570000,-42.750000,0.000000
15.211	-20.160000,-83.170000,0.000000	87.990000,-63.760000,0.000000	-87.790000,-42.560000,0.000000
15.330	-18.580000,-83.310000,0.000000	88.090000,-63.810000,0.000000	-87.890000,-42.650000,0.000000
15.466	-18.430000,-83.500000,0.000000	88.670000,-64.480000,0.000000	-88.940000,-44.550000,0.000000
15.600	-20.430000,-83.490000,0.000000	87.460000,-65.390000,0.000000	-89.200000,-47.170000,0.000000
15.721	-21.600000,-83.040000,0.000000	86.630000,-66.370000,0.000000	-89.250000,-50.040000,0.000000
15.856	-22.560000,-82.600000,0.000000	84.650000,-67.750000,0.000000	-89.240000,-54.010000,0.000000
15.990	-24.880000,-82.250000,0.000000	83.490000,-69.280000,0.000000	-87.380000,-59.230000,0.000000
16.111	-24.130000,-82.420000,0.000000	83.860000,-70.540000,0.000000	-101.330000,-64.460000,0.000000
16.245	-23.530000,-82.150000,0.000000	83.400000,-71.180000,0.000000	110.710000,-69.460000,0.000000
16.381	-25.820000,-81.740000,0.000000	83.880000,-72.300000,0.000000	110.190000,-73.080000,0.000000
16.500	-28.110000,-81.710000,0.000000	82.420000,-73.510000,0.000000	105.820000,-76.210000,0.000000
16.635	-29.640000,-81.500000,0.000000	82.890000,-74.510000,0.000000	105.790000,-78.500000,0.000000
16.770	-30.670000,-81.390000,0.000000	81.910000,-74.970000,0.000000	102.810000,-80.560000,0.000000
16.890	-30.190000,-81.020000,0.000000	81.370000,-75.390000,0.000000	99.160000,-82.540000,0.000000
17.026	-30.270000,-80.750000,0.000000	81.190000,-75.400000,0.000000	97.220000,-84.080000,0.000000
17.160	-30.620000,-80.470000,0.000000	80.980000,-75.640000,0.000000	90.300000,-85.980000,0.000000
17.281	-30.870000,-80.200000,0.000000	80.110000,-75.790000,0.000000	87.240000,-87.440000,0.000000
17.415	-30.970000,-79.840000,0.000000	79.900000,-75.980000,0.000000	83.650000,-88.840000,0.000000
17.551	-31.620000,-79.620000,0.000000	80.210000,-76.090000,0.000000	79.270000,-89.890000,0.000000
17.671	-31.770000,-79.380000,0.000000	80.500000,-75.960000,0.000000	73.230000,-90.720000,0.000000
17.821	-32.590000,-79.260000,0.000000	81.090000,-76.010000,0.000000	69.820000,-91.600000,0.000000
17.941	-32.340000,-79.220000,0.000000	82.040000,-75.990000,0.000000	68.720000,-92.140000,0.000000
18.075	-31.840000,-79.080000,0.000000	82.410000,-75.840000,0.000000	65.180000,-92.650000,0.000000
18.196	-29.840000,-79.130000,0.000000	82.860000,-75.730000,0.000000	63.860000,-92.870000,0.000000
18.330	-29.020000,-79.110000,0.000000	83.350000,-75.680000,0.000000	63.970000,-93.100000,0.000000
18.451	-28.440000,-79.310000,0.000000	82.810000,-75.550000,0.000000	61.980000,-93.000000,0.000000
18.585	-28.980000,-79.270000,0.000000	83.330000,-75.430000,0.000000	55.200000,-93.170000,0.000000
18.720	-28.430000,-79.320000,0.000000	82.930000,-75.560000,0.000000	38.980000,-93.390000,0.000000
18.841	-29.050000,-79.410000,0.000000	82.450000,-75.610000,0.000000	20.300000,-93.410000,0.000000
18.974	-29.210000,-79.630000,0.000000	82.310000,-75.600000,0.000000	12.750000,-93.520000,0.000000
19.110	-30.440000,-79.670000,0.000000	82.800000,-75.590000,0.000000	12.770000,-93.470000,0.000000
19.230	-29.950000,-79.760000,0.000000	83.140000,-75.600000,0.000000	6.310000,-93.310000,0.000000
19.366	-29.040000,-79.930000,0.000000	83.170000,-75.630000,0.000000	15.480000,-93.210000,0.000000
19.515	-29.980000,-79.840000,0.000000	83.890000,-75.560000,0.000000	16.210000,-93.090000,0.000000
19.620	-28.680000,-79.810000,0.000000	84.030000,-75.530000,0.000000	9.720000,-92.830000,0.000000
19.754	-28.640000,-79.780000,0.000000	83.690000,-75.190000,0.000000	12.630000,-92.550000,0.000000
19.890	-28.370000,-79.960000,0.000000	83.770000,-74.990000,0.000000	13.230000,-92.260000,0.000000
20.010	-28.770000,-79.950000,0.000000	84.500000,-74.850000,0.000000	14.050000,-92.000000,0.000000
20.145	-28.640000,-79.860000,0.000000	84.430000,-74.810000,0.000000	13.710000,-91.730000,0.000000
20.281	-28.310000,-79.820000,0.000000	84.950000,-74.750000,0.000000	4.450000,-91.450000,0.000000
20.400	-27.990000,-79.760000,0.000000	85.780000,-74.440000,0.000000	5.440000,-91.040000,0.000000
20.536	-26.630000,-79.970000,0.000000	86.210000,-74.150000,0.000000	-1.740000,-90.560000,0.000000
20.671	-26.190000,-79.930000,0.000000	86.470000,-74.190000,0.000000	-13.010000,-90.240000,0.000000
20.790	-25.510000,-79.990000,0.000000	87.060000,-74.170000,0.000000	-24.660000,-90.140000,0.000000
20.926	-24.330000,-79.980000,0.000000	87.300000,-74.000000,0.000000	-28.470000,-89.880000,0.000000
21.060	-24.580000,-79.990000,0.000000	87.320000,-73.750000,0.000000	-24.380000,-89.640000,0.000000
21.181	-24.230000,-79.780000,0.000000	87.600000,-73.270000,0.000000	-22.740000,-89.400000,0.000000
21.316	-24.390000,-79.630000,0.000000	87.970000,-73.270000,0.000000	-16.440000,-89.450000,0.000000
21.451	-24.270000,-79.270000,0.000000	88.580000,-73.390000,0.000000	-41.680000,-89.340000,0.000000
21.571	-24.480000,-79.140000,0.000000	88.850000,-73.320000,0.000000	-51.000000,-89.090000,0.000000
21.705	-23.560000,-79.140000,0.000000	88.360000,-73.250000,0.000000	-56.800000,-88.980000,0.000000
21.841	-24.470000,-78.930000,0.000000	88.520000,-73.350000,0.000000	-47.890000,-89.050000,0.000000
21.960	-24.690000,-78.870000,0.000000	88.460000,-73.210000,0.000000	-59.800000,-88.940000,0.000000
22.096	-23.610000,-78.960000,0.000000	88.260000,-72.970000,0.000000	-53.650000,-88.840000,0.000000
22.230	-23.230000,-79.000000,0.000000	88.460000,-72.820000,0.000000	-56.930000,-88.710000,0.000000
22.351	-22.600000,-79.060000,0.000000	89.040000,-72.720000,0.000000	-64.940000,-88.580000,0.000000
22.485	-22.340000,-79.070000,0.000000	89.020000,-72.510000,0.000000	-71.710000,-88.500000,0.000000
22.621	-21.600000,-79.160000,0.000000	89.570000,-72.260000,0.000000	-76.220000,-88.450000,0.000000
22.740	-21.190000,-79.170000,0.000000	89.820000,-71.960000,0.000000	-85.440000,-88.530000,0.000000
22.875	-20.180000,-79.110000,0.000000	90.300000,-71.860000,0.000000	-78.410000,-88.590000,0.000000
23.010	-19.620000,-79.050000,0.000000	90.350000,-71.590000,0.000000	-76.670000,-88.460000,0.000000
23.130	-19.480000,-79.020000,0.000000	90.060000,-71.700000,0.000000	-85.430000,-88.590000,0.000000
23.266	-20.850000,-78.880000,0.000000	89.940000,-72.010000,0.000000	-82.640000,-88.350000,0.000000
23.400	-19.880000,-78.830000,0.000000	90.090000,-71.770000,0.000000	-50.460000,-88.230000,0.000000
23.520	-20.660000,-78.740000,0.000000	90.410000,-71.910000,0.000000	-57.710000,-88.040000,0.000000
23.656	-19.640000,-78.580000,0.000000	90.450000,-71.560000,0.000000	-23.920000,-88.210000,0.000000
23.791	-18.790000,-78.540000,0.000000	90.490000,-71.220000,0.000000	-29.460000,-88.210000,0.000000
23.911	-18.030000,-78.450000,0.000000	90.610000,-70.910000,0.000000	-36.930000,-88.020000,0.000000
24.045	-18.090000,-78.370000,0.000000	90.810000,-70.690000,0.000000	-36.940000,-87.960000,0.000000
24.181	-17.730000,-78.300000,0.000000	91.100000,-70.430000,0.000000	-34.450000,-88.090000,0.000000
24.300	-17.370000,-78.120000,0.000000	91.130000,-70.020000,0.000000	-35.440000,-87.990000,0.000000
24.435	-17.600000,-78.100000,0.000000	91.050000,-69.880000,0.000000	-37.490000,-87.980000,0.000000
24.571	-18.320000,-78.010000,0.000000	91.380000,-69.610000,0.000000	-46.690000,-87.960000,0.000000
24.689	-17.490000,-78.310000,0.000000	92.360000,-69.490000,0.000000	-50.190000,-87.830000,0.000000
24.826	-17.270000,-78.520000,0.000000	92.930000,-69.630000,0.000000	-56.650000,-87.600000,0.000000
24.960	-17.460000,-78.720000,0.000000	93.220000,-69.500000,0.000000	-62.830000,-87.550000,0.000000
25.081	-17.460000,-78.910000,0.000000	93.680000,-69.130000,0.000000	-63.120000,-87.290000,0.000000
25.215	-15.810000,-78.970000,0.000000	94.250000,-68.770000,0.000000	-28.640000,-87.480000,0.000000
25.351	-14.600000,-78.920000,0.000000	94.810000,-68.400000,0.000000	-25.730000,-87.510000,0.000000
25.471	-13.700000,-78.590000,0.000000	94.530000,-68.000000,0.000000	-9.060000,-86.600000,0.000000
25.605	-11.870000,-78.520000,0.000000	94.350000,-66.220000,0.000000	9.310000,-85.680000,0.000000
25.740	-9.990000,-78.010000,0.000000	94.090000,-64.080000,0.000000	22.600000,-85.170000,0.000000
25.860	-11.210000,-77.310000,0.000000	94.010000,-61.460000,0.000000	37.010000,-83.860000,0.000000
25.996	-9.410000,-76.110000,0.000000	94.940000,-57.610000,0.000000	49.770000,-81.910000,0.000000
26.130	-7.710000,-74.990000,0.000000	95.380000,-53.560000,0.000000	61.750000,-79.800000,0.000000
26.250	-7.470000,-73.690000,0.000000	95.430000,-49.300000,0.000000	72.200000,-79.210000,0.000000
26.385	-7.050000,-72.350000,0.000000	95.300000,-44.630000,0.000000	79.090000,-78.180000,0.000000
26.520	-5.780000,-70.880000,0.000000	94.830000,-39.280000,0.000000	84.800000,-77.070000,0.000000
26.641	-5.380000,-69.390000,0.000000	94.400000,-33.280000,0.000000	86.650000,-77.200000,0.000000
26.775	-4.020000,-67.680000,0.000000	93.210000,-26.700000,0.000000	80.110000,-78.430000,0.000000
26.911	-3.190000,-66.110000,0.000000	92.980000,-20.580000,0.000000	59.360000,-78.370000,0.000000
27.031	-0.890000,-64.640000,0.000000	92.890000,-14.480000,0.000000	35.520000,-78.490000,0.000000
27.165	2.270000,-63.180000,0.000000	92.780000,-8.360000,0.000000	51.270000,-79.640000,0.000000
27.300	4.870000,-62.060000,0.000000	92.250000,-2.900000,0.000000	28.080000,-78.910000,0.000000
27.420	6.190000,-61.180000,0.000000	92.080000,1.550000,0.000000	1.060000,-80.020000,0.000000
27.556	8.530000,-59.950000,0.000000	92.050000,5.780000,0.000000	-21.860000,-80.310000,0.000000
27.691	9.500000,-59.250000,0.000000	91.990000,8.990000,0.000000	-37.560000,-80.960000,0.000000
27.811	11.150000,-58.330000,0.000000	91.970000,12.090000,0.000000	-54.640000,-81.600000,0.000000
27.945	11.940000,-57.680000,0.000000	91.960000,14.570000,0.000000	-70.930000,-81.880000,0.000000
28.080	12.530000,-57.100000,0.000000	91.950000,16.670000,0.000000	-86.020000,-82.200000,0.000000
28.199	13.090000,-56.690000,0.000000	91.840000,18.020000,0.000000	-98.270000,-82.480000,0.000000
28.336	13.290000,-56.470000,0.000000	91.950000,19.060000,0.000000	-108.540000,-82.740000,0.000000
28.471	13.900000,-56.350000,0.000000	92.090000,20.030000,0.000000	-117.580000,-83.030000,0.000000
28.590	14.340000,-56.410000,0.000000	92.270000,20.690000,0.000000	-125.610000,-83.340000,0.000000
28.726	14.800000,-56.390000,0.000000	92.500000,21.220000,0.000000	-132.460000,-83.660000,0.000000
28.861	15.250000,-56.650000,0.000000	92.580000,21.360000,0.000000	-136.820000,-83.670000,0.000000
28.981	15.680000,-56.840000,0.000000	92.500000,21.690000,0.000000	-142.960000,-83.960000,0.000000
29.115	15.680000,-57.040000,0.000000	92.500000,21.650000,0.000000	-145.540000,-84.260000,0.000000
29.250	15.590000,-57.310000,0.000000	92.500000,21.260000,0.000000	-150.490000,-84.510000,0.000000
29.371	15.510000,-57.560000,0.000000	92.410000,20.800000,0.000000	-153.030000,-84.580000,0.000000
29.505	15.580000,-57.790000,0.000000	92.390000,20.370000,0.000000	-154.720000,-84.650000,0.000000
29.641	15.440000,-58.060000,0.000000	92.440000,19.570000,0.000000	-155.270000,-84.550000,0.000000
29.759	15.350000,-58.360000,0.000000	92.450000,18.820000,0.000000	-154.400000,-84.330000,0.000000
29.896	15.010000,-58.650000,0.000000	92.490000,18.270000,0.000000	-155.530000,-84.440000,0.000000
