time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	150.690000,1.740000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.04727	150.680000,1.750000,0.000000	-67.180000,-25.080000,0.000000	114.920000,-36.300000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.07852	150.670000,1.740000,0.000000	-67.130000,-25.080000,0.000000	114.910000,-36.290000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.12579	150.640000,1.710000,0.000000	-67.170000,-25.080000,0.000000	114.900000,-36.270000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.17267	150.590000,1.710000,0.000000	-67.200000,-25.110000,0.000000	114.940000,-36.260000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.26906	150.550000,1.680000,0.000000	-67.230000,-25.130000,0.000000	115.030000,-36.280000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.27368	150.590000,1.750000,0.000000	-67.340000,-25.140000,0.000000	115.100000,-36.270000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.32016	150.580000,1.770000,0.000000	-67.360000,-25.150000,0.000000	115.180000,-36.230000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.36560	150.580000,1.810000,0.000000	-67.420000,-25.180000,0.000000	115.280000,-36.200000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.39783	150.560000,1.790000,0.000000	-67.490000,-25.190000,0.000000	115.350000,-36.150000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
0.45235	150.570000,1.820000,0.000000	-67.520000,-25.140000,0.000000	115.440000,-36.130000,0.000000	-67.200000,-25.130000,0.000000	115.000000,-36.270000,0.000000
