time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	-14.220000,-69.330000,0.000000	51.590000,72.490000,0.000000	131.600000,-80.360000,0.000000
0.137	-15.150000,-69.870000,0.000000	52.440000,71.770000,0.000000	131.270000,-79.950000,0.000000
0.263	-15.630000,-70.200000,0.000000	54.000000,71.080000,0.000000	126.030000,-80.080000,0.000000
0.387	-16.660000,-70.720000,0.000000	56.130000,70.070000,0.000000	127.770000,-79.550000,0.000000
0.525	-17.980000,-71.620000,0.000000	58.070000,68.800000,0.000000	131.300000,-77.990000,0.000000
0.649	-22.100000,-73.140000,0.000000	61.330000,66.900000,0.000000	136.080000,-75.640000,0.000000
0.787	-27.150000,-74.280000,0.000000	64.910000,64.500000,0.000000	139.670000,-72.700000,0.000000
0.912	-33.770000,-75.300000,0.000000	67.700000,61.850000,0.000000	144.340000,-69.650000,0.000000
1.037	-38.760000,-76.420000,0.000000	70.160000,59.630000,0.000000	147.640000,-68.940000,0.000000
1.188	-46.450000,-76.940000,0.000000	73.280000,57.310000,0.000000	151.670000,-68.660000,0.000000
1.300	-52.820000,-77.910000,0.000000	75.780000,54.890000,0.000000	156.170000,-67.950000,0.000000
1.450	-62.010000,-78.480000,0.000000	77.870000,52.110000,0.000000	160.560000,-66.830000,0.000000
1.562	-70.110000,-78.930000,0.000000	79.330000,48.920000,0.000000	164.920000,-66.510000,0.000000
1.688	-79.500000,-78.630000,0.000000	80.240000,45.240000,0.000000	-177.760000,-65.800000,0.000000
1.824	-88.760000,-78.010000,0.000000	80.540000,41.240000,0.000000	180.000000,-64.410000,0.000000
1.950	-98.480000,-76.890000,0.000000	80.230000,37.010000,0.000000	179.890000,-63.460000,0.000000
2.088	-107.350000,-75.260000,0.000000	79.980000,32.650000,0.000000	180.730000,-63.480000,0.000000
2.238	-116.160000,-73.880000,0.000000	79.980000,29.010000,0.000000	182.010000,-63.350000,0.000000
2.350	-122.460000,-72.570000,0.000000	80.250000,24.780000,0.000000	180.900000,-63.050000,0.000000
2.475	-126.550000,-70.740000,0.000000	79.760000,21.060000,0.000000	181.860000,-62.870000,0.000000
