time	pelvis_imu	femur_r_imu	tibia_r_imu
2.600	-131.810000,-69.550000,0.000000	79.070000,18.570000,0.000000	180.380000,-62.930000,0.000000
2.737	-136.020000,-69.010000,0.000000	78.840000,17.130000,0.000000	180.830000,-62.780000,0.000000
2.863	-138.150000,-68.460000,0.000000	79.300000,17.200000,0.000000	179.530000,-63.480000,0.000000
2.988	-136.850000,-68.120000,0.000000	80.040000,17.940000,0.000000	177.800000,-63.530000,0.000000
3.125	-134.470000,-67.870000,0.000000	80.830000,20.180000,0.000000	171.150000,-64.820000,0.000000
3.249	-130.120000,-68.650000,0.000000	80.200000,23.240000,0.000000	167.620000,-65.690000,0.000000
3.388	-122.180000,-69.280000,0.000000	80.750000,27.160000,0.000000	163.160000,-66.590000,0.000000
3.513	-115.180000,-69.380000,0.000000	79.660000,31.390000,0.000000	159.600000,-68.350000,0.000000
3.637	-106.290000,-69.870000,0.000000	77.880000,35.780000,0.000000	153.070000,-70.440000,0.000000
3.775	-98.620000,-70.180000,0.000000	76.680000,39.960000,0.000000	151.820000,-72.000000,0.000000
3.900	-90.230000,-70.550000,0.000000	73.890000,43.990000,0.000000	147.790000,-73.840000,0.000000
4.038	-82.640000,-70.720000,0.000000	71.510000,47.630000,0.000000	143.730000,-75.550000,0.000000
4.175	-74.500000,-71.090000,0.000000	68.240000,51.310000,0.000000	134.540000,-76.720000,0.000000
4.287	-68.160000,-71.140000,0.000000	65.590000,54.480000,0.000000	133.340000,-77.770000,0.000000
4.425	-61.380000,-71.710000,0.000000	62.620000,57.720000,0.000000	131.970000,-78.430000,0.000000
4.550	-55.660000,-71.890000,0.000000	60.460000,60.350000,0.000000	129.340000,-79.360000,0.000000
4.688	-50.130000,-71.870000,0.000000	58.970000,62.680000,0.000000	125.700000,-80.440000,0.000000
4.812	-45.640000,-72.020000,0.000000	58.410000,64.250000,0.000000	117.480000,-81.330000,0.000000
4.950	-43.180000,-72.090000,0.000000	58.780000,65.070000,0.000000	119.150000,-82.000000,0.000000
5.075	-42.490000,-72.530000,0.000000	61.120000,65.160000,0.000000	126.230000,-80.780000,0.000000
5.199	-42.600000,-74.010000,0.000000	63.380000,64.650000,0.000000	132.730000,-77.900000,0.000000
5.338	-46.360000,-74.800000,0.000000	66.050000,62.720000,0.000000	136.800000,-74.380000,0.000000
5.462	-55.590000,-75.740000,0.000000	67.590000,59.700000,0.000000	-176.860000,-72.280000,0.000000
5.588	-62.220000,-76.180000,0.000000	67.920000,55.870000,0.000000	-177.590000,-70.460000,0.000000
5.725	-72.850000,-75.680000,0.000000	68.490000,50.930000,0.000000	-177.540000,-69.460000,0.000000
5.863	-83.220000,-75.200000,0.000000	68.930000,46.430000,0.000000	-177.240000,-69.060000,0.000000
5.987	-91.570000,-74.050000,0.000000	69.340000,41.640000,0.000000	174.800000,-68.550000,0.000000
6.112	-99.510000,-72.550000,0.000000	69.460000,36.820000,0.000000	173.100000,-68.550000,0.000000
6.238	-107.320000,-71.500000,0.000000	69.890000,32.930000,0.000000	170.330000,-68.550000,0.000000
6.375	-112.820000,-69.950000,0.000000	70.120000,28.750000,0.000000	168.440000,-69.110000,0.000000
6.500	-117.620000,-68.730000,0.000000	70.460000,25.410000,0.000000	167.170000,-69.480000,0.000000
6.637	-122.520000,-68.020000,0.000000	70.990000,23.140000,0.000000	-178.160000,-70.170000,0.000000
6.763	-125.070000,-67.380000,0.000000	71.640000,20.980000,0.000000	152.280000,-69.890000,0.000000
6.888	-128.040000,-66.600000,0.000000	72.000000,20.370000,0.000000	-179.220000,-69.970000,0.000000
7.025	-127.400000,-67.230000,0.000000	73.210000,21.570000,0.000000	168.970000,-69.330000,0.000000
7.150	-123.880000,-67.990000,0.000000	73.590000,23.240000,0.000000	167.890000,-70.170000,0.000000
7.287	-119.810000,-69.490000,0.000000	74.300000,26.060000,0.000000	164.470000,-71.150000,0.000000
7.425	-113.670000,-69.750000,0.000000	75.510000,29.730000,0.000000	157.640000,-71.370000,0.000000
7.550	-107.520000,-69.650000,0.000000	75.150000,33.890000,0.000000	156.460000,-71.900000,0.000000
7.675	-99.450000,-70.000000,0.000000	73.610000,38.540000,0.000000	158.040000,-72.240000,0.000000
7.800	-91.090000,-70.140000,0.000000	70.970000,43.190000,0.000000	142.890000,-74.110000,0.000000
7.937	-81.900000,-70.120000,0.000000	68.860000,47.360000,0.000000	146.250000,-76.820000,0.000000
8.063	-73.080000,-70.720000,0.000000	66.750000,51.350000,0.000000	142.360000,-77.950000,0.000000
8.188	-66.000000,-71.100000,0.000000	63.740000,55.000000,0.000000	136.380000,-79.240000,0.000000
8.325	-59.900000,-71.190000,0.000000	61.580000,58.160000,0.000000	132.810000,-80.390000,0.000000
8.450	-53.530000,-71.260000,0.000000	58.900000,61.110000,0.000000	129.740000,-81.080000,0.000000
8.588	-48.490000,-71.260000,0.000000	56.820000,63.620000,0.000000	128.080000,-81.840000,0.000000
8.712	-44.000000,-71.390000,0.000000	55.280000,65.790000,0.000000	126.180000,-82.420000,0.000000
8.850	-40.140000,-71.390000,0.000000	54.000000,67.510000,0.000000	125.870000,-82.850000,0.000000
8.988	-37.170000,-71.450000,0.000000	52.500000,68.870000,0.000000	125.610000,-83.200000,0.000000
9.113	-34.650000,-71.420000,0.000000	52.350000,69.930000,0.000000	116.250000,-83.990000,0.000000
9.238	-32.030000,-71.330000,0.000000	53.150000,70.800000,0.000000	109.910000,-84.520000,0.000000
9.362	-31.350000,-71.760000,0.000000	54.750000,70.540000,0.000000	114.940000,-83.990000,0.000000
9.487	-32.770000,-72.490000,0.000000	57.430000,69.450000,0.000000	121.830000,-81.810000,0.000000
9.625	-36.140000,-73.720000,0.000000	60.490000,67.930000,0.000000	129.010000,-78.620000,0.000000
9.750	-43.800000,-75.010000,0.000000	63.570000,65.170000,0.000000	136.360000,-76.030000,0.000000
9.888	-51.960000,-76.340000,0.000000	66.320000,62.150000,0.000000	-173.840000,-73.630000,0.000000
10.012	-60.360000,-75.890000,0.000000	68.180000,57.830000,0.000000	-173.630000,-71.710000,0.000000
10.138	-70.650000,-75.190000,0.000000	69.250000,52.730000,0.000000	174.600000,-70.220000,0.000000
10.275	-80.780000,-74.440000,0.000000	69.840000,47.520000,0.000000	-171.100000,-69.200000,0.000000
10.401	-90.700000,-73.180000,0.000000	70.230000,41.890000,0.000000	171.220000,-68.130000,0.000000
10.537	-100.860000,-72.150000,0.000000	70.620000,36.860000,0.000000	172.010000,-67.880000,0.000000
10.663	-109.370000,-70.940000,0.000000	70.810000,31.820000,0.000000	172.580000,-67.740000,0.000000
10.787	-115.770000,-69.400000,0.000000	70.890000,27.500000,0.000000	171.620000,-67.510000,0.000000
10.924	-121.270000,-68.320000,0.000000	70.860000,23.760000,0.000000	171.690000,-67.650000,0.000000
11.050	-126.170000,-67.460000,0.000000	70.870000,20.660000,0.000000	170.180000,-67.540000,0.000000
11.200	-130.890000,-66.920000,0.000000	71.180000,18.280000,0.000000	170.720000,-67.150000,0.000000
11.325	-135.030000,-66.870000,0.000000	71.810000,17.420000,0.000000	169.690000,-66.320000,0.000000
11.437	-137.180000,-66.610000,0.000000	72.570000,16.920000,0.000000	-178.110000,-66.680000,0.000000
11.575	-136.300000,-66.510000,0.000000	74.090000,17.740000,0.000000	157.930000,-65.150000,0.000000
11.700	-133.450000,-66.830000,0.000000	75.460000,19.740000,0.000000	159.320000,-65.300000,0.000000
11.837	-127.250000,-67.370000,0.000000	76.140000,22.740000,0.000000	161.110000,-66.490000,0.000000
11.963	-121.150000,-67.990000,0.000000	77.440000,26.430000,0.000000	159.280000,-65.590000,0.000000
12.087	-112.460000,-68.290000,0.000000	76.470000,31.290000,0.000000	154.170000,-66.530000,0.000000
12.225	-104.200000,-68.750000,0.000000	75.470000,35.560000,0.000000	153.310000,-68.350000,0.000000
12.350	-97.990000,-68.930000,0.000000	74.520000,39.260000,0.000000	154.720000,-69.840000,0.000000
12.488	-89.990000,-69.210000,0.000000	71.980000,43.340000,0.000000	157.840000,-70.910000,0.000000
12.612	-81.780000,-69.050000,0.000000	69.250000,47.320000,0.000000	158.370000,-71.950000,0.000000
12.738	-72.070000,-69.250000,0.000000	64.810000,51.670000,0.000000	153.970000,-73.180000,0.000000
12.875	-64.720000,-69.400000,0.000000	61.530000,55.260000,0.000000	152.280000,-74.300000,0.000000
13.000	-57.500000,-69.570000,0.000000	58.010000,58.620000,0.000000	152.270000,-75.530000,0.000000
13.138	-51.190000,-69.370000,0.000000	55.520000,61.660000,0.000000	152.710000,-76.440000,0.000000
13.262	-45.650000,-69.600000,0.000000	53.020000,64.170000,0.000000	152.350000,-77.080000,0.000000
13.400	-40.620000,-69.670000,0.000000	50.500000,66.460000,0.000000	152.830000,-77.700000,0.000000
13.525	-36.210000,-69.640000,0.000000	48.620000,68.220000,0.000000	153.370000,-78.230000,0.000000
13.663	-32.790000,-69.750000,0.000000	46.710000,69.720000,0.000000	153.650000,-78.730000,0.000000
13.787	-30.000000,-69.840000,0.000000	45.640000,71.120000,0.000000	154.000000,-79.030000,0.000000
13.913	-27.300000,-69.840000,0.000000	44.050000,72.140000,0.000000	154.130000,-79.330000,0.000000
14.038	-25.350000,-69.860000,0.000000	43.050000,73.060000,0.000000	153.970000,-79.860000,0.000000
14.175	-22.830000,-69.670000,0.000000	43.620000,73.820000,0.000000	147.820000,-80.760000,0.000000
14.313	-22.380000,-69.980000,0.000000	45.060000,73.630000,0.000000	149.860000,-81.280000,0.000000
14.437	-23.110000,-70.460000,0.000000	47.730000,72.800000,0.000000	153.920000,-80.350000,0.000000
14.563	-25.260000,-71.280000,0.000000	51.490000,71.320000,0.000000	156.900000,-78.420000,0.000000
14.688	-25.730000,-73.050000,0.000000	55.410000,69.720000,0.000000	-176.140000,-76.240000,0.000000
14.825	-34.280000,-74.460000,0.000000	59.990000,66.120000,0.000000	-176.150000,-73.580000,0.000000
14.950	-44.880000,-75.080000,0.000000	63.430000,61.890000,0.000000	-175.560000,-70.580000,0.000000
15.100	-58.370000,-75.140000,0.000000	65.730000,55.960000,0.000000	-176.110000,-68.100000,0.000000
15.234	-74.090000,-74.890000,0.000000	66.700000,50.260000,0.000000	-172.800000,-65.530000,0.000000
15.350	-86.790000,-74.270000,0.000000	68.160000,44.600000,0.000000	170.820000,-63.570000,0.000000
15.475	-96.200000,-73.440000,0.000000	69.760000,39.570000,0.000000	-177.110000,-62.230000,0.000000
15.600	-103.830000,-72.710000,0.000000	70.980000,35.180000,0.000000	166.510000,-60.490000,0.000000
15.738	-112.440000,-72.300000,0.000000	72.450000,31.150000,0.000000	168.320000,-59.040000,0.000000
15.863	-119.360000,-72.390000,0.000000	73.640000,28.340000,0.000000	170.070000,-56.950000,0.000000
15.999	-122.230000,-72.380000,0.000000	74.760000,26.680000,0.000000	-176.180000,-53.750000,0.000000
16.125	-124.130000,-72.510000,0.000000	77.670000,26.840000,0.000000	164.620000,-52.730000,0.000000
16.249	-119.250000,-72.980000,0.000000	79.560000,29.240000,0.000000	164.760000,-53.310000,0.000000
16.388	-114.460000,-73.770000,0.000000	81.030000,31.750000,0.000000	167.360000,-52.490000,0.000000
16.512	-107.690000,-73.670000,0.000000	80.300000,36.180000,0.000000	167.160000,-55.030000,0.000000
16.650	-96.100000,-72.670000,0.000000	76.270000,41.340000,0.000000	140.460000,-58.480000,0.000000
16.775	-86.720000,-72.130000,0.000000	73.670000,45.770000,0.000000	128.340000,-62.520000,0.000000
16.900	-75.090000,-72.270000,0.000000	67.800000,50.380000,0.000000	116.620000,-66.260000,0.000000
17.038	-65.790000,-71.880000,0.000000	64.440000,54.830000,0.000000	103.340000,-69.390000,0.000000
17.162	-58.170000,-71.640000,0.000000	60.040000,58.720000,0.000000	99.390000,-72.360000,0.000000
17.288	-50.900000,-71.290000,0.000000	55.640000,62.080000,0.000000	101.350000,-74.880000,0.000000
17.425	-45.450000,-70.920000,0.000000	52.580000,64.780000,0.000000	105.260000,-77.100000,0.000000
17.550	-40.600000,-70.490000,0.000000	49.810000,67.220000,0.000000	104.540000,-79.250000,0.000000
17.688	-36.330000,-70.080000,0.000000	47.250000,69.310000,0.000000	104.260000,-81.090000,0.000000
17.825	-33.050000,-69.760000,0.000000	44.860000,71.110000,0.000000	103.070000,-82.650000,0.000000
17.937	-29.970000,-69.620000,0.000000	43.510000,72.920000,0.000000	105.140000,-83.850000,0.000000
18.075	-26.630000,-69.400000,0.000000	42.610000,74.430000,0.000000	95.050000,-85.140000,0.000000
18.200	-23.820000,-69.650000,0.000000	43.310000,75.540000,0.000000	96.480000,-86.010000,0.000000
18.337	-21.690000,-69.670000,0.000000	43.290000,76.010000,0.000000	98.560000,-86.320000,0.000000
18.462	-23.060000,-69.870000,0.000000	45.830000,74.860000,0.000000	105.400000,-86.120000,0.000000
18.588	-26.560000,-70.700000,0.000000	49.820000,73.010000,0.000000	-170.540000,-82.590000,0.000000
18.725	-28.730000,-72.070000,0.000000	54.340000,71.830000,0.000000	171.880000,-79.230000,0.000000
18.850	-35.510000,-73.780000,0.000000	59.760000,68.770000,0.000000	172.150000,-75.400000,0.000000
18.988	-44.780000,-75.090000,0.000000	63.700000,65.210000,0.000000	-179.760000,-72.420000,0.000000
19.125	-52.900000,-75.820000,0.000000	66.200000,60.720000,0.000000	178.320000,-68.810000,0.000000
19.237	-65.900000,-76.100000,0.000000	68.160000,55.620000,0.000000	177.560000,-66.070000,0.000000
19.375	-75.770000,-75.620000,0.000000	69.400000,49.590000,0.000000	-172.020000,-63.460000,0.000000
19.499	-84.500000,-74.990000,0.000000	70.520000,44.470000,0.000000	175.730000,-61.490000,0.000000
19.638	-92.100000,-74.610000,0.000000	71.410000,39.810000,0.000000	175.200000,-60.190000,0.000000
19.763	-100.270000,-74.130000,0.000000	72.060000,36.130000,0.000000	-175.420000,-59.580000,0.000000
19.888	-107.770000,-73.830000,0.000000	73.180000,33.090000,0.000000	175.350000,-58.980000,0.000000
20.025	-113.350000,-74.010000,0.000000	74.360000,30.760000,0.000000	-173.800000,-58.580000,0.000000
20.150	-118.800000,-73.820000,0.000000	75.390000,28.680000,0.000000	-174.420000,-59.000000,0.000000
20.288	-123.120000,-73.740000,0.000000	76.150000,27.020000,0.000000	-174.930000,-58.960000,0.000000
20.425	-126.080000,-73.540000,0.000000	77.250000,25.690000,0.000000	175.860000,-58.930000,0.000000
20.537	-127.710000,-73.190000,0.000000	77.900000,24.660000,0.000000	174.920000,-58.910000,0.000000
20.675	-128.370000,-73.330000,0.000000	78.190000,24.120000,0.000000	174.490000,-59.140000,0.000000
20.800	-129.730000,-73.550000,0.000000	78.540000,23.680000,0.000000	-174.930000,-58.920000,0.000000
20.937	-130.210000,-73.510000,0.000000	79.110000,23.620000,0.000000	178.960000,-58.950000,0.000000
21.062	-130.440000,-73.450000,0.000000	79.490000,23.670000,0.000000	178.340000,-59.060000,0.000000
21.188	-129.950000,-73.460000,0.000000	79.660000,23.810000,0.000000	-179.700000,-59.070000,0.000000
21.325	-128.940000,-73.440000,0.000000	79.920000,23.980000,0.000000	-179.840000,-59.200000,0.000000
21.450	-128.910000,-73.540000,0.000000	80.190000,24.310000,0.000000	-179.940000,-59.390000,0.000000
21.588	-129.430000,-73.730000,0.000000	80.320000,24.900000,0.000000	-180.320000,-59.530000,0.000000
21.713	-127.970000,-73.690000,0.000000	80.490000,25.430000,0.000000	-179.210000,-59.810000,0.000000
21.838	-127.060000,-73.470000,0.000000	80.790000,25.910000,0.000000	-179.710000,-59.870000,0.000000
21.988	-126.390000,-73.540000,0.000000	80.810000,26.510000,0.000000	-179.470000,-60.050000,0.000000
22.100	-125.570000,-73.470000,0.000000	80.800000,26.920000,0.000000	-179.380000,-60.430000,0.000000
22.237	-123.880000,-73.480000,0.000000	80.820000,27.330000,0.000000	177.230000,-60.680000,0.000000
22.363	-123.450000,-73.780000,0.000000	80.460000,27.740000,0.000000	-175.510000,-61.080000,0.000000
22.488	-122.800000,-74.010000,0.000000	80.470000,28.260000,0.000000	-175.510000,-61.490000,0.000000
22.625	-122.290000,-74.260000,0.000000	80.280000,28.630000,0.000000	-176.190000,-61.900000,0.000000
22.750	-122.580000,-74.230000,0.000000	80.300000,28.970000,0.000000	-176.770000,-62.530000,0.000000
22.888	-121.490000,-74.240000,0.000000	80.510000,29.480000,0.000000	178.830000,-62.890000,0.000000
23.013	-121.310000,-74.470000,0.000000	80.300000,29.900000,0.000000	-176.460000,-63.390000,0.000000
23.137	-120.380000,-74.500000,0.000000	80.120000,30.350000,0.000000	-177.280000,-63.550000,0.000000
23.275	-119.610000,-74.590000,0.000000	80.070000,30.910000,0.000000	-177.920000,-64.070000,0.000000
23.400	-118.460000,-74.530000,0.000000	80.450000,31.340000,0.000000	-178.420000,-64.430000,0.000000
23.538	-117.560000,-74.680000,0.000000	80.610000,31.670000,0.000000	-178.810000,-64.790000,0.000000
23.663	-116.470000,-74.650000,0.000000	80.720000,32.000000,0.000000	176.980000,-65.180000,0.000000
23.787	-114.290000,-74.520000,0.000000	80.710000,32.160000,0.000000	-178.360000,-65.660000,0.000000
23.925	-113.710000,-74.500000,0.000000	80.360000,32.400000,0.000000	171.170000,-65.800000,0.000000
24.063	-112.920000,-74.730000,0.000000	80.030000,32.870000,0.000000	172.080000,-66.020000,0.000000
24.188	-112.280000,-74.910000,0.000000	80.000000,33.130000,0.000000	173.060000,-66.390000,0.000000
24.312	-111.470000,-75.310000,0.000000	79.850000,33.660000,0.000000	-178.640000,-66.690000,0.000000
24.438	-110.380000,-75.340000,0.000000	80.040000,34.000000,0.000000	-178.940000,-66.960000,0.000000
24.575	-109.060000,-75.070000,0.000000	80.110000,34.130000,0.000000	178.400000,-67.120000,0.000000
24.699	-107.600000,-74.970000,0.000000	80.070000,34.460000,0.000000	178.190000,-67.180000,0.000000
24.837	-107.030000,-75.140000,0.000000	79.970000,34.930000,0.000000	176.970000,-67.430000,0.000000
24.963	-106.250000,-75.200000,0.000000	80.150000,35.320000,0.000000	176.550000,-68.010000,0.000000
25.088	-105.590000,-75.440000,0.000000	80.310000,35.810000,0.000000	176.250000,-68.440000,0.000000
25.225	-105.490000,-75.780000,0.000000	80.490000,36.450000,0.000000	174.890000,-69.100000,0.000000
25.350	-105.020000,-76.070000,0.000000	80.330000,36.910000,0.000000	172.590000,-69.290000,0.000000
25.487	-103.310000,-75.730000,0.000000	80.350000,37.160000,0.000000	-174.870000,-70.260000,0.000000
25.613	-101.360000,-75.640000,0.000000	80.850000,37.680000,0.000000	156.850000,-70.660000,0.000000
25.738	-99.540000,-75.210000,0.000000	81.150000,38.090000,0.000000	154.320000,-71.550000,0.000000
25.875	-98.570000,-75.550000,0.000000	80.980000,39.600000,0.000000	148.450000,-73.550000,0.000000
26.000	-91.290000,-76.380000,0.000000	79.100000,42.190000,0.000000	145.570000,-75.290000,0.000000
26.137	-84.230000,-76.250000,0.000000	78.370000,44.600000,0.000000	134.650000,-76.900000,0.000000
26.263	-79.080000,-75.900000,0.000000	75.490000,47.560000,0.000000	130.560000,-78.060000,0.000000
26.387	-72.320000,-75.290000,0.000000	71.960000,50.860000,0.000000	126.270000,-79.410000,0.000000
26.525	-65.660000,-74.300000,0.000000	68.500000,53.970000,0.000000	126.180000,-80.270000,0.000000
26.650	-58.810000,-73.760000,0.000000	64.270000,57.170000,0.000000	128.240000,-80.730000,0.000000
26.788	-53.030000,-72.820000,0.000000	61.080000,59.560000,0.000000	134.250000,-80.320000,0.000000
26.913	-47.450000,-72.270000,0.000000	57.670000,62.080000,0.000000	137.100000,-79.040000,0.000000
27.037	-43.380000,-71.480000,0.000000	54.790000,64.240000,0.000000	-165.470000,-79.560000,0.000000
27.175	-39.550000,-71.180000,0.000000	53.250000,66.960000,0.000000	123.480000,-79.940000,0.000000
27.325	-33.130000,-70.740000,0.000000	50.200000,69.960000,0.000000	111.420000,-81.640000,0.000000
27.438	-27.660000,-70.550000,0.000000	48.580000,72.430000,0.000000	-167.390000,-83.170000,0.000000
27.563	-22.710000,-70.260000,0.000000	45.340000,74.680000,0.000000	-170.330000,-84.080000,0.000000
27.687	-19.460000,-69.810000,0.000000	41.570000,76.670000,0.000000	-171.400000,-83.990000,0.000000
27.825	-16.300000,-69.320000,0.000000	39.530000,78.120000,0.000000	-172.740000,-84.390000,0.000000
27.950	-14.390000,-68.810000,0.000000	37.740000,79.100000,0.000000	178.070000,-84.710000,0.000000
28.088	-13.280000,-68.510000,0.000000	36.950000,80.020000,0.000000	-172.670000,-85.110000,0.000000
28.212	-12.390000,-68.330000,0.000000	35.740000,80.730000,0.000000	170.320000,-85.390000,0.000000
28.338	-11.390000,-68.190000,0.000000	34.280000,81.230000,0.000000	-176.210000,-85.330000,0.000000
28.475	-11.790000,-67.730000,0.000000	34.060000,81.350000,0.000000	166.330000,-85.280000,0.000000
28.600	-12.280000,-67.500000,0.000000	33.140000,81.310000,0.000000	164.670000,-84.990000,0.000000
28.750	-13.150000,-67.360000,0.000000	33.540000,81.110000,0.000000	164.150000,-84.750000,0.000000
28.863	-13.580000,-67.380000,0.000000	32.760000,80.890000,0.000000	163.040000,-84.700000,0.000000
28.988	-14.170000,-67.460000,0.000000	32.610000,80.450000,0.000000	162.370000,-84.630000,0.000000
29.125	-15.170000,-67.200000,0.000000	32.620000,80.030000,0.000000	161.220000,-84.420000,0.000000
29.250	-15.920000,-67.080000,0.000000	32.680000,79.750000,0.000000	161.850000,-84.220000,0.000000
29.387	-16.290000,-67.100000,0.000000	32.840000,79.500000,0.000000	162.420000,-84.340000,0.000000
29.513	-16.880000,-67.210000,0.000000	33.050000,79.420000,0.000000	163.540000,-84.230000,0.000000
29.638	-17.240000,-67.200000,0.000000	33.390000,79.140000,0.000000	164.130000,-84.000000,0.000000
29.775	-18.000000,-67.200000,0.000000	34.550000,78.740000,0.000000	164.750000,-83.940000,0.000000
29.900	-18.620000,-67.320000,0.000000	35.050000,78.440000,0.000000	165.310000,-83.810000,0.000000
30.037	-19.050000,-67.460000,0.000000	35.370000,78.100000,0.000000	165.620000,-83.590000,0.000000
30.163	-19.510000,-67.720000,0.000000	36.160000,77.790000,0.000000	165.710000,-83.510000,0.000000
30.287	-20.010000,-67.770000,0.000000	36.440000,77.650000,0.000000	167.580000,-83.380000,0.000000
30.425	-20.180000,-67.830000,0.000000	37.300000,77.420000,0.000000	168.350000,-83.300000,0.000000
30.550	-20.720000,-67.810000,0.000000	38.050000,77.320000,0.000000	169.050000,-83.280000,0.000000
30.700	-20.440000,-67.830000,0.000000	38.150000,77.050000,0.000000	170.080000,-83.010000,0.000000
30.825	-20.820000,-67.840000,0.000000	38.800000,76.850000,0.000000	171.690000,-83.030000,0.000000
30.937	-21.140000,-67.950000,0.000000	39.030000,76.780000,0.000000	173.140000,-82.900000,0.000000
31.075	-21.460000,-68.030000,0.000000	39.870000,76.480000,0.000000	174.440000,-82.980000,0.000000
31.200	-21.570000,-67.990000,0.000000	39.790000,76.320000,0.000000	174.820000,-82.940000,0.000000
31.338	-21.690000,-67.990000,0.000000	39.950000,76.250000,0.000000	175.590000,-82.740000,0.000000
31.463	-21.490000,-68.080000,0.000000	39.820000,76.180000,0.000000	176.060000,-82.750000,0.000000
31.588	-21.750000,-68.000000,0.000000	40.280000,75.950000,0.000000	176.930000,-82.620000,0.000000
31.725	-22.090000,-68.070000,0.000000	40.260000,75.870000,0.000000	176.680000,-82.490000,0.000000
31.850	-22.230000,-68.160000,0.000000	39.870000,75.760000,0.000000	176.840000,-82.420000,0.000000
31.988	-22.430000,-68.310000,0.000000	39.730000,75.660000,0.000000	177.050000,-82.420000,0.000000
32.112	-22.440000,-68.120000,0.000000	39.880000,75.550000,0.000000	177.700000,-82.210000,0.000000
32.238	-22.630000,-68.130000,0.000000	39.920000,75.400000,0.000000	177.800000,-82.090000,0.000000
32.387	-22.940000,-68.220000,0.000000	40.260000,75.250000,0.000000	177.840000,-82.140000,0.000000
32.500	-22.760000,-68.300000,0.000000	40.630000,75.250000,0.000000	178.050000,-82.050000,0.000000
32.650	-22.810000,-68.280000,0.000000	41.160000,75.260000,0.000000	-178.930000,-82.090000,0.000000
32.762	-22.760000,-68.340000,0.000000	41.640000,75.220000,0.000000	174.120000,-82.130000,0.000000
32.888	-23.010000,-68.460000,0.000000	41.210000,75.190000,0.000000	-177.290000,-81.930000,0.000000
33.025	-23.140000,-68.460000,0.000000	41.040000,75.180000,0.000000	180.000000,-81.740000,0.000000
33.150	-23.260000,-68.560000,0.000000	41.150000,75.170000,0.000000	179.680000,-81.760000,0.000000
33.288	-23.690000,-68.750000,0.000000	41.110000,75.160000,0.000000	179.260000,-81.670000,0.000000
33.413	-23.760000,-68.710000,0.000000	41.190000,75.080000,0.000000	178.730000,-81.620000,0.000000
33.538	-24.050000,-68.810000,0.000000	41.400000,74.980000,0.000000	178.980000,-81.650000,0.000000
33.675	-23.930000,-68.810000,0.000000	41.080000,74.870000,0.000000	178.650000,-81.730000,0.000000
33.800	-24.000000,-68.870000,0.000000	40.960000,74.920000,0.000000	178.560000,-81.710000,0.000000
33.937	-24.060000,-68.670000,0.000000	40.720000,74.900000,0.000000	-177.390000,-81.840000,0.000000
34.063	-24.140000,-68.670000,0.000000	40.480000,74.950000,0.000000	170.800000,-81.840000,0.000000
34.187	-23.920000,-68.610000,0.000000	40.320000,74.910000,0.000000	172.020000,-81.830000,0.000000
34.325	-23.940000,-68.560000,0.000000	40.520000,74.960000,0.000000	173.010000,-81.810000,0.000000
34.450	-23.910000,-68.660000,0.000000	40.060000,75.060000,0.000000	174.320000,-81.810000,0.000000
34.588	-23.690000,-68.530000,0.000000	40.190000,75.090000,0.000000	175.350000,-81.790000,0.000000
