time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	35.450000,-78.080000,0.000000	95.740000,-7.030000,0.000000	97.570000,6.380000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.132	35.250000,-78.060000,0.000000	95.780000,-7.120000,0.000000	97.570000,6.300000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.268	34.760000,-77.970000,0.000000	95.770000,-7.070000,0.000000	97.590000,6.210000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.388	34.830000,-77.820000,0.000000	95.800000,-7.030000,0.000000	97.600000,6.280000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.523	34.580000,-77.740000,0.000000	95.780000,-7.070000,0.000000	97.670000,6.310000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.658	34.610000,-77.740000,0.000000	95.840000,-6.980000,0.000000	97.630000,6.330000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.778	35.080000,-77.690000,0.000000	95.850000,-6.950000,0.000000	97.710000,6.400000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.913	35.360000,-77.650000,0.000000	95.830000,-6.950000,0.000000	97.800000,6.490000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.063	35.120000,-77.680000,0.000000	95.740000,-6.810000,0.000000	97.740000,6.580000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.167	34.980000,-77.550000,0.000000	95.850000,-6.820000,0.000000	97.730000,6.630000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.302	35.270000,-77.610000,0.000000	95.970000,-6.770000,0.000000	97.740000,6.650000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.438	35.040000,-77.640000,0.000000	96.040000,-6.680000,0.000000	97.640000,6.700000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
