time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	150.170000,3.110000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.03367	150.190000,3.110000,0.000000	-60.310000,-17.190000,0.000000	110.860000,-28.640000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.07039	150.120000,3.120000,0.000000	-60.340000,-17.170000,0.000000	110.880000,-28.640000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.10718	150.150000,3.130000,0.000000	-60.370000,-17.150000,0.000000	110.930000,-28.680000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.13662	150.170000,3.110000,0.000000	-60.360000,-17.090000,0.000000	110.930000,-28.650000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.18177	150.150000,3.050000,0.000000	-60.350000,-17.100000,0.000000	110.950000,-28.690000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.20567	150.150000,3.040000,0.000000	-60.350000,-17.140000,0.000000	110.920000,-28.660000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.23696	150.110000,3.010000,0.000000	-60.420000,-17.130000,0.000000	110.850000,-28.700000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.28146	150.130000,3.070000,0.000000	-60.450000,-17.170000,0.000000	110.810000,-28.730000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.31999	150.080000,3.030000,0.000000	-60.440000,-17.160000,0.000000	110.750000,-28.760000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.34644	150.080000,3.070000,0.000000	-60.450000,-17.190000,0.000000	110.760000,-28.780000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.38542	150.060000,3.080000,0.000000	-60.460000,-17.160000,0.000000	110.760000,-28.760000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.41826	150.050000,3.120000,0.000000	-60.490000,-17.130000,0.000000	110.810000,-28.780000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.46411	150.080000,3.130000,0.000000	-60.500000,-17.130000,0.000000	110.770000,-28.780000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.49555	150.090000,3.070000,0.000000	-60.480000,-17.150000,0.000000	110.790000,-28.760000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.52744	150.070000,3.050000,0.000000	-60.450000,-17.140000,0.000000	110.790000,-28.760000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.57140	150.090000,3.070000,0.000000	-60.400000,-17.100000,0.000000	110.730000,-28.760000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.60132	150.120000,3.040000,0.000000	-60.380000,-17.060000,0.000000	110.690000,-28.760000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.63125	150.100000,3.040000,0.000000	-60.370000,-17.070000,0.000000	110.690000,-28.830000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.67209	150.050000,3.040000,0.000000	-60.380000,-17.020000,0.000000	110.740000,-28.870000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.70602	150.060000,3.100000,0.000000	-60.360000,-17.020000,0.000000	110.750000,-28.890000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
0.82208	150.090000,3.090000,0.000000	-60.370000,-17.000000,0.000000	110.760000,-28.930000,0.000000	-60.270000,-17.140000,0.000000	110.890000,-28.610000,0.000000
