time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	54.450000,12.460000,0.000000	90.090000,-4.790000,0.000000	93.090000,5.620000,0.000000
0.136	54.410000,12.510000,0.000000	90.020000,-4.890000,0.000000	93.040000,5.630000,0.000000
0.270	54.510000,12.470000,0.000000	89.980000,-5.020000,0.000000	93.090000,5.590000,0.000000
0.390	54.620000,12.440000,0.000000	89.910000,-5.230000,0.000000	92.960000,5.540000,0.000000
0.526	54.810000,12.460000,0.000000	89.890000,-5.410000,0.000000	92.950000,5.470000,0.000000
0.660	55.050000,12.350000,0.000000	89.900000,-5.660000,0.000000	92.870000,5.630000,0.000000
0.780	55.180000,12.290000,0.000000	89.880000,-5.880000,0.000000	92.880000,5.650000,0.000000
0.915	55.430000,12.220000,0.000000	89.970000,-6.070000,0.000000	92.800000,5.550000,0.000000
1.051	55.660000,12.290000,0.000000	90.010000,-6.210000,0.000000	92.700000,5.650000,0.000000
1.170	55.830000,12.300000,0.000000	89.960000,-6.340000,0.000000	92.620000,5.670000,0.000000
1.306	55.940000,12.200000,0.000000	90.020000,-6.460000,0.000000	92.580000,5.630000,0.000000
1.441	56.050000,12.100000,0.000000	90.000000,-6.760000,0.000000	92.590000,5.710000,0.000000
1.560	56.050000,12.110000,0.000000	90.030000,-6.930000,0.000000	92.440000,5.790000,0.000000
1.696	56.070000,12.190000,0.000000	90.090000,-6.890000,0.000000	92.520000,5.850000,0.000000
1.829	55.960000,12.090000,0.000000	90.080000,-7.060000,0.000000	92.520000,5.910000,0.000000
1.951	56.080000,12.120000,0.000000	89.960000,-6.990000,0.000000	92.380000,6.020000,0.000000
2.085	56.100000,12.120000,0.000000	90.010000,-7.090000,0.000000	92.350000,5.890000,0.000000
2.221	56.320000,12.150000,0.000000	90.090000,-7.260000,0.000000	92.320000,5.810000,0.000000
2.341	56.360000,12.070000,0.000000	90.070000,-7.330000,0.000000	92.390000,5.850000,0.000000
2.475	56.380000,12.020000,0.000000	90.220000,-7.280000,0.000000	92.430000,5.910000,0.000000
2.611	56.410000,12.070000,0.000000	90.280000,-7.280000,0.000000	92.450000,5.920000,0.000000
2.730	56.510000,12.090000,0.000000	90.290000,-7.390000,0.000000	92.410000,5.820000,0.000000
2.866	56.590000,12.020000,0.000000	90.290000,-7.460000,0.000000	92.480000,5.990000,0.000000
3.000	56.630000,12.080000,0.000000	90.290000,-7.590000,0.000000	92.440000,5.960000,0.000000
3.121	56.620000,12.050000,0.000000	90.460000,-7.590000,0.000000	92.460000,5.970000,0.000000
3.256	56.680000,11.930000,0.000000	90.400000,-7.630000,0.000000	92.350000,5.950000,0.000000
3.390	56.690000,11.910000,0.000000	90.310000,-7.720000,0.000000	92.300000,5.810000,0.000000
3.510	56.690000,11.930000,0.000000	90.210000,-7.770000,0.000000	92.330000,5.790000,0.000000
3.645	56.710000,11.930000,0.000000	90.200000,-7.800000,0.000000	92.430000,5.780000,0.000000
3.781	56.700000,12.020000,0.000000	90.310000,-7.770000,0.000000	92.550000,5.780000,0.000000
3.900	56.730000,12.050000,0.000000	90.300000,-7.810000,0.000000	92.660000,5.740000,0.000000
4.035	56.780000,12.070000,0.000000	90.350000,-7.840000,0.000000	92.700000,5.730000,0.000000
4.170	56.740000,12.090000,0.000000	90.380000,-7.850000,0.000000	92.730000,5.690000,0.000000
4.290	56.710000,12.220000,0.000000	90.410000,-7.780000,0.000000	92.710000,5.610000,0.000000
4.425	56.750000,12.200000,0.000000	90.380000,-7.620000,0.000000	92.670000,5.670000,0.000000
4.560	56.750000,12.060000,0.000000	90.330000,-7.560000,0.000000	92.770000,5.640000,0.000000
4.681	56.850000,11.870000,0.000000	90.400000,-7.600000,0.000000	92.720000,5.730000,0.000000
4.815	57.090000,11.870000,0.000000	90.300000,-7.580000,0.000000	92.510000,5.820000,0.000000
4.951	57.120000,11.930000,0.000000	90.320000,-7.440000,0.000000	92.390000,5.820000,0.000000
5.070	57.020000,12.000000,0.000000	90.360000,-7.180000,0.000000	92.540000,5.870000,0.000000
5.205	56.850000,11.840000,0.000000	90.360000,-7.030000,0.000000	92.560000,5.990000,0.000000
5.341	56.670000,11.830000,0.000000	90.250000,-6.910000,0.000000	92.600000,5.960000,0.000000
5.460	56.770000,11.810000,0.000000	90.160000,-7.100000,0.000000	92.660000,5.800000,0.000000
5.595	56.850000,11.750000,0.000000	90.100000,-7.220000,0.000000	92.620000,5.630000,0.000000
5.730	56.810000,11.730000,0.000000	90.110000,-7.260000,0.000000	92.500000,5.540000,0.000000
5.851	56.510000,11.920000,0.000000	90.480000,-6.950000,0.000000	92.570000,6.250000,0.000000
5.985	56.300000,12.290000,0.000000	90.720000,-7.530000,0.000000	92.870000,6.160000,0.000000
6.121	56.920000,12.580000,0.000000	91.090000,-7.370000,0.000000	92.530000,7.470000,0.000000
6.241	57.000000,12.230000,0.000000	90.710000,-7.470000,0.000000	92.090000,7.160000,0.000000
6.375	56.450000,11.380000,0.000000	90.060000,-7.600000,0.000000	91.550000,6.610000,0.000000
6.510	56.140000,10.980000,0.000000	89.680000,-7.440000,0.000000	90.760000,6.180000,0.000000
6.630	56.130000,10.850000,0.000000	89.920000,-8.020000,0.000000	90.220000,4.700000,0.000000
6.765	56.180000,10.540000,0.000000	89.900000,-8.580000,0.000000	89.810000,4.240000,0.000000
