time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	53.040000,-72.590000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
0.120	52.780000,-72.540000,0.000000	91.770000,-8.960000,0.000000	91.790000,2.190000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
0.256	52.590000,-72.580000,0.000000	91.720000,-8.910000,0.000000	91.800000,2.190000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
0.391	52.590000,-72.630000,0.000000	91.720000,-8.900000,0.000000	91.830000,2.190000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
0.510	52.270000,-72.570000,0.000000	91.750000,-8.910000,0.000000	91.840000,2.210000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
0.645	52.120000,-72.450000,0.000000	91.860000,-8.920000,0.000000	91.840000,2.370000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
0.781	52.070000,-72.500000,0.000000	91.900000,-8.790000,0.000000	91.860000,2.490000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
0.901	51.710000,-72.510000,0.000000	91.850000,-8.860000,0.000000	91.900000,2.640000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
1.036	52.070000,-72.560000,0.000000	91.730000,-8.980000,0.000000	91.970000,2.530000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
1.170	52.200000,-72.540000,0.000000	91.720000,-9.010000,0.000000	92.020000,2.480000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
1.290	51.910000,-72.610000,0.000000	91.740000,-8.960000,0.000000	91.970000,2.380000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
1.425	51.840000,-72.680000,0.000000	91.710000,-8.940000,0.000000	92.000000,2.430000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
1.560	52.040000,-72.630000,0.000000	91.710000,-8.990000,0.000000	91.940000,2.440000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
1.681	52.150000,-72.540000,0.000000	91.780000,-9.030000,0.000000	91.930000,2.340000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
1.816	52.640000,-72.600000,0.000000	91.710000,-8.920000,0.000000	91.910000,2.300000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
1.951	52.900000,-72.710000,0.000000	91.730000,-8.810000,0.000000	91.790000,2.350000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
2.070	52.900000,-72.670000,0.000000	91.740000,-8.850000,0.000000	91.760000,2.420000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
2.206	52.530000,-72.700000,0.000000	91.700000,-8.980000,0.000000	91.700000,2.430000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
2.340	53.280000,-72.860000,0.000000	91.730000,-9.190000,0.000000	91.680000,2.290000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
2.461	53.430000,-72.880000,0.000000	91.680000,-9.300000,0.000000	91.590000,2.210000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
2.595	53.270000,-72.950000,0.000000	91.740000,-9.320000,0.000000	91.570000,2.190000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
2.730	53.610000,-73.040000,0.000000	91.760000,-9.370000,0.000000	91.610000,1.940000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
2.851	53.900000,-73.080000,0.000000	91.670000,-9.280000,0.000000	91.580000,1.980000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
2.985	54.190000,-73.060000,0.000000	91.680000,-9.170000,0.000000	91.510000,1.800000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
3.135	54.180000,-72.960000,0.000000	91.700000,-9.400000,0.000000	91.510000,1.700000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
3.241	54.780000,-72.670000,0.000000	91.920000,-9.260000,0.000000	91.730000,1.720000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
3.376	55.570000,-72.740000,0.000000	92.440000,-9.710000,0.000000	91.810000,2.090000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
3.510	53.230000,-72.810000,0.000000	92.650000,-11.420000,0.000000	91.590000,1.430000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
3.631	52.520000,-73.490000,0.000000	91.730000,-13.660000,0.000000	91.360000,0.300000,0.000000	91.820000,-8.870000,0.000000	91.720000,2.220000,0.000000
