time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	-13.220000,-64.640000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
0.135	-13.050000,-64.720000,0.000000	92.460000,-19.620000,0.000000	84.630000,6.940000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
0.269	-12.860000,-64.740000,0.000000	92.520000,-19.570000,0.000000	84.660000,6.930000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
0.390	-12.500000,-64.720000,0.000000	92.540000,-19.750000,0.000000	84.620000,6.740000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
0.524	-12.510000,-64.430000,0.000000	92.510000,-19.720000,0.000000	84.410000,6.730000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
0.645	-12.790000,-64.160000,0.000000	92.480000,-19.880000,0.000000	84.380000,6.600000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
0.779	-12.810000,-64.010000,0.000000	92.270000,-20.250000,0.000000	84.180000,6.630000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
0.900	-13.560000,-63.650000,0.000000	92.070000,-20.670000,0.000000	83.750000,6.380000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
1.035	-13.970000,-63.460000,0.000000	91.840000,-20.870000,0.000000	83.630000,5.960000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
1.170	-14.260000,-63.180000,0.000000	92.000000,-20.820000,0.000000	83.660000,5.840000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
1.320	-14.220000,-62.930000,0.000000	92.020000,-20.890000,0.000000	83.780000,5.580000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
1.425	-14.340000,-62.740000,0.000000	92.070000,-20.820000,0.000000	83.870000,5.330000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
1.560	-14.400000,-62.500000,0.000000	92.160000,-20.700000,0.000000	84.060000,5.260000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
1.680	-14.240000,-62.240000,0.000000	92.150000,-20.540000,0.000000	84.140000,5.310000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
1.815	-14.230000,-62.030000,0.000000	92.110000,-20.420000,0.000000	84.300000,5.340000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
1.950	-14.350000,-61.930000,0.000000	92.190000,-20.450000,0.000000	84.300000,5.140000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
2.070	-14.530000,-61.770000,0.000000	92.310000,-20.330000,0.000000	84.440000,5.040000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
2.205	-14.590000,-61.680000,0.000000	92.320000,-20.310000,0.000000	84.480000,4.980000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
2.340	-14.540000,-61.560000,0.000000	92.310000,-20.150000,0.000000	84.580000,4.930000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
2.460	-14.610000,-61.380000,0.000000	92.390000,-20.170000,0.000000	84.640000,5.050000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
2.595	-14.630000,-61.310000,0.000000	92.380000,-20.150000,0.000000	84.790000,4.900000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
2.730	-14.510000,-61.410000,0.000000	92.390000,-20.100000,0.000000	84.900000,4.900000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
2.850	-14.860000,-61.580000,0.000000	92.320000,-20.110000,0.000000	84.900000,4.960000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
2.985	-14.750000,-61.550000,0.000000	92.320000,-20.030000,0.000000	84.870000,5.110000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
3.120	-14.850000,-61.670000,0.000000	92.390000,-20.090000,0.000000	84.920000,4.920000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
3.240	-14.710000,-61.820000,0.000000	92.410000,-19.960000,0.000000	84.990000,4.950000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
3.375	-14.850000,-61.880000,0.000000	92.400000,-20.130000,0.000000	85.080000,5.060000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
3.509	-14.830000,-62.100000,0.000000	92.460000,-20.150000,0.000000	85.150000,5.220000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
3.630	-14.740000,-62.180000,0.000000	92.510000,-20.180000,0.000000	85.150000,5.260000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
3.765	-14.650000,-62.250000,0.000000	92.480000,-20.150000,0.000000	85.000000,5.280000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
3.900	-14.730000,-62.300000,0.000000	92.500000,-20.110000,0.000000	85.140000,5.320000,0.000000	92.460000,-19.580000,0.000000	84.620000,7.140000,0.000000
