time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.02555	-9.280000,-82.660000,0.000000	91.320000,7.080000,0.000000	86.160000,-1.470000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.06708	-8.930000,-82.710000,0.000000	91.370000,7.000000,0.000000	86.210000,-1.490000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.11893	-8.560000,-82.770000,0.000000	91.440000,6.990000,0.000000	86.270000,-1.560000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.16832	-7.870000,-82.790000,0.000000	91.470000,6.990000,0.000000	86.260000,-1.600000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.20017	-7.900000,-82.900000,0.000000	91.510000,7.070000,0.000000	86.280000,-1.580000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.25025	-7.480000,-82.940000,0.000000	91.580000,7.150000,0.000000	86.300000,-1.530000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.30036	-7.010000,-82.980000,0.000000	91.640000,7.150000,0.000000	86.380000,-1.500000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.33402	-6.890000,-83.030000,0.000000	91.690000,7.080000,0.000000	86.440000,-1.490000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.38329	-6.830000,-83.060000,0.000000	91.710000,7.110000,0.000000	86.550000,-1.470000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.43465	-7.110000,-83.050000,0.000000	91.710000,7.080000,0.000000	86.580000,-1.550000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.46702	-6.820000,-83.110000,0.000000	91.760000,7.060000,0.000000	86.650000,-1.550000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.52070	-6.670000,-83.150000,0.000000	91.790000,7.010000,0.000000	86.610000,-1.600000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.60002	-6.550000,-83.180000,0.000000	91.860000,7.010000,0.000000	86.600000,-1.560000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.61431	-5.920000,-83.160000,0.000000	91.850000,7.080000,0.000000	86.590000,-1.500000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.65716	-5.910000,-83.190000,0.000000	91.860000,7.040000,0.000000	86.610000,-1.530000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.70604	-5.810000,-83.160000,0.000000	91.810000,6.950000,0.000000	86.620000,-1.630000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.75052	-5.410000,-83.210000,0.000000	91.800000,7.020000,0.000000	86.660000,-1.640000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.78943	-4.630000,-83.150000,0.000000	91.810000,7.040000,0.000000	86.650000,-1.710000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.83370	-4.240000,-83.120000,0.000000	91.780000,7.050000,0.000000	86.650000,-1.730000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
0.88366	-4.020000,-83.090000,0.000000	91.760000,7.000000,0.000000	86.630000,-1.780000,0.000000	91.240000,7.030000,0.000000	86.140000,-1.430000,0.000000
