time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	-2.520000,-75.440000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.10858	-2.340000,-75.420000,0.000000	93.470000,9.060000,0.000000	89.020000,6.010000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.11597	-2.450000,-75.460000,0.000000	93.480000,9.040000,0.000000	89.100000,5.950000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.14345	-2.380000,-75.450000,0.000000	93.460000,9.030000,0.000000	89.040000,5.950000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.18218	-2.390000,-75.440000,0.000000	93.490000,9.060000,0.000000	89.070000,5.850000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.22957	-2.440000,-75.370000,0.000000	93.500000,9.110000,0.000000	89.020000,5.910000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.27805	-2.330000,-75.330000,0.000000	93.490000,9.180000,0.000000	89.000000,5.940000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.31513	-2.420000,-75.310000,0.000000	93.470000,9.280000,0.000000	89.000000,5.950000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.36284	-2.330000,-75.300000,0.000000	93.450000,9.310000,0.000000	89.010000,5.900000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.40914	-2.440000,-75.250000,0.000000	93.430000,9.300000,0.000000	89.010000,5.890000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.45740	-2.260000,-75.250000,0.000000	93.420000,9.290000,0.000000	89.050000,5.820000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.49928	-2.270000,-75.220000,0.000000	93.430000,9.280000,0.000000	89.040000,5.800000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.54927	-2.370000,-75.200000,0.000000	93.380000,9.290000,0.000000	89.060000,5.770000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.58613	-2.370000,-75.180000,0.000000	93.340000,9.290000,0.000000	89.060000,5.830000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.63137	-2.460000,-75.100000,0.000000	93.300000,9.350000,0.000000	89.090000,5.800000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.68268	-2.410000,-75.030000,0.000000	93.270000,9.330000,0.000000	89.080000,5.770000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.74301	-2.550000,-75.040000,0.000000	93.250000,9.360000,0.000000	89.080000,5.800000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.76712	-2.550000,-74.970000,0.000000	93.280000,9.410000,0.000000	89.060000,5.840000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.81387	-2.550000,-74.970000,0.000000	93.300000,9.390000,0.000000	89.050000,5.730000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.86330	-2.370000,-74.910000,0.000000	93.240000,9.380000,0.000000	89.060000,5.680000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.90957	-2.490000,-74.890000,0.000000	93.200000,9.390000,0.000000	89.090000,5.750000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.94820	-2.480000,-74.860000,0.000000	93.140000,9.420000,0.000000	89.090000,5.730000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
0.99861	-2.360000,-74.810000,0.000000	93.140000,9.450000,0.000000	89.100000,5.740000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.04282	-2.470000,-74.770000,0.000000	93.170000,9.490000,0.000000	89.090000,5.720000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.08393	-2.630000,-74.710000,0.000000	93.170000,9.600000,0.000000	89.210000,5.780000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.14739	-2.460000,-74.660000,0.000000	93.180000,9.700000,0.000000	89.220000,5.790000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.18057	-2.360000,-74.590000,0.000000	93.170000,9.690000,0.000000	89.240000,5.690000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.22119	-2.480000,-74.490000,0.000000	93.210000,9.700000,0.000000	89.290000,5.590000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.26620	-2.540000,-74.460000,0.000000	93.170000,9.650000,0.000000	89.280000,5.550000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.35167	-2.610000,-74.480000,0.000000	93.200000,9.650000,0.000000	89.260000,5.530000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.36146	-2.610000,-74.470000,0.000000	93.210000,9.570000,0.000000	89.270000,5.550000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.41487	-2.500000,-74.390000,0.000000	93.240000,9.600000,0.000000	89.260000,5.620000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.47777	-2.180000,-74.380000,0.000000	93.280000,9.610000,0.000000	89.260000,5.670000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.53102	-2.270000,-74.240000,0.000000	93.300000,9.570000,0.000000	89.330000,5.560000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.54307	-2.700000,-74.170000,0.000000	93.250000,9.550000,0.000000	89.330000,5.480000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.59639	-3.110000,-74.080000,0.000000	93.170000,9.530000,0.000000	89.270000,5.560000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
1.65022	-3.880000,-73.990000,0.000000	93.080000,9.460000,0.000000	89.270000,5.520000,0.000000	93.420000,9.050000,0.000000	88.970000,6.000000,0.000000
