time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	6.200000,-87.420000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
0.119	5.810000,-87.470000,0.000000	88.100000,-13.640000,0.000000	88.720000,0.300000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
0.255	5.570000,-87.450000,0.000000	88.130000,-13.580000,0.000000	88.710000,0.250000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
0.404	6.840000,-87.570000,0.000000	88.140000,-13.590000,0.000000	88.670000,0.130000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
0.510	5.780000,-87.630000,0.000000	88.120000,-13.610000,0.000000	88.610000,0.060000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
0.645	5.680000,-87.510000,0.000000	88.110000,-13.630000,0.000000	88.680000,0.020000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
0.780	4.340000,-87.430000,0.000000	88.110000,-13.600000,0.000000	88.670000,0.080000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
0.900	4.060000,-87.460000,0.000000	88.200000,-13.670000,0.000000	88.700000,-0.000000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
1.034	0.650000,-87.480000,0.000000	88.230000,-13.700000,0.000000	88.630000,0.060000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
1.170	1.810000,-87.430000,0.000000	88.090000,-13.680000,0.000000	88.700000,0.040000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
1.290	2.630000,-87.450000,0.000000	87.910000,-13.810000,0.000000	88.680000,-0.020000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
1.425	1.590000,-87.520000,0.000000	87.970000,-13.860000,0.000000	88.690000,-0.010000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
1.559	1.060000,-87.480000,0.000000	88.090000,-13.900000,0.000000	88.720000,-0.000000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
1.680	2.390000,-87.350000,0.000000	88.010000,-13.900000,0.000000	88.720000,-0.010000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
1.815	2.340000,-87.270000,0.000000	88.040000,-13.830000,0.000000	88.700000,0.160000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
1.950	1.790000,-87.220000,0.000000	87.990000,-13.810000,0.000000	88.740000,0.240000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
2.070	2.010000,-87.110000,0.000000	88.020000,-13.730000,0.000000	88.820000,0.300000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
2.204	-1.650000,-87.320000,0.000000	88.040000,-13.780000,0.000000	88.800000,0.260000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
2.339	-1.600000,-87.320000,0.000000	88.130000,-13.920000,0.000000	88.800000,0.170000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
2.459	-1.340000,-87.270000,0.000000	88.160000,-13.950000,0.000000	88.780000,0.080000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
2.595	-0.200000,-87.040000,0.000000	87.990000,-13.780000,0.000000	88.820000,0.150000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
2.730	-7.400000,-87.030000,0.000000	88.070000,-14.340000,0.000000	88.800000,0.150000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
2.850	-1.420000,-86.800000,0.000000	87.970000,-14.470000,0.000000	89.080000,-0.370000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
2.985	3.790000,-86.730000,0.000000	88.230000,-14.240000,0.000000	89.140000,0.000000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
3.119	-1.280000,-86.020000,0.000000	88.260000,-15.830000,0.000000	89.660000,-0.670000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
3.240	-4.830000,-85.230000,0.000000	88.710000,-18.130000,0.000000	90.480000,-4.050000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
3.374	-8.170000,-84.810000,0.000000	89.470000,-20.420000,0.000000	91.440000,-6.800000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
3.510	-8.710000,-84.530000,0.000000	90.370000,-23.190000,0.000000	92.460000,-10.180000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
3.630	-8.720000,-84.160000,0.000000	91.470000,-27.350000,0.000000	93.760000,-14.560000,0.000000	88.100000,-13.700000,0.000000	88.800000,0.320000,0.000000
