time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	5.510000,-71.160000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
0.135	5.580000,-71.240000,0.000000	92.300000,-11.980000,0.000000	91.270000,2.950000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
0.270	5.800000,-71.180000,0.000000	92.280000,-11.960000,0.000000	91.250000,2.960000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
0.389	5.840000,-71.050000,0.000000	92.330000,-11.980000,0.000000	91.270000,3.000000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
0.525	5.950000,-70.970000,0.000000	92.320000,-11.960000,0.000000	91.260000,2.960000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
0.660	5.770000,-70.880000,0.000000	92.290000,-12.010000,0.000000	91.180000,3.000000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
0.780	5.960000,-70.780000,0.000000	92.240000,-12.090000,0.000000	91.150000,3.030000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
0.915	5.910000,-70.790000,0.000000	92.210000,-12.080000,0.000000	91.200000,3.130000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
1.050	6.100000,-70.570000,0.000000	92.190000,-12.070000,0.000000	91.190000,3.240000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
1.170	6.250000,-70.440000,0.000000	92.290000,-12.120000,0.000000	91.200000,3.300000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
1.305	6.180000,-70.330000,0.000000	92.310000,-12.120000,0.000000	91.140000,3.500000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
1.440	6.260000,-70.230000,0.000000	92.230000,-12.130000,0.000000	91.020000,3.550000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
1.560	5.980000,-70.090000,0.000000	92.300000,-12.190000,0.000000	91.130000,3.660000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
1.695	5.790000,-70.010000,0.000000	92.260000,-12.240000,0.000000	91.140000,3.580000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
1.830	6.060000,-70.090000,0.000000	92.450000,-12.110000,0.000000	91.000000,3.760000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
1.950	6.320000,-69.990000,0.000000	92.400000,-12.120000,0.000000	91.000000,3.780000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
2.085	6.040000,-69.820000,0.000000	92.460000,-12.180000,0.000000	91.040000,3.740000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
2.220	6.200000,-69.770000,0.000000	92.250000,-12.100000,0.000000	90.940000,3.780000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
2.340	6.160000,-69.660000,0.000000	92.270000,-12.070000,0.000000	90.960000,3.730000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
2.490	6.510000,-69.550000,0.000000	92.230000,-12.040000,0.000000	90.950000,3.520000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
2.625	6.320000,-69.420000,0.000000	92.110000,-11.940000,0.000000	90.960000,3.620000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
2.730	6.130000,-69.410000,0.000000	92.160000,-12.020000,0.000000	91.030000,3.550000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
2.865	6.220000,-69.290000,0.000000	92.040000,-12.050000,0.000000	91.120000,3.470000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
3.000	6.230000,-69.310000,0.000000	92.050000,-11.990000,0.000000	90.970000,3.550000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
3.120	6.190000,-69.280000,0.000000	92.100000,-11.930000,0.000000	90.990000,3.760000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
3.255	6.120000,-69.250000,0.000000	92.040000,-11.970000,0.000000	90.980000,3.790000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
3.389	5.740000,-69.170000,0.000000	92.100000,-12.040000,0.000000	91.030000,3.770000,0.000000	92.360000,-12.070000,0.000000	91.220000,2.900000,0.000000
