time	pelvis_imu	femur_r_imu	tibia_r_imu
7.800	-97.740000,-75.330000,0.000000	-13.120000,-83.890000,0.000000	101.770000,-58.320000,0.000000
7.935	-102.880000,-75.260000,0.000000	-21.240000,-85.980000,0.000000	102.280000,-60.750000,0.000000
8.070	-109.020000,-75.310000,0.000000	-24.830000,-87.290000,0.000000	101.790000,-62.970000,0.000000
8.189	-112.800000,-74.880000,0.000000	-27.630000,-88.350000,0.000000	100.080000,-65.050000,0.000000
8.339	-115.860000,-74.610000,0.000000	-30.860000,-89.300000,0.000000	99.790000,-66.420000,0.000000
8.459	-119.050000,-74.120000,0.000000	-30.990000,-89.450000,0.000000	98.910000,-67.540000,0.000000
8.580	-121.190000,-74.230000,0.000000	-29.620000,-89.470000,0.000000	97.520000,-68.120000,0.000000
8.715	-122.800000,-74.110000,0.000000	-29.030000,-89.250000,0.000000	96.830000,-68.590000,0.000000
8.850	-123.260000,-73.780000,0.000000	-29.200000,-89.210000,0.000000	95.560000,-68.460000,0.000000
8.970	-124.150000,-73.710000,0.000000	-28.690000,-88.820000,0.000000	95.500000,-68.080000,0.000000
9.104	-125.200000,-73.780000,0.000000	-26.550000,-88.150000,0.000000	95.210000,-67.630000,0.000000
9.240	-123.360000,-73.030000,0.000000	-26.060000,-87.840000,0.000000	95.060000,-66.990000,0.000000
9.359	-121.870000,-72.570000,0.000000	-23.710000,-87.100000,0.000000	93.820000,-66.600000,0.000000
9.494	-121.760000,-72.210000,0.000000	-22.430000,-86.520000,0.000000	93.940000,-65.760000,0.000000
9.630	-119.880000,-71.770000,0.000000	-21.310000,-85.680000,0.000000	92.590000,-65.200000,0.000000
9.749	-120.330000,-72.220000,0.000000	-19.070000,-84.910000,0.000000	91.570000,-64.810000,0.000000
9.885	-119.910000,-72.170000,0.000000	-16.700000,-84.000000,0.000000	89.510000,-64.490000,0.000000
10.020	-119.290000,-71.910000,0.000000	-13.030000,-83.550000,0.000000	89.180000,-63.660000,0.000000
10.140	-117.530000,-71.390000,0.000000	-12.160000,-83.060000,0.000000	88.960000,-62.870000,0.000000
10.275	-114.770000,-71.200000,0.000000	-9.310000,-82.820000,0.000000	88.680000,-61.460000,0.000000
10.410	-112.050000,-71.520000,0.000000	-5.580000,-82.360000,0.000000	89.170000,-60.240000,0.000000
10.530	-109.730000,-71.360000,0.000000	-2.090000,-81.750000,0.000000	89.400000,-58.830000,0.000000
10.680	-108.460000,-71.820000,0.000000	2.590000,-81.480000,0.000000	89.050000,-57.550000,0.000000
