time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	177.690000,-63.530000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
0.120	177.690000,-63.530000,0.000000	98.160000,-15.430000,0.000000	91.270000,19.130000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
0.256	177.690000,-63.530000,0.000000	98.230000,-15.460000,0.000000	91.270000,19.160000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
0.391	177.690000,-63.530000,0.000000	98.260000,-15.460000,0.000000	91.280000,19.190000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
0.511	177.690000,-63.530000,0.000000	98.400000,-15.550000,0.000000	91.330000,19.200000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
0.645	177.690000,-63.530000,0.000000	98.440000,-15.590000,0.000000	91.420000,19.270000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
0.781	177.690000,-63.530000,0.000000	98.540000,-15.740000,0.000000	91.440000,19.660000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
0.901	177.690000,-63.530000,0.000000	98.570000,-15.880000,0.000000	91.280000,19.800000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
1.035	177.690000,-63.530000,0.000000	98.620000,-15.990000,0.000000	91.220000,20.190000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
1.170	177.690000,-63.530000,0.000000	98.610000,-15.810000,0.000000	91.220000,20.520000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
1.291	177.690000,-63.530000,0.000000	98.670000,-15.950000,0.000000	91.190000,20.700000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
1.426	177.690000,-63.530000,0.000000	98.710000,-15.920000,0.000000	91.110000,20.950000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
1.561	177.690000,-63.530000,0.000000	98.750000,-15.920000,0.000000	91.040000,21.160000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
1.681	177.690000,-63.530000,0.000000	98.840000,-15.820000,0.000000	91.040000,21.350000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
1.830	177.690000,-63.530000,0.000000	98.830000,-15.650000,0.000000	91.020000,21.290000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
1.950	177.690000,-63.530000,0.000000	98.750000,-15.640000,0.000000	90.950000,21.270000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
2.086	177.690000,-63.530000,0.000000	98.700000,-15.590000,0.000000	90.970000,21.440000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
2.206	177.690000,-63.530000,0.000000	98.620000,-15.620000,0.000000	91.020000,21.560000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
2.341	177.690000,-63.530000,0.000000	98.590000,-15.730000,0.000000	90.980000,21.480000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
2.461	177.690000,-63.530000,0.000000	98.440000,-15.670000,0.000000	90.930000,21.560000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
2.596	177.690000,-63.530000,0.000000	98.360000,-15.510000,0.000000	90.920000,21.490000,0.000000	98.130000,-15.520000,0.000000	91.290000,19.130000,0.000000
