time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	149.220000,6.080000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
1.111	149.220000,5.910000,0.000000	-15.910000,-2.290000,0.000000	-171.460000,0.930000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
2.532	149.140000,5.970000,0.000000	-15.910000,-2.290000,0.000000	-171.390000,1.130000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
3.863	149.200000,6.010000,0.000000	-15.870000,-2.230000,0.000000	-171.470000,1.080000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
5.039	149.160000,6.030000,0.000000	-15.810000,-2.330000,0.000000	-171.410000,1.120000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
6.422	149.120000,6.030000,0.000000	-15.760000,-2.410000,0.000000	-171.380000,1.080000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
8.007	149.160000,6.050000,0.000000	-15.860000,-2.400000,0.000000	-171.350000,1.160000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
8.890	149.100000,6.010000,0.000000	-15.880000,-2.410000,0.000000	-171.240000,0.950000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
10.276	149.050000,5.950000,0.000000	-15.860000,-2.520000,0.000000	-171.180000,1.000000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
11.584	149.020000,5.950000,0.000000	-15.890000,-2.530000,0.000000	-171.060000,0.940000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
12.897	149.000000,5.980000,0.000000	-15.850000,-2.470000,0.000000	-171.020000,0.910000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
14.378	149.060000,6.120000,0.000000	-15.810000,-2.600000,0.000000	-170.960000,0.860000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
15.534	149.090000,6.220000,0.000000	-15.850000,-2.590000,0.000000	-171.010000,0.760000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
16.754	149.170000,6.080000,0.000000	-15.910000,-2.780000,0.000000	-171.080000,0.810000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
19.194	149.200000,6.070000,0.000000	-16.000000,-2.860000,0.000000	-171.020000,0.840000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
19.733	149.170000,6.170000,0.000000	-16.030000,-2.710000,0.000000	-171.080000,0.700000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
21.553	149.200000,6.190000,0.000000	-16.100000,-2.620000,0.000000	-171.180000,0.690000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
22.227	149.150000,6.180000,0.000000	-16.090000,-2.510000,0.000000	-171.110000,0.700000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
23.395	149.200000,6.180000,0.000000	-16.040000,-2.560000,0.000000	-170.820000,0.670000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
24.604	149.260000,6.170000,0.000000	-16.060000,-2.590000,0.000000	-170.950000,0.710000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
26.341	149.250000,6.110000,0.000000	-16.090000,-2.560000,0.000000	-170.950000,0.740000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
27.593	149.320000,6.070000,0.000000	-16.140000,-2.500000,0.000000	-170.990000,0.730000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
28.755	149.280000,6.080000,0.000000	-16.100000,-2.520000,0.000000	-171.040000,0.850000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
29.884	149.210000,6.140000,0.000000	-16.070000,-2.520000,0.000000	-171.000000,0.810000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
31.108	149.180000,6.050000,0.000000	-16.070000,-2.380000,0.000000	-171.030000,0.860000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
32.392	149.250000,6.060000,0.000000	-15.980000,-2.470000,0.000000	-171.090000,0.900000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
34.186	149.300000,6.080000,0.000000	-16.040000,-2.440000,0.000000	-171.110000,0.970000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
35.381	149.180000,6.230000,0.000000	-16.040000,-2.430000,0.000000	-171.130000,0.890000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
36.597	149.130000,6.130000,0.000000	-15.990000,-2.380000,0.000000	-171.240000,0.950000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
37.744	149.060000,6.080000,0.000000	-15.920000,-2.520000,0.000000	-171.240000,0.980000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
38.977	149.080000,6.090000,0.000000	-15.860000,-2.650000,0.000000	-171.190000,0.960000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
40.195	149.000000,6.050000,0.000000	-15.860000,-2.650000,0.000000	-171.090000,1.020000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
41.993	148.990000,6.150000,0.000000	-15.910000,-2.580000,0.000000	-171.000000,1.010000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
43.110	148.920000,6.050000,0.000000	-15.860000,-2.590000,0.000000	-171.010000,1.000000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
44.392	148.930000,6.080000,0.000000	-15.890000,-2.630000,0.000000	-171.110000,1.020000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
45.534	148.940000,6.020000,0.000000	-15.940000,-2.700000,0.000000	-171.220000,1.050000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
46.800	149.110000,6.010000,0.000000	-15.940000,-2.750000,0.000000	-171.300000,0.840000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
47.913	149.040000,5.930000,0.000000	-15.970000,-2.730000,0.000000	-171.140000,0.900000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
49.766	148.960000,5.960000,0.000000	-16.110000,-2.590000,0.000000	-171.380000,1.050000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
50.912	149.080000,5.920000,0.000000	-16.090000,-2.640000,0.000000	-171.220000,1.070000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
52.172	149.010000,5.930000,0.000000	-16.080000,-2.660000,0.000000	-171.130000,1.070000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
53.394	148.980000,5.890000,0.000000	-16.080000,-2.630000,0.000000	-171.100000,1.040000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
54.595	149.080000,5.910000,0.000000	-16.130000,-2.680000,0.000000	-171.070000,0.960000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
55.789	148.940000,6.000000,0.000000	-16.100000,-2.710000,0.000000	-171.100000,0.890000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
57.478	148.990000,5.990000,0.000000	-16.060000,-2.720000,0.000000	-171.140000,0.890000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
58.728	149.080000,6.020000,0.000000	-15.930000,-2.600000,0.000000	-171.200000,0.910000,0.000000	-15.890000,-2.300000,0.000000	-171.520000,0.940000,0.000000
