time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	1.620000,-66.380000,174.000000	79.450000,49.250000,242.000000	84.440000,-84.460000,183.000000	-2.170000,85.080000,28.000000	-119.680000,-84.900000,312.000000
0.165	1.640000,-66.430000,176.000000	79.270000,49.240000,240.000000	89.750000,-84.620000,164.000000	-4.090000,85.220000,34.000000	-121.960000,-85.050000,320.000000
0.315	1.750000,-66.440000,178.000000	79.240000,49.080000,241.000000	98.910000,-84.530000,184.000000	-4.770000,85.350000,33.000000	-122.780000,-85.130000,319.000000
0.480	1.780000,-66.360000,174.000000	78.900000,49.140000,241.000000	106.030000,-84.630000,179.000000	-3.700000,85.530000,21.000000	-123.620000,-85.300000,320.000000
0.629	1.830000,-66.130000,173.000000	78.580000,49.080000,239.000000	112.510000,-84.680000,182.000000	-1.330000,85.650000,15.000000	-123.140000,-85.510000,329.000000
0.780	1.810000,-65.960000,175.000000	78.380000,49.260000,241.000000	117.720000,-84.800000,180.000000	0.270000,85.590000,15.000000	-121.900000,-85.450000,328.000000
0.960	1.390000,-65.920000,174.000000	78.000000,49.060000,242.000000	121.140000,-84.990000,187.000000	3.790000,85.600000,0.000000	-119.180000,-85.590000,319.000000
1.095	1.490000,-65.720000,175.000000	77.810000,49.020000,241.000000	128.370000,-84.930000,196.000000	3.040000,85.640000,40.000000	-117.560000,-85.650000,327.000000
1.259	1.570000,-65.270000,177.000000	78.650000,48.950000,275.000000	136.920000,-84.750000,214.000000	5.370000,85.180000,11.000000	-108.860000,-85.910000,331.000000
1.424	4.060000,-64.750000,186.000000	79.880000,49.820000,232.000000	121.690000,-84.640000,97.000000	6.430000,84.370000,15.000000	-115.420000,-84.740000,278.000000
1.574	3.160000,-64.920000,171.000000	79.530000,48.620000,248.000000	122.780000,-84.220000,180.000000	6.970000,85.000000,64.000000	-124.070000,-84.560000,272.000000
1.725	0.250000,-65.230000,156.000000	78.710000,46.710000,248.000000	91.090000,-84.580000,347.000000	-19.070000,84.870000,165.000000	142.130000,-85.170000,215.000000
1.889	-2.140000,-67.050000,160.000000	78.390000,44.850000,240.000000	106.130000,-82.710000,215.000000	-37.140000,83.510000,116.000000	138.940000,-84.070000,206.000000
2.040	-6.500000,-68.960000,149.000000	79.590000,41.640000,229.000000	120.940000,-66.190000,241.000000	-49.430000,84.040000,126.000000	131.330000,-83.990000,196.000000
2.220	-13.770000,-70.730000,123.000000	79.650000,37.080000,235.000000	133.080000,-62.150000,201.000000	-66.100000,83.530000,144.000000	118.710000,-83.150000,184.000000
2.355	-26.420000,-73.610000,83.000000	79.710000,30.850000,239.000000	143.540000,-59.430000,202.000000	-77.710000,83.020000,119.000000	116.110000,-82.110000,207.000000
2.520	-37.680000,-76.280000,73.000000	78.960000,26.370000,234.000000	153.100000,-53.910000,199.000000	-83.160000,82.410000,103.000000	119.130000,-81.670000,205.000000
2.670	-39.240000,-77.550000,135.000000	79.190000,23.910000,236.000000	160.810000,-52.910000,205.000000	-90.810000,82.170000,122.000000	112.520000,-81.510000,189.000000
2.835	-41.760000,-78.520000,127.000000	79.690000,22.860000,235.000000	166.990000,-53.980000,209.000000	-100.490000,81.900000,136.000000	114.170000,-81.750000,220.000000
2.985	-40.150000,-77.800000,150.000000	80.830000,24.170000,233.000000	171.040000,-56.470000,205.000000	-107.620000,82.480000,142.000000	112.130000,-82.210000,223.000000
3.135	-38.780000,-77.010000,149.000000	80.330000,25.940000,243.000000	162.090000,-59.190000,140.000000	-114.090000,83.010000,140.000000	111.850000,-82.470000,208.000000
