time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	4.490000,-68.410000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
0.135	4.410000,-68.450000,0.000000	89.600000,-10.060000,0.000000	89.980000,2.160000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
0.255	4.530000,-68.450000,0.000000	89.580000,-10.120000,0.000000	89.910000,2.060000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
0.390	4.410000,-68.390000,0.000000	89.690000,-10.070000,0.000000	89.940000,1.990000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
0.525	4.610000,-68.400000,0.000000	89.680000,-10.040000,0.000000	89.990000,2.100000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
0.644	4.750000,-68.380000,0.000000	89.710000,-10.040000,0.000000	89.920000,2.020000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
0.780	4.780000,-68.380000,0.000000	89.620000,-9.990000,0.000000	90.000000,1.950000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
0.915	4.640000,-68.380000,0.000000	89.590000,-10.000000,0.000000	90.000000,1.940000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
1.035	4.560000,-68.310000,0.000000	89.570000,-9.930000,0.000000	90.090000,1.930000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
1.170	4.300000,-68.390000,0.000000	89.500000,-9.910000,0.000000	90.130000,1.960000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
1.304	4.120000,-68.490000,0.000000	89.480000,-9.890000,0.000000	90.210000,1.890000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
1.425	4.120000,-68.410000,0.000000	89.440000,-9.830000,0.000000	90.170000,1.900000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
1.560	4.360000,-68.380000,0.000000	89.350000,-9.850000,0.000000	90.240000,1.840000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
1.695	4.190000,-68.320000,0.000000	89.330000,-9.830000,0.000000	90.200000,1.990000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
1.815	4.170000,-68.290000,0.000000	89.390000,-9.750000,0.000000	90.230000,1.940000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
1.951	4.120000,-68.240000,0.000000	89.410000,-9.670000,0.000000	90.280000,1.980000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
2.085	4.180000,-68.160000,0.000000	89.470000,-9.610000,0.000000	90.240000,2.020000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
2.205	4.470000,-68.120000,0.000000	89.470000,-9.680000,0.000000	90.290000,2.010000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
2.340	4.740000,-68.070000,0.000000	89.530000,-9.560000,0.000000	90.290000,1.980000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
2.475	4.810000,-68.150000,0.000000	89.520000,-9.580000,0.000000	90.280000,1.980000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
2.595	5.110000,-68.110000,0.000000	89.540000,-9.430000,0.000000	90.310000,1.970000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
2.730	5.380000,-68.080000,0.000000	89.550000,-9.470000,0.000000	90.260000,2.060000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
2.865	5.290000,-68.120000,0.000000	89.700000,-9.430000,0.000000	90.350000,2.090000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
2.985	5.290000,-68.110000,0.000000	89.780000,-9.440000,0.000000	90.370000,2.160000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
3.120	5.580000,-68.050000,0.000000	89.740000,-9.510000,0.000000	90.410000,2.210000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
3.255	5.390000,-68.070000,0.000000	89.760000,-9.500000,0.000000	90.370000,2.190000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
3.375	5.610000,-68.120000,0.000000	89.740000,-9.480000,0.000000	90.460000,2.180000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
3.510	5.220000,-68.130000,0.000000	89.630000,-9.410000,0.000000	90.530000,2.230000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
3.645	5.350000,-68.130000,0.000000	89.750000,-9.450000,0.000000	90.420000,2.310000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
3.765	5.060000,-68.220000,0.000000	89.760000,-9.390000,0.000000	90.390000,2.330000,0.000000	89.640000,-10.140000,0.000000	89.980000,2.170000,0.000000
