time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	3.000000,-64.950000,175.000000	78.640000,52.900000,236.000000	66.950000,-88.460000,129.000000	16.970000,84.810000,10.000000	-79.380000,-85.460000,7.000000
0.150	3.060000,-65.030000,174.000000	78.870000,52.770000,239.000000	65.470000,-88.540000,137.000000	16.190000,84.730000,5.000000	-79.960000,-85.470000,347.000000
0.315	3.020000,-65.000000,176.000000	78.840000,52.680000,240.000000	67.240000,-88.570000,158.000000	15.580000,84.750000,13.000000	-79.930000,-85.470000,356.000000
0.465	2.840000,-65.060000,174.000000	79.000000,52.520000,238.000000	65.320000,-88.370000,147.000000	14.780000,84.660000,2.000000	-80.660000,-85.290000,7.000000
0.644	3.000000,-65.080000,177.000000	79.240000,52.350000,239.000000	68.170000,-88.430000,158.000000	14.300000,84.630000,2.000000	-80.520000,-85.030000,7.000000
0.780	3.310000,-65.230000,175.000000	79.420000,52.230000,237.000000	67.910000,-88.310000,151.000000	12.150000,84.520000,16.000000	-79.610000,-84.850000,7.000000
0.930	3.590000,-65.250000,175.000000	79.530000,52.130000,239.000000	65.100000,-88.190000,142.000000	11.160000,84.370000,3.000000	-79.350000,-84.790000,354.000000
1.095	3.670000,-65.220000,177.000000	79.650000,52.030000,239.000000	64.880000,-88.020000,158.000000	10.170000,84.260000,17.000000	-79.500000,-84.690000,359.000000
1.245	3.420000,-65.220000,175.000000	79.840000,51.890000,238.000000	64.380000,-87.890000,164.000000	9.420000,84.120000,21.000000	-79.660000,-84.740000,352.000000
1.410	3.350000,-65.300000,175.000000	79.980000,51.760000,238.000000	64.300000,-87.730000,139.000000	8.120000,83.950000,8.000000	-80.130000,-84.770000,0.000000
1.560	3.670000,-65.370000,175.000000	80.030000,51.760000,240.000000	65.250000,-87.650000,153.000000	8.330000,83.870000,14.000000	-79.150000,-84.660000,353.000000
1.755	3.530000,-65.400000,176.000000	80.010000,51.690000,239.000000	64.410000,-87.590000,152.000000	8.160000,83.790000,14.000000	-79.000000,-84.440000,8.000000
1.875	3.320000,-65.430000,175.000000	80.030000,51.730000,240.000000	61.650000,-87.570000,155.000000	8.780000,83.720000,18.000000	-78.970000,-84.240000,349.000000
2.040	2.950000,-65.410000,174.000000	79.860000,51.700000,238.000000	61.810000,-87.680000,143.000000	9.080000,83.700000,17.000000	-80.470000,-84.290000,2.000000
2.189	3.020000,-65.420000,177.000000	79.920000,51.770000,238.000000	63.770000,-87.630000,148.000000	8.850000,83.760000,11.000000	-80.400000,-84.250000,8.000000
2.355	3.210000,-65.260000,177.000000	79.840000,51.800000,240.000000	63.540000,-87.630000,144.000000	8.810000,83.740000,17.000000	-79.940000,-84.270000,357.000000
2.505	3.290000,-65.170000,175.000000	79.800000,51.910000,237.000000	62.540000,-87.610000,132.000000	8.590000,83.690000,11.000000	-80.090000,-84.280000,3.000000
2.669	3.290000,-65.050000,176.000000	79.470000,51.890000,237.000000	65.180000,-87.520000,161.000000	8.990000,83.730000,7.000000	-79.360000,-84.150000,356.000000
2.820	3.130000,-64.930000,173.000000	79.460000,51.940000,238.000000	60.450000,-87.590000,152.000000	10.530000,83.730000,11.000000	-80.310000,-84.150000,350.000000
