time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	-32.660000,-78.090000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
0.120	-32.660000,-78.090000,0.000000	90.960000,-17.200000,0.000000	84.770000,14.580000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
0.256	-32.660000,-78.090000,0.000000	91.020000,-17.410000,0.000000	84.830000,14.550000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
0.391	-32.660000,-78.090000,0.000000	91.100000,-17.500000,0.000000	84.820000,14.580000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
0.510	-32.660000,-78.090000,0.000000	91.140000,-17.540000,0.000000	84.820000,14.620000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
0.645	-32.660000,-78.090000,0.000000	91.130000,-17.630000,0.000000	84.930000,14.610000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
0.780	-32.660000,-78.090000,0.000000	91.170000,-17.700000,0.000000	85.100000,14.530000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
0.901	-32.660000,-78.090000,0.000000	91.290000,-17.680000,0.000000	85.200000,14.520000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
1.035	-32.660000,-78.090000,0.000000	91.350000,-17.740000,0.000000	85.220000,14.370000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
1.171	-32.660000,-78.090000,0.000000	91.340000,-17.820000,0.000000	85.240000,14.400000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
1.290	-32.660000,-78.090000,0.000000	91.360000,-17.790000,0.000000	85.260000,14.460000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
1.425	-32.660000,-78.090000,0.000000	91.290000,-17.730000,0.000000	85.380000,14.500000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
1.560	-32.660000,-78.090000,0.000000	91.270000,-17.660000,0.000000	85.220000,14.480000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
1.680	-32.660000,-78.090000,0.000000	91.330000,-17.700000,0.000000	85.260000,14.480000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
1.815	-32.660000,-78.090000,0.000000	91.400000,-17.780000,0.000000	85.190000,14.530000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
1.950	-32.660000,-78.090000,0.000000	91.290000,-17.790000,0.000000	85.110000,14.550000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
2.070	-32.660000,-78.090000,0.000000	91.290000,-17.820000,0.000000	85.150000,14.530000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
2.205	-32.660000,-78.090000,0.000000	91.370000,-17.810000,0.000000	85.080000,14.490000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
2.341	-32.660000,-78.090000,0.000000	91.400000,-17.790000,0.000000	85.030000,14.440000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
2.460	-32.660000,-78.090000,0.000000	91.460000,-18.020000,0.000000	85.100000,14.440000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
2.595	-32.660000,-78.090000,0.000000	91.450000,-18.020000,0.000000	85.030000,14.430000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
2.765	-32.660000,-78.090000,0.000000	91.510000,-17.990000,0.000000	85.030000,14.540000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
2.850	-32.660000,-78.090000,0.000000	91.420000,-17.980000,0.000000	85.010000,14.500000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
2.986	-32.660000,-78.090000,0.000000	91.440000,-17.970000,0.000000	85.010000,14.570000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
3.121	-32.660000,-78.090000,0.000000	91.440000,-17.960000,0.000000	84.960000,14.640000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
3.240	-32.660000,-78.090000,0.000000	91.530000,-17.950000,0.000000	84.950000,14.670000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
3.376	-32.660000,-78.090000,0.000000	91.560000,-17.960000,0.000000	84.960000,14.740000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
3.510	-32.660000,-78.090000,0.000000	91.520000,-18.010000,0.000000	84.940000,14.670000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
3.631	-32.660000,-78.090000,0.000000	91.540000,-18.160000,0.000000	84.910000,14.950000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
3.765	-32.660000,-78.090000,0.000000	91.520000,-18.020000,0.000000	84.860000,15.000000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
3.900	-32.660000,-78.090000,0.000000	91.310000,-18.090000,0.000000	84.870000,14.970000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
4.021	-32.660000,-78.090000,0.000000	91.240000,-18.030000,0.000000	84.810000,14.830000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
4.155	-32.660000,-78.090000,0.000000	91.380000,-18.030000,0.000000	84.980000,14.920000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
4.290	-32.660000,-78.090000,0.000000	91.390000,-17.990000,0.000000	85.060000,14.840000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
4.410	-32.660000,-78.090000,0.000000	91.370000,-17.990000,0.000000	85.040000,14.890000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
4.546	-32.660000,-78.090000,0.000000	91.380000,-17.820000,0.000000	84.930000,15.020000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
4.680	-32.660000,-78.090000,0.000000	91.380000,-17.760000,0.000000	84.860000,15.040000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
4.801	-32.660000,-78.090000,0.000000	91.340000,-17.780000,0.000000	84.890000,15.000000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
4.935	-32.660000,-78.090000,0.000000	91.310000,-17.620000,0.000000	84.930000,15.020000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
5.070	-32.660000,-78.090000,0.000000	91.250000,-17.610000,0.000000	84.860000,14.860000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
5.190	-32.660000,-78.090000,0.000000	91.220000,-17.650000,0.000000	84.900000,15.020000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
5.325	-32.660000,-78.090000,0.000000	91.290000,-17.650000,0.000000	84.850000,14.980000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
5.461	-32.660000,-78.090000,0.000000	91.230000,-17.580000,0.000000	84.930000,14.930000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
5.580	-32.660000,-78.090000,0.000000	91.280000,-17.490000,0.000000	84.730000,14.670000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
5.715	-32.660000,-78.090000,0.000000	91.390000,-17.710000,0.000000	84.920000,14.700000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
5.850	-32.660000,-78.090000,0.000000	91.090000,-18.290000,0.000000	85.610000,12.580000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
5.970	-32.660000,-78.090000,0.000000	90.300000,-19.600000,0.000000	85.360000,13.300000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
6.105	-32.660000,-78.090000,0.000000	89.810000,-22.850000,0.000000	85.270000,10.100000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
6.239	-32.660000,-78.090000,0.000000	90.780000,-26.610000,0.000000	86.770000,7.950000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
6.376	-32.660000,-78.090000,0.000000	91.740000,-31.320000,0.000000	87.600000,5.740000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
6.495	-32.660000,-78.090000,0.000000	94.310000,-38.370000,0.000000	88.350000,1.750000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
6.631	-32.660000,-78.090000,0.000000	93.340000,-45.740000,0.000000	89.720000,-3.110000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
6.750	-32.660000,-78.090000,0.000000	94.180000,-53.480000,0.000000	90.860000,-7.770000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
6.885	-32.660000,-78.090000,0.000000	82.710000,-61.400000,0.000000	92.150000,-13.250000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
7.020	-32.660000,-78.090000,0.000000	61.270000,-67.760000,0.000000	93.600000,-18.140000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
7.140	-32.660000,-78.090000,0.000000	47.310000,-72.920000,0.000000	94.630000,-23.290000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
7.275	-32.660000,-78.090000,0.000000	33.850000,-77.750000,0.000000	95.280000,-27.930000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
7.410	-32.660000,-78.090000,0.000000	21.040000,-81.900000,0.000000	95.750000,-32.230000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
7.531	-32.660000,-78.090000,0.000000	10.020000,-85.280000,0.000000	96.490000,-35.620000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
7.665	-32.660000,-78.090000,0.000000	5.030000,-88.160000,0.000000	97.630000,-38.140000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
7.800	-32.660000,-78.090000,0.000000	-2.400000,-90.450000,0.000000	98.510000,-40.320000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
7.920	-32.660000,-78.090000,0.000000	-11.390000,-92.380000,0.000000	99.080000,-41.530000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
8.055	-32.660000,-78.090000,0.000000	-10.690000,-94.050000,0.000000	99.300000,-42.580000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
8.191	-32.660000,-78.090000,0.000000	-17.330000,-95.320000,0.000000	99.420000,-43.520000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
8.310	-32.660000,-78.090000,0.000000	-22.030000,-96.230000,0.000000	99.320000,-44.120000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
8.445	-32.660000,-78.090000,0.000000	-21.710000,-96.730000,0.000000	99.080000,-44.550000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
8.595	-32.660000,-78.090000,0.000000	-21.670000,-96.890000,0.000000	99.390000,-44.360000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
8.701	-32.660000,-78.090000,0.000000	-22.590000,-96.810000,0.000000	99.170000,-44.550000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
8.835	-32.660000,-78.090000,0.000000	-27.370000,-96.820000,0.000000	98.900000,-45.140000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
8.970	-32.660000,-78.090000,0.000000	-30.450000,-96.340000,0.000000	98.910000,-45.360000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
9.090	-32.660000,-78.090000,0.000000	-33.870000,-95.680000,0.000000	98.700000,-45.610000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
9.240	-32.660000,-78.090000,0.000000	-35.060000,-95.030000,0.000000	98.500000,-45.570000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
9.360	-32.660000,-78.090000,0.000000	-32.590000,-94.240000,0.000000	98.290000,-45.540000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
9.480	-32.660000,-78.090000,0.000000	-32.830000,-93.540000,0.000000	97.930000,-45.320000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
9.615	-32.660000,-78.090000,0.000000	-32.300000,-92.880000,0.000000	98.000000,-44.840000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
9.750	-32.660000,-78.090000,0.000000	-35.100000,-92.210000,0.000000	97.300000,-45.170000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
9.870	-32.660000,-78.090000,0.000000	-35.950000,-91.350000,0.000000	97.010000,-44.980000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
10.005	-32.660000,-78.090000,0.000000	-35.290000,-90.630000,0.000000	97.180000,-44.060000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
10.140	-32.660000,-78.090000,0.000000	-38.530000,-89.960000,0.000000	96.510000,-44.280000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
10.260	-32.660000,-78.090000,0.000000	-38.220000,-89.630000,0.000000	96.230000,-43.770000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
10.395	-32.660000,-78.090000,0.000000	-42.560000,-89.220000,0.000000	95.970000,-43.590000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
10.530	-32.660000,-78.090000,0.000000	-42.440000,-88.930000,0.000000	95.850000,-43.170000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
10.650	-32.660000,-78.090000,0.000000	-41.640000,-88.520000,0.000000	95.550000,-42.590000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
10.785	-32.660000,-78.090000,0.000000	-41.330000,-88.090000,0.000000	95.290000,-42.160000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
10.920	-32.660000,-78.090000,0.000000	-37.200000,-87.830000,0.000000	94.730000,-41.730000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
11.041	-32.660000,-78.090000,0.000000	-33.920000,-87.130000,0.000000	94.130000,-41.510000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
11.175	-32.660000,-78.090000,0.000000	-32.380000,-86.600000,0.000000	93.450000,-41.460000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
11.310	-32.660000,-78.090000,0.000000	-31.230000,-86.380000,0.000000	93.570000,-40.930000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
11.430	-32.660000,-78.090000,0.000000	-30.990000,-85.990000,0.000000	93.800000,-40.130000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
11.565	-32.660000,-78.090000,0.000000	-29.340000,-85.550000,0.000000	93.380000,-39.760000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
11.700	-32.660000,-78.090000,0.000000	-26.560000,-85.080000,0.000000	93.420000,-38.830000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
11.820	-32.660000,-78.090000,0.000000	-22.930000,-84.790000,0.000000	93.630000,-37.970000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
11.955	-32.660000,-78.090000,0.000000	-21.000000,-84.660000,0.000000	93.760000,-37.010000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
12.090	-32.660000,-78.090000,0.000000	-16.150000,-85.030000,0.000000	93.840000,-35.900000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
12.210	-32.660000,-78.090000,0.000000	-13.760000,-84.550000,0.000000	93.270000,-35.590000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
12.345	-32.660000,-78.090000,0.000000	-10.380000,-84.180000,0.000000	92.490000,-35.280000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
12.480	-32.660000,-78.090000,0.000000	-5.340000,-84.260000,0.000000	92.320000,-34.530000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
12.600	-32.660000,-78.090000,0.000000	-2.150000,-84.120000,0.000000	92.000000,-33.840000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
12.735	-32.660000,-78.090000,0.000000	1.090000,-84.210000,0.000000	91.970000,-33.220000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
12.870	-32.660000,-78.090000,0.000000	5.180000,-84.370000,0.000000	92.080000,-32.560000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
12.990	-32.660000,-78.090000,0.000000	7.710000,-84.340000,0.000000	92.310000,-32.170000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
13.125	-32.660000,-78.090000,0.000000	8.580000,-84.530000,0.000000	92.400000,-31.640000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
13.260	-32.660000,-78.090000,0.000000	10.420000,-84.620000,0.000000	92.400000,-30.850000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
13.380	-32.660000,-78.090000,0.000000	13.550000,-84.730000,0.000000	92.380000,-30.390000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
13.515	-32.660000,-78.090000,0.000000	14.970000,-84.790000,0.000000	92.350000,-29.920000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
13.650	-32.660000,-78.090000,0.000000	18.490000,-84.490000,0.000000	92.260000,-29.530000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
13.770	-32.660000,-78.090000,0.000000	18.880000,-84.540000,0.000000	92.310000,-29.170000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
13.905	-32.660000,-78.090000,0.000000	17.840000,-84.560000,0.000000	92.310000,-29.220000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
14.040	-32.660000,-78.090000,0.000000	15.170000,-84.480000,0.000000	92.240000,-29.460000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
14.160	-32.660000,-78.090000,0.000000	14.960000,-84.450000,0.000000	92.700000,-29.730000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
14.295	-32.660000,-78.090000,0.000000	14.120000,-84.390000,0.000000	92.880000,-30.270000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
14.430	-32.660000,-78.090000,0.000000	17.530000,-84.210000,0.000000	92.790000,-31.030000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
14.550	-32.660000,-78.090000,0.000000	16.690000,-84.340000,0.000000	92.800000,-31.890000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
14.685	-32.660000,-78.090000,0.000000	19.200000,-84.130000,0.000000	92.840000,-33.010000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
14.820	-32.660000,-78.090000,0.000000	18.450000,-83.920000,0.000000	92.990000,-33.760000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
14.940	-32.660000,-78.090000,0.000000	16.590000,-83.690000,0.000000	93.150000,-34.470000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
15.075	-32.660000,-78.090000,0.000000	15.220000,-83.800000,0.000000	93.290000,-35.010000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
15.210	-32.660000,-78.090000,0.000000	14.200000,-84.010000,0.000000	93.110000,-35.940000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
15.330	-32.660000,-78.090000,0.000000	15.560000,-83.930000,0.000000	93.390000,-35.920000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
15.465	-32.660000,-78.090000,0.000000	11.880000,-83.970000,0.000000	93.400000,-36.510000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
15.600	-32.660000,-78.090000,0.000000	7.550000,-83.640000,0.000000	93.350000,-35.960000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
15.720	-32.660000,-78.090000,0.000000	5.280000,-83.000000,0.000000	93.630000,-34.900000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
15.855	-32.660000,-78.090000,0.000000	1.280000,-82.900000,0.000000	94.060000,-33.240000,0.000000	90.930000,-17.100000,0.000000	84.760000,14.680000,0.000000
