time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	-2.510000,-79.060000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.04368	-2.300000,-79.050000,0.000000	91.310000,4.960000,0.000000	85.890000,6.620000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.07744	-2.440000,-79.050000,0.000000	91.250000,4.930000,0.000000	85.910000,6.560000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.12918	-2.710000,-79.070000,0.000000	91.230000,4.960000,0.000000	85.910000,6.600000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.17773	-2.870000,-79.090000,0.000000	91.230000,4.990000,0.000000	85.900000,6.600000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.21708	-2.790000,-79.130000,0.000000	91.210000,4.980000,0.000000	85.880000,6.590000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.26119	-2.780000,-79.120000,0.000000	91.230000,4.910000,0.000000	85.870000,6.550000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.32300	-2.760000,-79.120000,0.000000	91.240000,4.880000,0.000000	85.880000,6.530000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.35870	-2.910000,-79.120000,0.000000	91.210000,4.890000,0.000000	85.820000,6.550000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.40357	-2.800000,-79.090000,0.000000	91.220000,4.890000,0.000000	85.820000,6.510000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.44972	-2.750000,-79.090000,0.000000	91.250000,4.870000,0.000000	85.820000,6.510000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.49316	-2.810000,-79.150000,0.000000	91.270000,4.760000,0.000000	85.890000,6.480000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.53385	-2.880000,-79.100000,0.000000	91.310000,4.740000,0.000000	85.930000,6.380000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.58405	-2.890000,-79.070000,0.000000	91.320000,4.740000,0.000000	85.920000,6.410000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.62610	-2.880000,-79.080000,0.000000	91.260000,4.800000,0.000000	85.880000,6.460000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.67063	-2.870000,-79.080000,0.000000	91.330000,4.850000,0.000000	85.830000,6.490000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.71863	-2.850000,-79.070000,0.000000	91.250000,4.870000,0.000000	85.800000,6.410000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.76252	-2.560000,-79.070000,0.000000	91.260000,4.940000,0.000000	85.820000,6.460000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
0.80867	-2.700000,-79.090000,0.000000	91.260000,5.060000,0.000000	85.760000,6.470000,0.000000	91.330000,4.980000,0.000000	85.890000,6.610000,0.000000
