time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	30.190000,-78.840000,0.000000	97.760000,-5.030000,0.000000	99.440000,5.110000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.120	30.570000,-79.140000,0.000000	97.750000,-5.130000,0.000000	99.590000,5.130000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.255	29.990000,-79.390000,0.000000	97.780000,-5.390000,0.000000	99.670000,5.080000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.390	29.500000,-79.620000,0.000000	97.810000,-5.750000,0.000000	99.700000,5.020000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.509	30.100000,-79.680000,0.000000	97.770000,-5.900000,0.000000	99.670000,5.140000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.645	29.330000,-79.840000,0.000000	97.820000,-6.090000,0.000000	99.630000,5.170000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.779	28.950000,-79.920000,0.000000	97.850000,-6.220000,0.000000	99.480000,5.140000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.899	28.740000,-79.990000,0.000000	97.850000,-6.380000,0.000000	99.400000,5.280000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.035	28.960000,-80.140000,0.000000	97.880000,-6.520000,0.000000	99.480000,5.330000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.169	27.820000,-80.120000,0.000000	97.800000,-6.840000,0.000000	99.380000,5.220000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.290	28.320000,-80.070000,0.000000	97.630000,-7.010000,0.000000	99.300000,5.170000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.424	28.270000,-80.210000,0.000000	97.520000,-7.510000,0.000000	99.360000,5.010000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.559	28.870000,-80.180000,0.000000	97.400000,-7.730000,0.000000	99.460000,4.790000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.679	28.530000,-80.320000,0.000000	97.260000,-7.790000,0.000000	99.180000,5.270000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.830	28.570000,-80.410000,0.000000	97.460000,-8.160000,0.000000	99.190000,5.520000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.950	28.950000,-80.280000,0.000000	97.410000,-8.320000,0.000000	99.130000,5.700000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.070	28.510000,-80.320000,0.000000	97.430000,-8.420000,0.000000	99.050000,5.820000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.205	28.130000,-80.470000,0.000000	97.560000,-8.760000,0.000000	99.080000,5.620000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.339	28.220000,-80.440000,0.000000	97.540000,-8.640000,0.000000	98.880000,5.710000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.460	28.380000,-80.260000,0.000000	97.300000,-8.460000,0.000000	98.570000,5.520000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.594	28.020000,-80.320000,0.000000	97.510000,-8.810000,0.000000	98.710000,5.370000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.730	28.650000,-80.120000,0.000000	97.320000,-8.760000,0.000000	98.630000,5.530000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.849	27.920000,-80.020000,0.000000	97.220000,-8.990000,0.000000	98.600000,5.450000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.985	27.540000,-79.910000,0.000000	97.240000,-8.900000,0.000000	98.630000,5.350000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
3.120	27.390000,-79.670000,0.000000	97.210000,-8.870000,0.000000	98.740000,5.380000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
3.239	28.080000,-79.590000,0.000000	97.200000,-8.820000,0.000000	98.810000,5.350000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
3.375	27.850000,-79.580000,0.000000	97.050000,-8.850000,0.000000	98.720000,5.180000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
3.509	27.890000,-79.460000,0.000000	97.240000,-8.790000,0.000000	98.770000,5.370000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
3.630	26.930000,-79.310000,0.000000	97.140000,-8.620000,0.000000	98.700000,5.340000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
3.765	26.360000,-79.270000,0.000000	97.130000,-8.590000,0.000000	98.610000,5.200000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
3.900	26.180000,-79.280000,0.000000	97.090000,-8.370000,0.000000	98.590000,5.220000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
4.020	25.340000,-79.250000,0.000000	97.020000,-8.520000,0.000000	98.640000,5.080000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
4.155	25.470000,-79.230000,0.000000	97.010000,-8.590000,0.000000	98.720000,5.000000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
4.290	26.120000,-79.200000,0.000000	97.070000,-8.640000,0.000000	98.690000,4.930000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
