time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	-16.060000,-67.270000,0.000000	20.500000,78.830000,0.000000	137.390000,-90.610000,0.000000
0.120	-15.840000,-67.200000,0.000000	19.750000,78.960000,0.000000	140.250000,-90.840000,0.000000
0.255	-15.610000,-67.190000,0.000000	19.730000,78.990000,0.000000	141.980000,-90.900000,0.000000
0.405	-15.610000,-67.300000,0.000000	19.810000,79.070000,0.000000	142.600000,-90.940000,0.000000
0.510	-15.820000,-67.410000,0.000000	20.370000,79.080000,0.000000	145.660000,-90.870000,0.000000
0.645	-16.080000,-67.440000,0.000000	20.080000,79.110000,0.000000	145.150000,-90.740000,0.000000
0.780	-16.240000,-67.410000,0.000000	20.470000,78.910000,0.000000	143.860000,-90.530000,0.000000
0.900	-15.920000,-67.390000,0.000000	19.690000,78.790000,0.000000	143.390000,-90.350000,0.000000
1.050	-16.120000,-67.430000,0.000000	20.220000,78.610000,0.000000	138.860000,-90.190000,0.000000
1.170	-16.500000,-67.470000,0.000000	21.300000,78.370000,0.000000	134.950000,-90.060000,0.000000
1.290	-17.000000,-67.380000,0.000000	21.300000,78.280000,0.000000	130.520000,-89.880000,0.000000
1.425	-17.620000,-67.640000,0.000000	21.880000,78.060000,0.000000	131.200000,-89.730000,0.000000
1.560	-17.910000,-67.570000,0.000000	22.400000,77.900000,0.000000	125.790000,-89.710000,0.000000
1.680	-18.130000,-67.760000,0.000000	23.340000,77.660000,0.000000	125.610000,-89.630000,0.000000
1.815	-18.400000,-67.730000,0.000000	24.390000,77.530000,0.000000	123.670000,-89.530000,0.000000
1.950	-18.130000,-67.820000,0.000000	24.240000,77.520000,0.000000	127.990000,-89.320000,0.000000
2.070	-17.930000,-67.960000,0.000000	25.020000,77.460000,0.000000	130.670000,-89.040000,0.000000
2.204	-18.500000,-68.000000,0.000000	26.570000,77.310000,0.000000	127.700000,-88.940000,0.000000
2.340	-18.820000,-68.070000,0.000000	26.920000,77.200000,0.000000	125.290000,-88.890000,0.000000
2.460	-18.940000,-68.150000,0.000000	28.460000,77.190000,0.000000	114.450000,-88.920000,0.000000
2.595	-19.170000,-68.390000,0.000000	29.750000,77.200000,0.000000	118.090000,-88.810000,0.000000
2.745	-19.070000,-68.480000,0.000000	29.560000,77.290000,0.000000	121.920000,-88.690000,0.000000
2.850	-19.040000,-68.560000,0.000000	30.470000,77.170000,0.000000	119.700000,-88.550000,0.000000
2.985	-18.910000,-68.570000,0.000000	31.130000,77.120000,0.000000	122.920000,-88.490000,0.000000
3.120	-18.790000,-68.520000,0.000000	31.320000,77.080000,0.000000	123.880000,-88.400000,0.000000
3.240	-18.440000,-68.500000,0.000000	30.890000,77.000000,0.000000	128.200000,-88.320000,0.000000
3.375	-18.550000,-68.360000,0.000000	30.900000,76.910000,0.000000	125.240000,-88.220000,0.000000
3.510	-18.530000,-68.300000,0.000000	30.790000,76.800000,0.000000	127.980000,-88.030000,0.000000
3.660	-18.960000,-68.370000,0.000000	30.720000,76.630000,0.000000	129.960000,-87.740000,0.000000
3.765	-19.310000,-68.290000,0.000000	30.140000,76.600000,0.000000	129.200000,-87.770000,0.000000
3.900	-19.750000,-68.330000,0.000000	30.760000,76.610000,0.000000	128.240000,-87.790000,0.000000
4.020	-20.020000,-68.340000,0.000000	31.220000,76.590000,0.000000	130.560000,-87.820000,0.000000
4.155	-20.050000,-68.290000,0.000000	30.550000,76.750000,0.000000	134.680000,-87.750000,0.000000
4.290	-19.670000,-68.130000,0.000000	30.580000,76.850000,0.000000	137.500000,-87.700000,0.000000
4.410	-19.790000,-68.060000,0.000000	30.800000,76.840000,0.000000	137.010000,-87.700000,0.000000
4.560	-20.120000,-67.990000,0.000000	31.050000,76.720000,0.000000	138.440000,-87.580000,0.000000
4.680	-20.030000,-68.060000,0.000000	31.420000,76.750000,0.000000	138.420000,-87.630000,0.000000
4.800	-20.030000,-68.050000,0.000000	31.620000,76.740000,0.000000	139.170000,-87.550000,0.000000
4.935	-19.990000,-67.980000,0.000000	31.400000,76.750000,0.000000	138.010000,-87.470000,0.000000
5.070	-19.890000,-67.930000,0.000000	31.280000,76.720000,0.000000	138.050000,-87.410000,0.000000
5.190	-19.710000,-68.070000,0.000000	31.380000,76.020000,0.000000	122.090000,-87.510000,0.000000
5.325	-20.420000,-68.070000,0.000000	32.380000,75.910000,0.000000	128.680000,-85.760000,0.000000
5.490	-21.370000,-67.920000,0.000000	32.980000,75.790000,0.000000	128.450000,-85.960000,0.000000
5.580	-21.580000,-67.740000,0.000000	33.200000,75.620000,0.000000	128.270000,-85.940000,0.000000
5.715	-20.090000,-67.910000,0.000000	27.580000,75.660000,0.000000	119.600000,-84.840000,0.000000
5.850	-24.850000,-67.970000,0.000000	31.030000,74.470000,0.000000	-178.470000,-83.970000,0.000000
5.970	-25.560000,-67.430000,0.000000	32.320000,74.060000,0.000000	-178.940000,-83.790000,0.000000
