time	pelvis_imu	femur_r_imu	tibia_r_imu
6.105	-23.920000,-67.710000,0.000000	33.810000,74.830000,0.000000	-179.590000,-83.590000,0.000000
6.240	-22.190000,-68.530000,0.000000	38.250000,75.450000,0.000000	-175.900000,-83.160000,0.000000
6.360	-19.790000,-69.310000,0.000000	41.520000,76.210000,0.000000	-172.620000,-82.800000,0.000000
6.495	-17.040000,-69.870000,0.000000	45.500000,76.820000,0.000000	-170.030000,-82.160000,0.000000
6.630	-13.830000,-70.440000,0.000000	47.450000,77.320000,0.000000	-166.340000,-81.750000,0.000000
6.750	-14.000000,-70.830000,0.000000	50.610000,77.270000,0.000000	169.340000,-81.290000,0.000000
6.899	-11.620000,-70.490000,0.000000	48.020000,77.770000,0.000000	171.190000,-80.940000,0.000000
7.020	-12.180000,-70.270000,0.000000	49.560000,77.740000,0.000000	172.600000,-81.450000,0.000000
7.140	-12.890000,-70.110000,0.000000	49.530000,77.190000,0.000000	172.000000,-81.040000,0.000000
7.274	-13.720000,-70.090000,0.000000	50.990000,76.490000,0.000000	170.300000,-80.440000,0.000000
7.410	-15.110000,-70.310000,0.000000	52.800000,75.320000,0.000000	169.760000,-78.770000,0.000000
7.530	-16.160000,-71.290000,0.000000	54.370000,74.000000,0.000000	171.550000,-76.870000,0.000000
7.665	-17.620000,-72.060000,0.000000	57.980000,72.330000,0.000000	170.440000,-75.520000,0.000000
7.800	-21.670000,-73.130000,0.000000	61.250000,69.930000,0.000000	170.600000,-74.010000,0.000000
7.920	-26.820000,-74.360000,0.000000	64.240000,67.100000,0.000000	170.280000,-72.920000,0.000000
8.054	-34.260000,-75.610000,0.000000	67.170000,63.860000,0.000000	169.530000,-71.980000,0.000000
8.190	-41.650000,-76.500000,0.000000	69.220000,61.310000,0.000000	168.800000,-69.270000,0.000000
8.340	-50.930000,-77.180000,0.000000	71.530000,57.880000,0.000000	169.170000,-68.680000,0.000000
8.445	-58.810000,-77.990000,0.000000	73.260000,55.240000,0.000000	168.120000,-68.670000,0.000000
8.580	-66.120000,-78.350000,0.000000	74.990000,52.420000,0.000000	166.780000,-69.010000,0.000000
8.700	-71.620000,-78.630000,0.000000	76.360000,50.210000,0.000000	165.270000,-69.960000,0.000000
8.850	-78.250000,-78.850000,0.000000	76.930000,47.580000,0.000000	163.350000,-71.110000,0.000000
8.970	-84.350000,-79.070000,0.000000	77.330000,45.430000,0.000000	158.220000,-72.110000,0.000000
9.090	-90.800000,-78.950000,0.000000	77.520000,43.060000,0.000000	152.750000,-73.190000,0.000000
9.240	-96.790000,-78.900000,0.000000	77.620000,41.060000,0.000000	144.310000,-73.270000,0.000000
9.360	-100.680000,-78.790000,0.000000	77.630000,39.310000,0.000000	133.440000,-74.580000,0.000000
9.481	-104.070000,-78.570000,0.000000	77.610000,37.410000,0.000000	123.910000,-75.610000,0.000000
9.616	-107.300000,-78.700000,0.000000	77.280000,36.200000,0.000000	114.030000,-76.290000,0.000000
9.750	-110.490000,-78.500000,0.000000	76.930000,35.360000,0.000000	101.520000,-76.250000,0.000000
9.870	-113.390000,-78.410000,0.000000	76.870000,34.990000,0.000000	87.590000,-75.940000,0.000000
10.005	-113.780000,-78.290000,0.000000	76.690000,34.710000,0.000000	75.060000,-74.200000,0.000000
10.140	-113.670000,-78.140000,0.000000	76.320000,34.520000,0.000000	64.500000,-72.550000,0.000000
10.261	-115.160000,-77.960000,0.000000	76.280000,34.260000,0.000000	54.780000,-70.870000,0.000000
10.396	-116.220000,-78.020000,0.000000	76.390000,34.390000,0.000000	46.540000,-69.580000,0.000000
10.530	-116.740000,-77.890000,0.000000	76.490000,34.570000,0.000000	40.280000,-68.820000,0.000000
10.651	-116.060000,-77.820000,0.000000	76.220000,34.890000,0.000000	35.430000,-68.770000,0.000000
10.785	-114.020000,-77.730000,0.000000	76.140000,35.700000,0.000000	31.990000,-68.830000,0.000000
10.920	-110.380000,-77.880000,0.000000	75.960000,37.050000,0.000000	30.400000,-69.450000,0.000000
11.055	-104.800000,-77.950000,0.000000	76.100000,38.440000,0.000000	31.130000,-70.470000,0.000000
11.175	-100.160000,-77.770000,0.000000	75.920000,40.600000,0.000000	32.070000,-71.280000,0.000000
11.311	-93.750000,-77.460000,0.000000	75.780000,42.590000,0.000000	36.510000,-72.840000,0.000000
11.430	-86.900000,-77.150000,0.000000	75.090000,44.810000,0.000000	44.370000,-73.910000,0.000000
11.565	-81.650000,-76.600000,0.000000	74.050000,47.030000,0.000000	54.550000,-75.260000,0.000000
11.700	-75.080000,-76.400000,0.000000	73.250000,49.490000,0.000000	68.290000,-76.720000,0.000000
11.820	-69.310000,-75.980000,0.000000	72.680000,51.680000,0.000000	81.620000,-77.570000,0.000000
11.955	-62.120000,-75.600000,0.000000	71.100000,54.300000,0.000000	93.630000,-78.290000,0.000000
12.091	-56.490000,-75.350000,0.000000	69.740000,56.450000,0.000000	104.070000,-79.360000,0.000000
12.209	-52.310000,-75.040000,0.000000	69.020000,58.360000,0.000000	114.380000,-80.010000,0.000000
12.345	-47.920000,-74.640000,0.000000	67.830000,59.980000,0.000000	124.330000,-80.390000,0.000000
12.495	-44.500000,-74.530000,0.000000	66.670000,61.500000,0.000000	132.670000,-80.860000,0.000000
12.615	-41.360000,-74.430000,0.000000	66.310000,62.610000,0.000000	135.800000,-81.990000,0.000000
12.736	-39.740000,-74.430000,0.000000	66.600000,63.110000,0.000000	131.490000,-83.030000,0.000000
12.870	-38.650000,-74.800000,0.000000	67.200000,63.300000,0.000000	125.500000,-83.800000,0.000000
12.991	-39.360000,-75.380000,0.000000	68.170000,62.640000,0.000000	118.040000,-84.470000,0.000000
13.125	-43.560000,-76.080000,0.000000	69.040000,61.570000,0.000000	109.270000,-84.620000,0.000000
13.276	-48.150000,-76.920000,0.000000	69.430000,60.030000,0.000000	98.010000,-82.690000,0.000000
13.380	-55.620000,-77.250000,0.000000	70.420000,58.040000,0.000000	87.030000,-79.790000,0.000000
13.515	-62.600000,-77.480000,0.000000	70.380000,56.120000,0.000000	76.730000,-76.090000,0.000000
13.651	-70.920000,-77.610000,0.000000	70.470000,54.160000,0.000000	68.080000,-72.450000,0.000000
13.770	-78.810000,-77.360000,0.000000	71.040000,51.350000,0.000000	59.530000,-68.340000,0.000000
13.906	-86.470000,-77.180000,0.000000	71.960000,49.370000,0.000000	50.650000,-63.810000,0.000000
14.040	-93.990000,-77.260000,0.000000	72.380000,47.650000,0.000000	42.810000,-59.700000,0.000000
14.160	-100.280000,-77.290000,0.000000	72.840000,45.920000,0.000000	37.730000,-56.220000,0.000000
14.295	-105.500000,-77.390000,0.000000	73.150000,44.750000,0.000000	32.600000,-53.230000,0.000000
14.431	-110.160000,-77.260000,0.000000	73.520000,43.360000,0.000000	29.490000,-51.180000,0.000000
14.551	-113.140000,-77.400000,0.000000	73.560000,42.680000,0.000000	26.060000,-51.370000,0.000000
14.685	-112.790000,-77.450000,0.000000	74.060000,42.480000,0.000000	24.860000,-51.460000,0.000000
14.821	-111.530000,-77.660000,0.000000	74.270000,42.420000,0.000000	26.680000,-54.370000,0.000000
14.940	-109.320000,-77.660000,0.000000	75.100000,42.570000,0.000000	43.620000,-55.070000,0.000000
15.090	-107.250000,-78.010000,0.000000	74.600000,42.960000,0.000000	63.440000,-57.240000,0.000000
15.211	-102.520000,-78.260000,0.000000	74.530000,44.200000,0.000000	81.220000,-58.040000,0.000000
15.331	-96.910000,-78.060000,0.000000	75.110000,44.780000,0.000000	98.610000,-57.650000,0.000000
15.465	-90.730000,-78.250000,0.000000	75.760000,45.890000,0.000000	-179.360000,-55.710000,0.000000
15.599	-86.680000,-78.190000,0.000000	76.010000,46.800000,0.000000	-176.310000,-52.590000,0.000000
15.721	-82.870000,-78.190000,0.000000	75.770000,47.630000,0.000000	-173.490000,-50.050000,0.000000
15.855	-79.930000,-77.860000,0.000000	75.410000,48.140000,0.000000	-171.520000,-47.180000,0.000000
16.005	-76.860000,-77.730000,0.000000	75.190000,48.550000,0.000000	-169.640000,-44.480000,0.000000
16.110	-74.610000,-77.860000,0.000000	74.580000,48.920000,0.000000	-168.260000,-42.170000,0.000000
16.246	-73.350000,-77.950000,0.000000	74.540000,49.030000,0.000000	-167.220000,-40.460000,0.000000
16.381	-72.460000,-78.120000,0.000000	74.570000,49.090000,0.000000	-166.140000,-38.770000,0.000000
16.500	-70.950000,-78.250000,0.000000	74.630000,49.340000,0.000000	-165.870000,-38.260000,0.000000
16.636	-69.360000,-78.330000,0.000000	74.670000,49.780000,0.000000	-165.940000,-38.550000,0.000000
16.770	-68.490000,-78.680000,0.000000	74.720000,49.810000,0.000000	-165.940000,-40.610000,0.000000
16.906	-68.740000,-78.650000,0.000000	74.560000,49.910000,0.000000	177.230000,-44.170000,0.000000
17.024	-68.570000,-78.950000,0.000000	74.950000,49.840000,0.000000	176.090000,-49.380000,0.000000
17.175	-70.050000,-78.910000,0.000000	74.840000,49.480000,0.000000	157.610000,-54.450000,0.000000
17.280	-73.100000,-78.650000,0.000000	74.600000,48.920000,0.000000	138.980000,-56.430000,0.000000
17.415	-78.180000,-78.380000,0.000000	74.120000,47.580000,0.000000	121.250000,-58.670000,0.000000
17.550	-84.860000,-78.120000,0.000000	72.790000,45.850000,0.000000	106.590000,-59.050000,0.000000
17.685	-90.200000,-77.690000,0.000000	72.760000,44.410000,0.000000	91.480000,-56.920000,0.000000
17.805	-95.710000,-77.440000,0.000000	72.500000,43.220000,0.000000	77.930000,-54.570000,0.000000
17.955	-100.780000,-76.790000,0.000000	72.200000,41.860000,0.000000	66.640000,-52.700000,0.000000
18.075	-104.830000,-76.600000,0.000000	71.700000,40.920000,0.000000	56.850000,-51.180000,0.000000
18.195	-107.850000,-76.190000,0.000000	71.380000,39.830000,0.000000	47.930000,-49.510000,0.000000
18.331	-110.120000,-75.840000,0.000000	71.510000,39.040000,0.000000	41.220000,-49.110000,0.000000
18.451	-112.020000,-75.760000,0.000000	71.970000,38.920000,0.000000	37.320000,-49.050000,0.000000
18.584	-112.950000,-75.550000,0.000000	72.750000,38.890000,0.000000	32.590000,-51.060000,0.000000
18.720	-111.710000,-75.660000,0.000000	72.570000,38.440000,0.000000	32.040000,-54.300000,0.000000
18.840	-109.450000,-75.860000,0.000000	73.130000,39.120000,0.000000	31.090000,-57.660000,0.000000
18.976	-107.600000,-76.300000,0.000000	73.420000,39.690000,0.000000	35.450000,-61.420000,0.000000
19.110	-106.550000,-76.690000,0.000000	74.200000,40.670000,0.000000	45.350000,-65.550000,0.000000
19.230	-104.300000,-76.970000,0.000000	74.240000,41.340000,0.000000	57.000000,-68.800000,0.000000
19.366	-101.590000,-77.200000,0.000000	74.330000,42.260000,0.000000	69.400000,-71.330000,0.000000
19.500	-98.370000,-77.350000,0.000000	74.580000,43.240000,0.000000	83.330000,-72.980000,0.000000
19.620	-95.450000,-77.390000,0.000000	74.590000,43.980000,0.000000	97.580000,-74.200000,0.000000
19.755	-91.830000,-77.480000,0.000000	74.860000,44.750000,0.000000	110.780000,-74.520000,0.000000
19.890	-88.180000,-77.540000,0.000000	74.870000,45.520000,0.000000	123.620000,-73.940000,0.000000
20.025	-84.950000,-77.710000,0.000000	75.080000,46.410000,0.000000	135.300000,-73.250000,0.000000
20.145	-81.970000,-77.850000,0.000000	75.090000,47.210000,0.000000	145.820000,-72.290000,0.000000
20.280	-79.850000,-77.810000,0.000000	75.250000,47.670000,0.000000	155.180000,-71.310000,0.000000
20.400	-78.230000,-77.730000,0.000000	75.550000,48.080000,0.000000	-178.760000,-70.510000,0.000000
20.535	-76.040000,-77.850000,0.000000	75.660000,48.470000,0.000000	-174.620000,-69.530000,0.000000
20.670	-73.760000,-77.960000,0.000000	75.730000,48.970000,0.000000	-171.520000,-69.400000,0.000000
20.790	-72.120000,-78.130000,0.000000	76.090000,49.330000,0.000000	174.110000,-69.740000,0.000000
20.925	-71.770000,-78.160000,0.000000	76.330000,49.370000,0.000000	177.440000,-70.630000,0.000000
21.061	-71.480000,-78.200000,0.000000	76.040000,49.300000,0.000000	180.640000,-71.960000,0.000000
21.181	-72.300000,-78.370000,0.000000	76.270000,49.530000,0.000000	179.770000,-73.760000,0.000000
21.315	-71.870000,-78.580000,0.000000	76.580000,49.540000,0.000000	172.590000,-75.770000,0.000000
21.451	-72.630000,-78.640000,0.000000	76.330000,49.370000,0.000000	158.250000,-78.060000,0.000000
21.570	-74.120000,-78.490000,0.000000	76.370000,49.070000,0.000000	144.150000,-78.900000,0.000000
21.706	-75.890000,-78.510000,0.000000	76.770000,48.790000,0.000000	130.220000,-79.710000,0.000000
21.840	-74.970000,-78.420000,0.000000	77.340000,49.040000,0.000000	115.090000,-79.610000,0.000000
21.960	-76.040000,-78.400000,0.000000	77.190000,48.790000,0.000000	100.510000,-79.210000,0.000000
22.094	-77.360000,-78.490000,0.000000	77.020000,48.350000,0.000000	88.150000,-78.260000,0.000000
22.230	-79.790000,-78.480000,0.000000	76.990000,48.150000,0.000000	77.000000,-77.010000,0.000000
22.350	-81.340000,-78.440000,0.000000	77.020000,47.750000,0.000000	66.550000,-75.220000,0.000000
22.485	-83.230000,-78.620000,0.000000	76.820000,47.260000,0.000000	56.990000,-73.440000,0.000000
22.620	-86.270000,-78.480000,0.000000	76.290000,46.370000,0.000000	50.290000,-70.930000,0.000000
22.740	-88.790000,-78.470000,0.000000	76.370000,45.820000,0.000000	42.650000,-68.100000,0.000000
22.876	-91.320000,-78.370000,0.000000	76.600000,45.440000,0.000000	35.700000,-64.830000,0.000000
23.010	-94.210000,-78.790000,0.000000	77.010000,44.610000,0.000000	29.200000,-62.190000,0.000000
23.130	-99.170000,-78.360000,0.000000	76.820000,43.070000,0.000000	26.230000,-58.820000,0.000000
23.266	-102.730000,-78.370000,0.000000	76.400000,42.390000,0.000000	21.710000,-56.480000,0.000000
23.400	-106.730000,-78.190000,0.000000	76.300000,41.270000,0.000000	18.680000,-54.150000,0.000000
23.520	-110.080000,-77.780000,0.000000	76.060000,40.110000,0.000000	18.490000,-51.870000,0.000000
23.655	-112.080000,-77.470000,0.000000	75.880000,39.650000,0.000000	17.060000,-50.530000,0.000000
23.791	-114.070000,-77.710000,0.000000	75.900000,39.420000,0.000000	16.220000,-49.890000,0.000000
23.910	-114.830000,-77.700000,0.000000	75.980000,38.650000,0.000000	17.310000,-49.290000,0.000000
24.045	-115.560000,-77.490000,0.000000	75.970000,38.700000,0.000000	17.820000,-48.870000,0.000000
24.180	-116.780000,-77.660000,0.000000	76.380000,38.940000,0.000000	18.610000,-49.270000,0.000000
24.300	-115.900000,-77.940000,0.000000	76.270000,39.110000,0.000000	19.570000,-50.360000,0.000000
24.450	-115.870000,-77.950000,0.000000	76.470000,39.290000,0.000000	22.610000,-51.570000,0.000000
24.570	-114.260000,-78.200000,0.000000	76.640000,39.700000,0.000000	23.750000,-53.860000,0.000000
24.705	-112.710000,-78.400000,0.000000	76.880000,40.180000,0.000000	27.740000,-55.750000,0.000000
24.825	-111.390000,-78.280000,0.000000	76.850000,40.600000,0.000000	30.640000,-58.820000,0.000000
24.960	-109.220000,-78.390000,0.000000	77.150000,41.430000,0.000000	35.600000,-61.810000,0.000000
25.081	-105.700000,-78.610000,0.000000	77.510000,42.480000,0.000000	42.540000,-64.900000,0.000000
25.215	-101.440000,-78.600000,0.000000	78.020000,43.290000,0.000000	52.330000,-68.210000,0.000000
25.351	-95.810000,-78.590000,0.000000	78.150000,44.750000,0.000000	60.650000,-70.640000,0.000000
25.470	-89.240000,-78.360000,0.000000	78.020000,46.570000,0.000000	69.600000,-72.940000,0.000000
25.605	-82.710000,-78.170000,0.000000	77.440000,48.270000,0.000000	84.500000,-75.370000,0.000000
25.740	-75.730000,-77.880000,0.000000	76.850000,50.350000,0.000000	94.670000,-77.310000,0.000000
25.860	-68.640000,-77.430000,0.000000	76.040000,52.780000,0.000000	107.620000,-78.680000,0.000000
25.995	-61.980000,-76.830000,0.000000	74.650000,54.870000,0.000000	121.170000,-79.540000,0.000000
26.131	-55.430000,-76.380000,0.000000	72.200000,57.370000,0.000000	130.310000,-80.500000,0.000000
26.250	-48.460000,-75.460000,0.000000	69.370000,59.870000,0.000000	133.070000,-81.840000,0.000000
26.386	-43.570000,-74.670000,0.000000	66.980000,61.840000,0.000000	-171.870000,-82.580000,0.000000
26.521	-38.410000,-73.980000,0.000000	64.010000,63.800000,0.000000	155.450000,-83.320000,0.000000
26.640	-34.110000,-73.410000,0.000000	61.570000,65.430000,0.000000	161.370000,-83.890000,0.000000
26.776	-29.880000,-72.850000,0.000000	59.430000,66.870000,0.000000	166.560000,-84.340000,0.000000
26.925	-26.190000,-72.420000,0.000000	57.720000,68.150000,0.000000	170.970000,-84.470000,0.000000
27.030	-23.560000,-72.100000,0.000000	56.570000,69.270000,0.000000	175.670000,-84.520000,0.000000
27.166	-21.770000,-71.800000,0.000000	55.640000,70.040000,0.000000	177.950000,-84.830000,0.000000
27.300	-20.430000,-71.540000,0.000000	55.130000,70.430000,0.000000	178.000000,-85.450000,0.000000
27.420	-20.860000,-71.630000,0.000000	55.650000,70.290000,0.000000	-173.830000,-85.330000,0.000000
27.555	-20.760000,-71.780000,0.000000	57.170000,69.850000,0.000000	170.800000,-84.950000,0.000000
27.690	-21.840000,-72.100000,0.000000	59.050000,69.030000,0.000000	175.780000,-84.780000,0.000000
27.810	-23.830000,-73.030000,0.000000	61.510000,67.670000,0.000000	178.640000,-84.640000,0.000000
27.945	-28.420000,-74.420000,0.000000	63.630000,65.950000,0.000000	181.800000,-84.490000,0.000000
28.080	-33.120000,-75.450000,0.000000	65.010000,63.390000,0.000000	177.030000,-85.060000,0.000000
28.200	-38.910000,-76.590000,0.000000	66.010000,61.020000,0.000000	159.810000,-85.170000,0.000000
28.336	-47.050000,-77.460000,0.000000	67.660000,58.400000,0.000000	139.770000,-83.560000,0.000000
28.470	-54.080000,-78.030000,0.000000	68.720000,56.360000,0.000000	122.690000,-79.660000,0.000000
28.606	-62.340000,-78.900000,0.000000	69.860000,54.470000,0.000000	106.210000,-75.440000,0.000000
28.725	-71.500000,-79.520000,0.000000	71.080000,52.540000,0.000000	90.590000,-70.670000,0.000000
28.860	-81.160000,-79.630000,0.000000	72.490000,50.300000,0.000000	76.700000,-65.380000,0.000000
28.981	-89.140000,-79.740000,0.000000	73.330000,48.380000,0.000000	63.990000,-60.010000,0.000000
29.115	-95.630000,-79.540000,0.000000	74.030000,46.280000,0.000000	53.230000,-55.410000,0.000000
29.251	-100.210000,-80.020000,0.000000	74.450000,45.070000,0.000000	44.510000,-51.520000,0.000000
29.370	-105.330000,-80.160000,0.000000	75.380000,43.960000,0.000000	35.240000,-48.490000,0.000000
29.505	-109.590000,-80.450000,0.000000	76.240000,42.870000,0.000000	28.350000,-46.630000,0.000000
29.640	-113.750000,-80.380000,0.000000	76.640000,42.280000,0.000000	24.030000,-45.410000,0.000000
29.761	-115.130000,-80.240000,0.000000	77.370000,41.540000,0.000000	19.330000,-44.830000,0.000000
29.910	-115.160000,-80.510000,0.000000	77.300000,41.080000,0.000000	17.100000,-46.910000,0.000000
30.031	-113.430000,-80.310000,0.000000	77.640000,41.270000,0.000000	15.060000,-48.960000,0.000000
30.151	-110.980000,-80.190000,0.000000	78.770000,41.900000,0.000000	15.750000,-51.850000,0.000000
30.285	-107.010000,-80.370000,0.000000	78.790000,43.100000,0.000000	18.380000,-56.630000,0.000000
30.420	-100.990000,-80.420000,0.000000	78.470000,44.100000,0.000000	24.840000,-61.450000,0.000000
30.540	-95.670000,-80.130000,0.000000	78.550000,45.580000,0.000000	41.410000,-65.160000,0.000000
30.691	-87.430000,-79.830000,0.000000	78.230000,47.490000,0.000000	59.240000,-68.460000,0.000000
30.810	-80.220000,-79.330000,0.000000	77.460000,49.540000,0.000000	78.730000,-70.920000,0.000000
30.945	-72.420000,-79.010000,0.000000	76.260000,51.710000,0.000000	94.630000,-73.160000,0.000000
31.066	-66.080000,-78.590000,0.000000	75.010000,53.530000,0.000000	-179.510000,-74.440000,0.000000
31.200	-60.060000,-77.830000,0.000000	73.520000,55.380000,0.000000	-177.370000,-75.090000,0.000000
31.321	-54.190000,-77.150000,0.000000	71.710000,57.300000,0.000000	173.320000,-75.880000,0.000000
31.470	-48.460000,-76.410000,0.000000	69.740000,59.070000,0.000000	175.880000,-76.480000,0.000000
31.591	-43.110000,-75.770000,0.000000	67.390000,60.840000,0.000000	-172.310000,-78.360000,0.000000
31.710	-39.090000,-75.160000,0.000000	65.660000,62.310000,0.000000	176.940000,-78.590000,0.000000
31.876	-34.940000,-74.430000,0.000000	63.030000,63.960000,0.000000	179.380000,-78.760000,0.000000
31.980	-30.960000,-73.720000,0.000000	61.230000,65.360000,0.000000	181.080000,-79.160000,0.000000
32.099	-28.030000,-73.120000,0.000000	59.360000,66.470000,0.000000	182.540000,-79.280000,0.000000
32.249	-25.140000,-72.620000,0.000000	57.990000,67.570000,0.000000	183.730000,-79.490000,0.000000
32.371	-22.910000,-72.290000,0.000000	56.690000,68.350000,0.000000	184.490000,-79.580000,0.000000
32.490	-21.160000,-72.000000,0.000000	55.500000,69.080000,0.000000	185.330000,-79.650000,0.000000
32.625	-19.720000,-71.730000,0.000000	54.200000,69.610000,0.000000	-179.190000,-79.510000,0.000000
32.760	-18.730000,-71.450000,0.000000	53.460000,70.080000,0.000000	177.090000,-79.290000,0.000000
32.880	-17.620000,-71.130000,0.000000	52.700000,70.570000,0.000000	178.720000,-79.220000,0.000000
33.016	-16.970000,-70.980000,0.000000	52.660000,70.790000,0.000000	180.370000,-79.340000,0.000000
33.151	-15.810000,-70.840000,0.000000	52.350000,70.900000,0.000000	180.990000,-80.210000,0.000000
33.271	-15.570000,-70.900000,0.000000	53.540000,70.670000,0.000000	-175.360000,-79.800000,0.000000
33.405	-16.620000,-71.450000,0.000000	55.690000,69.810000,0.000000	-173.430000,-77.610000,0.000000
33.570	-18.130000,-72.080000,0.000000	57.500000,68.410000,0.000000	-172.090000,-75.590000,0.000000
33.660	-19.860000,-73.240000,0.000000	60.810000,66.400000,0.000000	-169.890000,-72.200000,0.000000
33.795	-24.800000,-74.470000,0.000000	62.830000,63.650000,0.000000	-166.800000,-69.500000,0.000000
33.930	-32.060000,-75.440000,0.000000	64.300000,60.630000,0.000000	-164.470000,-66.760000,0.000000
34.066	-39.730000,-76.560000,0.000000	65.480000,57.720000,0.000000	-164.520000,-65.540000,0.000000
34.185	-48.790000,-77.200000,0.000000	67.160000,54.330000,0.000000	-163.120000,-65.210000,0.000000
34.321	-59.050000,-77.640000,0.000000	68.340000,50.770000,0.000000	-161.400000,-65.020000,0.000000
34.440	-67.260000,-78.240000,0.000000	68.610000,48.240000,0.000000	179.000000,-67.110000,0.000000
34.575	-75.030000,-78.440000,0.000000	69.040000,45.360000,0.000000	153.810000,-70.230000,0.000000
