time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	149.690000,4.130000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.026	149.680000,4.090000,0.000000	-18.810000,-1.050000,0.000000	-167.930000,0.540000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.061	149.650000,4.100000,0.000000	-18.790000,-1.060000,0.000000	-167.870000,0.520000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.087	149.640000,4.110000,0.000000	-18.810000,-1.060000,0.000000	-167.880000,0.540000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.193	149.640000,4.100000,0.000000	-18.790000,-1.040000,0.000000	-167.880000,0.510000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.194	149.670000,4.090000,0.000000	-18.760000,-1.020000,0.000000	-167.890000,0.490000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.195	149.650000,4.090000,0.000000	-18.770000,-1.000000,0.000000	-167.890000,0.480000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.213	149.640000,4.120000,0.000000	-18.800000,-1.000000,0.000000	-167.900000,0.440000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.238	149.620000,4.130000,0.000000	-18.830000,-1.010000,0.000000	-167.930000,0.420000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.268	149.670000,4.080000,0.000000	-18.840000,-0.980000,0.000000	-167.930000,0.440000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.299	149.640000,4.100000,0.000000	-18.850000,-0.990000,0.000000	-167.940000,0.480000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.327	149.620000,4.090000,0.000000	-18.830000,-1.010000,0.000000	-167.900000,0.460000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.360	149.660000,4.020000,0.000000	-18.790000,-0.940000,0.000000	-167.910000,0.490000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.383	149.660000,3.970000,0.000000	-18.740000,-0.910000,0.000000	-167.930000,0.490000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.420	149.650000,3.930000,0.000000	-18.720000,-0.920000,0.000000	-167.950000,0.480000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.446	149.650000,3.940000,0.000000	-18.680000,-0.900000,0.000000	-167.980000,0.450000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.479	149.680000,3.960000,0.000000	-18.710000,-0.880000,0.000000	-167.970000,0.410000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.506	149.680000,3.990000,0.000000	-18.750000,-0.920000,0.000000	-167.970000,0.460000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.539	149.670000,3.990000,0.000000	-18.800000,-0.940000,0.000000	-167.960000,0.500000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.570	149.700000,3.950000,0.000000	-18.800000,-0.950000,0.000000	-167.940000,0.540000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.616	149.660000,3.970000,0.000000	-18.830000,-0.920000,0.000000	-167.930000,0.560000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.631	149.690000,3.980000,0.000000	-18.850000,-0.920000,0.000000	-167.900000,0.560000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.655	149.680000,4.020000,0.000000	-18.840000,-0.940000,0.000000	-167.850000,0.510000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.689	149.660000,4.020000,0.000000	-18.850000,-0.910000,0.000000	-167.880000,0.490000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.716	149.620000,4.020000,0.000000	-18.900000,-0.930000,0.000000	-167.870000,0.480000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.749	149.630000,4.030000,0.000000	-18.890000,-0.940000,0.000000	-167.870000,0.470000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.773	149.670000,4.010000,0.000000	-18.900000,-0.970000,0.000000	-167.900000,0.460000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.807	149.660000,4.040000,0.000000	-18.920000,-0.960000,0.000000	-167.860000,0.510000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.840	149.610000,3.990000,0.000000	-18.930000,-0.980000,0.000000	-167.880000,0.510000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.869	149.600000,4.030000,0.000000	-18.920000,-1.000000,0.000000	-167.900000,0.490000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.895	149.640000,4.010000,0.000000	-18.920000,-0.990000,0.000000	-167.880000,0.470000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.925	149.600000,4.020000,0.000000	-18.890000,-0.980000,0.000000	-167.900000,0.520000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.953	149.620000,4.000000,0.000000	-18.910000,-0.940000,0.000000	-167.910000,0.540000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
0.984	149.630000,3.980000,0.000000	-18.910000,-0.930000,0.000000	-167.940000,0.500000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.018	149.680000,4.010000,0.000000	-18.910000,-0.940000,0.000000	-167.900000,0.480000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.051	149.650000,4.010000,0.000000	-18.920000,-0.940000,0.000000	-167.910000,0.430000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.076	149.610000,4.000000,0.000000	-18.960000,-0.960000,0.000000	-167.900000,0.420000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.105	149.610000,4.000000,0.000000	-18.930000,-0.960000,0.000000	-167.870000,0.420000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.134	149.600000,4.020000,0.000000	-18.900000,-1.000000,0.000000	-167.880000,0.450000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.168	149.590000,4.020000,0.000000	-18.910000,-1.020000,0.000000	-167.860000,0.480000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.198	149.590000,4.050000,0.000000	-18.930000,-1.030000,0.000000	-167.870000,0.450000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.230	149.540000,4.020000,0.000000	-18.930000,-1.000000,0.000000	-167.870000,0.440000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.285	149.540000,4.050000,0.000000	-18.980000,-1.060000,0.000000	-167.820000,0.480000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.293	149.560000,4.060000,0.000000	-18.940000,-1.040000,0.000000	-167.820000,0.510000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.349	149.580000,4.040000,0.000000	-18.910000,-1.000000,0.000000	-167.840000,0.500000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.352	149.590000,4.100000,0.000000	-18.860000,-0.980000,0.000000	-167.870000,0.490000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.403	149.550000,4.090000,0.000000	-18.860000,-1.060000,0.000000	-167.870000,0.500000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.468	149.570000,4.080000,0.000000	-18.920000,-1.040000,0.000000	-167.840000,0.450000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.473	149.590000,4.090000,0.000000	-18.890000,-1.010000,0.000000	-167.860000,0.440000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.473	149.630000,4.100000,0.000000	-18.890000,-0.970000,0.000000	-167.830000,0.410000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.523	149.710000,4.120000,0.000000	-18.890000,-0.940000,0.000000	-167.850000,0.360000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.533	149.750000,4.100000,0.000000	-18.860000,-0.970000,0.000000	-167.870000,0.360000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.585	149.720000,4.130000,0.000000	-18.860000,-0.960000,0.000000	-167.820000,0.350000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.593	149.740000,4.100000,0.000000	-18.860000,-0.960000,0.000000	-167.850000,0.340000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.648	149.760000,4.090000,0.000000	-18.850000,-0.940000,0.000000	-167.830000,0.340000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.651	149.730000,4.040000,0.000000	-18.780000,-0.930000,0.000000	-167.790000,0.360000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.703	149.740000,4.080000,0.000000	-18.750000,-0.950000,0.000000	-167.800000,0.380000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.713	149.730000,4.110000,0.000000	-18.750000,-0.970000,0.000000	-167.780000,0.360000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.768	149.720000,4.130000,0.000000	-18.760000,-0.960000,0.000000	-167.810000,0.370000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.768	149.760000,4.130000,0.000000	-18.780000,-1.000000,0.000000	-167.820000,0.370000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.886	149.740000,4.120000,0.000000	-18.770000,-1.000000,0.000000	-167.860000,0.360000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.892	149.770000,4.120000,0.000000	-18.770000,-1.020000,0.000000	-167.850000,0.360000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.893	149.740000,4.080000,0.000000	-18.770000,-0.990000,0.000000	-167.840000,0.370000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.893	149.710000,4.080000,0.000000	-18.770000,-0.990000,0.000000	-167.860000,0.360000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.950	149.740000,4.060000,0.000000	-18.780000,-0.980000,0.000000	-167.870000,0.310000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
1.953	149.740000,4.100000,0.000000	-18.760000,-0.990000,0.000000	-167.930000,0.330000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.009	149.790000,4.140000,0.000000	-18.790000,-1.000000,0.000000	-167.910000,0.340000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.009	149.770000,4.130000,0.000000	-18.820000,-1.000000,0.000000	-167.890000,0.320000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.065	149.770000,4.150000,0.000000	-18.780000,-1.000000,0.000000	-167.830000,0.350000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.072	149.780000,4.160000,0.000000	-18.750000,-0.980000,0.000000	-167.810000,0.370000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.131	149.790000,4.210000,0.000000	-18.730000,-1.000000,0.000000	-167.810000,0.340000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.133	149.810000,4.210000,0.000000	-18.730000,-1.000000,0.000000	-167.810000,0.350000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.186	149.810000,4.210000,0.000000	-18.740000,-1.000000,0.000000	-167.810000,0.390000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.186	149.790000,4.230000,0.000000	-18.730000,-0.960000,0.000000	-167.830000,0.380000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.252	149.780000,4.180000,0.000000	-18.790000,-0.960000,0.000000	-167.880000,0.410000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.253	149.810000,4.160000,0.000000	-18.790000,-0.950000,0.000000	-167.840000,0.390000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.303	149.800000,4.150000,0.000000	-18.760000,-0.940000,0.000000	-167.820000,0.400000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.311	149.850000,4.220000,0.000000	-18.720000,-0.940000,0.000000	-167.810000,0.410000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.367	149.830000,4.180000,0.000000	-18.720000,-0.990000,0.000000	-167.810000,0.380000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.367	149.850000,4.200000,0.000000	-18.770000,-0.980000,0.000000	-167.810000,0.410000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.459	149.820000,4.240000,0.000000	-18.790000,-1.000000,0.000000	-167.830000,0.380000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.461	149.850000,4.270000,0.000000	-18.810000,-0.980000,0.000000	-167.840000,0.370000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.483	149.850000,4.270000,0.000000	-18.820000,-1.010000,0.000000	-167.810000,0.400000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.490	149.900000,4.270000,0.000000	-18.820000,-1.040000,0.000000	-167.830000,0.430000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.549	149.920000,4.260000,0.000000	-18.840000,-1.050000,0.000000	-167.820000,0.470000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.549	149.910000,4.240000,0.000000	-18.810000,-1.030000,0.000000	-167.820000,0.450000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.609	149.970000,4.220000,0.000000	-18.810000,-1.030000,0.000000	-167.820000,0.430000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.610	149.940000,4.220000,0.000000	-18.800000,-1.050000,0.000000	-167.840000,0.400000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.666	149.940000,4.210000,0.000000	-18.780000,-1.080000,0.000000	-167.820000,0.450000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.666	149.880000,4.140000,0.000000	-18.740000,-1.050000,0.000000	-167.830000,0.430000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.725	149.850000,4.160000,0.000000	-18.750000,-1.000000,0.000000	-167.820000,0.440000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.733	149.860000,4.160000,0.000000	-18.710000,-1.010000,0.000000	-167.840000,0.400000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.785	149.830000,4.130000,0.000000	-18.680000,-1.040000,0.000000	-167.860000,0.430000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.785	149.810000,4.130000,0.000000	-18.700000,-1.020000,0.000000	-167.870000,0.410000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.849	149.830000,4.160000,0.000000	-18.710000,-1.020000,0.000000	-167.860000,0.410000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.853	149.810000,4.130000,0.000000	-18.730000,-0.990000,0.000000	-167.840000,0.420000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.904	149.850000,4.160000,0.000000	-18.720000,-1.000000,0.000000	-167.860000,0.420000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.913	149.840000,4.170000,0.000000	-18.720000,-1.030000,0.000000	-167.850000,0.420000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
2.970	149.860000,4.190000,0.000000	-18.720000,-0.980000,0.000000	-167.820000,0.420000,0.000000	-18.790000,-1.060000,0.000000	-167.920000,0.550000,0.000000
