time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	0.100000,-61.580000,0.000000	88.420000,38.070000,0.000000	77.230000,-88.760000,0.000000	8.900000,82.460000,0.000000	-118.550000,-87.010000,0.000000
0.149	0.100000,-61.690000,0.000000	88.490000,38.130000,0.000000	80.580000,-88.670000,0.000000	8.710000,82.360000,0.000000	-120.870000,-86.990000,0.000000
0.315	0.040000,-61.640000,0.000000	88.540000,38.040000,0.000000	81.970000,-88.710000,0.000000	8.490000,82.110000,0.000000	-117.670000,-86.960000,0.000000
0.464	-0.140000,-61.910000,0.000000	88.680000,37.860000,0.000000	87.170000,-88.610000,0.000000	8.880000,82.160000,0.000000	-122.680000,-86.890000,0.000000
0.629	0.170000,-62.220000,0.000000	88.570000,37.670000,0.000000	93.300000,-88.500000,0.000000	8.140000,81.970000,0.000000	-124.110000,-86.640000,0.000000
0.779	0.160000,-62.430000,0.000000	88.320000,37.740000,0.000000	95.990000,-88.360000,0.000000	9.120000,81.910000,0.000000	-114.020000,-86.070000,0.000000
0.930	2.780000,-62.680000,0.000000	88.840000,37.650000,0.000000	88.440000,-88.050000,0.000000	6.350000,81.810000,0.000000	-122.220000,-86.000000,0.000000
1.095	3.510000,-63.200000,0.000000	88.480000,37.080000,0.000000	96.670000,-87.820000,0.000000	3.380000,81.630000,0.000000	-126.840000,-85.610000,0.000000
1.245	4.200000,-63.730000,0.000000	88.130000,36.630000,0.000000	105.980000,-86.740000,0.000000	-2.380000,81.810000,0.000000	-131.460000,-86.050000,0.000000
1.409	1.870000,-64.350000,0.000000	87.150000,35.210000,0.000000	113.810000,-84.560000,0.000000	-7.180000,82.970000,0.000000	137.730000,-86.090000,0.000000
1.560	1.330000,-65.290000,0.000000	85.910000,34.410000,0.000000	120.560000,-82.140000,0.000000	-12.480000,83.300000,0.000000	140.980000,-85.330000,0.000000
1.709	0.840000,-65.500000,0.000000	85.400000,33.990000,0.000000	119.340000,-81.750000,0.000000	-13.110000,83.680000,0.000000	96.770000,-85.900000,0.000000
1.874	1.140000,-65.880000,0.000000	84.710000,33.550000,0.000000	119.740000,-81.640000,0.000000	-14.280000,83.730000,0.000000	101.060000,-86.330000,0.000000
2.025	1.270000,-66.060000,0.000000	84.350000,33.400000,0.000000	120.860000,-81.750000,0.000000	-14.370000,83.810000,0.000000	-173.940000,-86.440000,0.000000
2.190	1.660000,-66.160000,0.000000	84.490000,33.370000,0.000000	123.400000,-81.810000,0.000000	-14.130000,83.890000,0.000000	-175.710000,-86.670000,0.000000
2.339	1.770000,-66.190000,0.000000	84.190000,33.280000,0.000000	126.220000,-81.940000,0.000000	-14.690000,84.010000,0.000000	-176.360000,-86.990000,0.000000
2.490	1.780000,-66.240000,0.000000	84.010000,33.140000,0.000000	126.990000,-81.960000,0.000000	-15.340000,84.160000,0.000000	-172.760000,-87.040000,0.000000
2.655	1.750000,-66.320000,0.000000	83.790000,33.020000,0.000000	127.520000,-82.060000,0.000000	-15.300000,84.160000,0.000000	-173.940000,-86.850000,0.000000
2.804	1.750000,-66.380000,0.000000	83.780000,33.000000,0.000000	129.660000,-82.160000,0.000000	-15.820000,84.170000,0.000000	-173.170000,-86.740000,0.000000
2.970	2.740000,-66.220000,0.000000	84.210000,33.060000,0.000000	132.670000,-82.500000,0.000000	-15.820000,83.830000,0.000000	-140.070000,-82.730000,0.000000
3.120	6.970000,-66.830000,0.000000	84.620000,32.980000,0.000000	123.480000,-82.880000,0.000000	-7.550000,84.430000,0.000000	-132.950000,-79.870000,0.000000
3.270	6.230000,-66.390000,0.000000	83.580000,32.760000,0.000000	109.160000,-82.710000,0.000000	-17.390000,84.300000,0.000000	132.450000,-80.080000,0.000000
3.435	1.870000,-67.080000,0.000000	84.170000,30.260000,0.000000	-139.840000,-82.600000,0.000000	-28.410000,84.640000,0.000000	138.460000,-80.600000,0.000000
3.584	-0.440000,-69.400000,0.000000	85.690000,26.570000,0.000000	172.380000,-77.580000,0.000000	-40.900000,84.310000,0.000000	131.240000,-79.890000,0.000000
3.750	2.670000,-72.320000,0.000000	87.520000,22.520000,0.000000	172.610000,-71.000000,0.000000	-50.120000,82.540000,0.000000	129.440000,-78.980000,0.000000
3.900	-5.370000,-74.410000,0.000000	89.130000,17.550000,0.000000	169.220000,-69.250000,0.000000	-60.740000,83.050000,0.000000	126.140000,-78.410000,0.000000
4.049	-12.500000,-76.940000,0.000000	89.850000,13.310000,0.000000	164.880000,-67.890000,0.000000	-68.200000,81.830000,0.000000	130.450000,-77.700000,0.000000
4.215	-15.110000,-79.080000,0.000000	89.470000,10.100000,0.000000	141.210000,-68.220000,0.000000	-74.840000,80.010000,0.000000	129.620000,-77.440000,0.000000
4.365	-28.100000,-80.950000,0.000000	90.510000,5.960000,0.000000	116.480000,-66.830000,0.000000	-78.360000,79.650000,0.000000	126.600000,-77.980000,0.000000
4.530	-39.340000,-82.950000,0.000000	90.520000,3.490000,0.000000	95.230000,-65.270000,0.000000	-81.300000,79.240000,0.000000	130.670000,-78.380000,0.000000
4.680	-45.290000,-84.340000,0.000000	90.880000,1.630000,0.000000	80.450000,-64.620000,0.000000	-83.220000,79.090000,0.000000	132.510000,-78.800000,0.000000
4.845	-43.110000,-85.510000,0.000000	91.700000,0.220000,0.000000	70.420000,-65.720000,0.000000	-85.640000,79.240000,0.000000	-154.380000,-79.730000,0.000000
4.995	-37.290000,-86.010000,0.000000	92.200000,-0.460000,0.000000	81.340000,-67.590000,0.000000	-88.380000,78.830000,0.000000	115.850000,-80.580000,0.000000
5.145	-34.900000,-86.600000,0.000000	92.500000,-0.550000,0.000000	93.320000,-67.530000,0.000000	-90.790000,78.360000,0.000000	118.220000,-79.730000,0.000000
5.309	-33.160000,-86.910000,0.000000	93.190000,-1.060000,0.000000	106.050000,-65.690000,0.000000	-92.780000,78.310000,0.000000	121.280000,-79.590000,0.000000
5.459	-32.190000,-87.070000,0.000000	93.530000,-1.070000,0.000000	-173.040000,-62.560000,0.000000	-93.470000,78.300000,0.000000	120.820000,-79.540000,0.000000
5.625	-29.000000,-86.990000,0.000000	94.190000,-1.340000,0.000000	-175.790000,-58.670000,0.000000	-93.120000,78.430000,0.000000	122.670000,-79.350000,0.000000
5.775	-29.470000,-86.540000,0.000000	94.660000,-1.460000,0.000000	-177.340000,-54.430000,0.000000	-93.440000,78.700000,0.000000	118.690000,-78.920000,0.000000
5.924	-27.630000,-86.310000,0.000000	95.060000,-1.180000,0.000000	-179.270000,-50.570000,0.000000	-92.030000,78.450000,0.000000	119.240000,-79.150000,0.000000
6.090	-24.590000,-85.940000,0.000000	95.500000,-0.770000,0.000000	-180.290000,-46.770000,0.000000	-91.490000,78.770000,0.000000	115.800000,-79.960000,0.000000
6.239	-23.170000,-85.580000,0.000000	95.480000,-0.390000,0.000000	-182.000000,-45.050000,0.000000	-90.410000,79.390000,0.000000	113.370000,-80.840000,0.000000
6.405	-24.200000,-84.920000,0.000000	95.470000,0.070000,0.000000	180.000000,-46.830000,0.000000	-88.190000,80.060000,0.000000	117.860000,-80.920000,0.000000
6.555	-21.590000,-84.210000,0.000000	95.470000,1.190000,0.000000	176.960000,-50.760000,0.000000	-86.080000,80.240000,0.000000	115.750000,-81.140000,0.000000
6.720	-23.380000,-83.530000,0.000000	95.450000,1.240000,0.000000	166.960000,-57.050000,0.000000	-83.090000,81.100000,0.000000	117.120000,-81.190000,0.000000
6.869	-21.850000,-83.420000,0.000000	95.030000,2.320000,0.000000	142.510000,-59.450000,0.000000	-82.520000,80.760000,0.000000	115.460000,-81.600000,0.000000
7.020	-22.480000,-83.160000,0.000000	94.240000,2.470000,0.000000	117.770000,-59.810000,0.000000	-79.040000,81.240000,0.000000	119.980000,-82.180000,0.000000
7.184	-22.260000,-83.040000,0.000000	93.320000,2.750000,0.000000	94.890000,-59.340000,0.000000	-78.520000,81.390000,0.000000	118.200000,-82.650000,0.000000
7.334	-26.050000,-83.070000,0.000000	92.340000,2.340000,0.000000	76.830000,-58.380000,0.000000	-78.280000,81.710000,0.000000	122.850000,-82.730000,0.000000
7.485	-23.720000,-82.960000,0.000000	92.680000,2.860000,0.000000	60.510000,-58.410000,0.000000	-70.590000,82.060000,0.000000	123.700000,-83.170000,0.000000
7.650	-24.820000,-83.330000,0.000000	92.820000,2.470000,0.000000	48.510000,-58.840000,0.000000	-70.490000,82.320000,0.000000	134.210000,-83.360000,0.000000
7.799	-24.770000,-83.730000,0.000000	92.340000,3.330000,0.000000	57.310000,-61.400000,0.000000	-71.200000,82.230000,0.000000	136.760000,-83.080000,0.000000
7.965	-20.620000,-83.220000,0.000000	92.790000,3.950000,0.000000	69.450000,-64.930000,0.000000	-69.940000,82.490000,0.000000	143.680000,-82.280000,0.000000
8.115	-19.220000,-82.890000,0.000000	93.150000,4.350000,0.000000	17.130000,-65.930000,0.000000	-73.080000,81.710000,0.000000	140.020000,-81.610000,0.000000
8.264	-13.540000,-82.710000,0.000000	93.820000,4.860000,0.000000	-27.920000,-64.020000,0.000000	-73.400000,80.870000,0.000000	142.340000,-81.550000,0.000000
8.430	-13.980000,-82.390000,0.000000	94.050000,5.330000,0.000000	-66.460000,-61.120000,0.000000	-75.060000,80.640000,0.000000	140.820000,-81.000000,0.000000
8.579	-11.120000,-82.190000,0.000000	94.370000,5.650000,0.000000	-100.240000,-57.000000,0.000000	-75.200000,80.160000,0.000000	135.950000,-81.000000,0.000000
8.745	-8.370000,-82.060000,0.000000	94.810000,6.240000,0.000000	-129.150000,-52.490000,0.000000	-75.270000,80.290000,0.000000	134.180000,-80.900000,0.000000
8.894	-8.100000,-81.720000,0.000000	95.200000,6.600000,0.000000	-152.870000,-48.850000,0.000000	-75.650000,80.780000,0.000000	131.440000,-80.750000,0.000000
9.045	-5.780000,-81.890000,0.000000	95.810000,7.040000,0.000000	-173.570000,-47.440000,0.000000	-73.350000,80.970000,0.000000	131.940000,-80.400000,0.000000
9.210	-8.570000,-81.630000,0.000000	95.950000,6.700000,0.000000	180.000000,-48.640000,0.000000	-72.590000,81.160000,0.000000	131.060000,-80.530000,0.000000
9.360	-11.790000,-81.710000,0.000000	95.860000,6.350000,0.000000	161.540000,-52.700000,0.000000	-72.710000,81.520000,0.000000	130.780000,-80.880000,0.000000
9.525	-13.050000,-81.620000,0.000000	95.870000,6.280000,0.000000	136.690000,-58.690000,0.000000	-72.600000,81.310000,0.000000	129.470000,-81.060000,0.000000
9.675	-12.950000,-81.540000,0.000000	95.300000,6.680000,0.000000	103.020000,-61.090000,0.000000	-72.360000,81.230000,0.000000	124.650000,-81.750000,0.000000
9.825	-11.730000,-81.670000,0.000000	94.480000,6.660000,0.000000	73.550000,-63.100000,0.000000	-75.020000,80.950000,0.000000	125.830000,-82.180000,0.000000
