time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	-1.140000,-78.750000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
0.121	-1.020000,-78.770000,0.000000	90.460000,-12.840000,0.000000	90.650000,-2.260000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
0.255	-0.780000,-78.620000,0.000000	90.410000,-12.820000,0.000000	90.720000,-2.210000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
0.376	-0.580000,-78.540000,0.000000	90.330000,-12.630000,0.000000	90.780000,-2.110000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
0.510	-0.680000,-78.510000,0.000000	90.450000,-12.620000,0.000000	90.720000,-2.010000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
0.646	-0.250000,-78.500000,0.000000	90.300000,-12.580000,0.000000	90.780000,-2.070000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
0.765	0.330000,-78.480000,0.000000	90.320000,-12.430000,0.000000	90.800000,-1.990000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
0.901	0.460000,-78.500000,0.000000	90.400000,-12.340000,0.000000	90.760000,-1.890000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
1.035	0.960000,-78.520000,0.000000	90.420000,-12.390000,0.000000	90.800000,-1.870000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
1.156	1.280000,-78.610000,0.000000	90.310000,-12.420000,0.000000	90.720000,-1.900000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
1.291	1.900000,-78.550000,0.000000	90.280000,-12.450000,0.000000	90.830000,-2.060000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
1.425	3.140000,-78.560000,0.000000	90.360000,-12.460000,0.000000	90.810000,-2.310000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
1.546	2.950000,-78.730000,0.000000	90.470000,-12.700000,0.000000	90.860000,-2.440000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
1.680	2.900000,-78.760000,0.000000	90.540000,-12.850000,0.000000	90.940000,-2.400000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
1.816	2.550000,-78.850000,0.000000	90.540000,-12.970000,0.000000	90.820000,-2.420000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
1.935	2.660000,-79.030000,0.000000	90.570000,-13.070000,0.000000	90.700000,-2.400000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
2.070	2.820000,-79.040000,0.000000	90.700000,-13.380000,0.000000	90.700000,-2.350000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
2.205	2.870000,-79.010000,0.000000	90.690000,-13.290000,0.000000	90.750000,-2.340000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
2.325	3.080000,-78.810000,0.000000	90.690000,-13.330000,0.000000	90.770000,-2.480000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
2.461	3.600000,-78.680000,0.000000	90.780000,-13.330000,0.000000	90.810000,-2.130000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
2.595	3.850000,-78.440000,0.000000	90.900000,-13.400000,0.000000	90.750000,-2.060000,0.000000	90.420000,-12.980000,0.000000	90.640000,-2.240000,0.000000
