time	pelvis_imu	femur_r_imu	tibia_r_imu
6.510	6.640000,-60.380000,0.000000	88.900000,1.020000,0.000000	-90.580000,-9.340000,0.000000
6.630	3.450000,-60.160000,0.000000	88.510000,-1.700000,0.000000	-91.680000,-6.550000,0.000000
6.765	1.310000,-60.810000,0.000000	88.500000,-5.620000,0.000000	-92.740000,-4.090000,0.000000
6.885	-1.070000,-61.800000,0.000000	88.750000,-10.270000,0.000000	-93.510000,-1.240000,0.000000
7.020	-4.460000,-62.840000,0.000000	89.190000,-16.270000,0.000000	-94.840000,2.630000,0.000000
7.155	-6.850000,-64.640000,0.000000	89.030000,-22.840000,0.000000	-96.080000,6.830000,0.000000
7.275	-10.700000,-66.470000,0.000000	87.530000,-29.670000,0.000000	-96.970000,11.980000,0.000000
7.410	-15.290000,-68.160000,0.000000	85.990000,-36.600000,0.000000	-98.100000,16.780000,0.000000
7.545	-23.250000,-69.910000,0.000000	83.920000,-43.730000,0.000000	-98.960000,21.660000,0.000000
7.665	-31.150000,-71.600000,0.000000	80.750000,-50.370000,0.000000	-98.600000,26.600000,0.000000
7.800	-37.290000,-72.870000,0.000000	78.680000,-56.750000,0.000000	-98.310000,31.610000,0.000000
7.935	-43.960000,-73.840000,0.000000	75.390000,-62.180000,0.000000	-98.200000,35.720000,0.000000
8.055	-47.780000,-74.750000,0.000000	72.940000,-66.160000,0.000000	-98.130000,39.080000,0.000000
8.190	-52.020000,-75.790000,0.000000	71.510000,-68.930000,0.000000	-98.200000,41.840000,0.000000
8.325	-56.440000,-76.720000,0.000000	70.990000,-71.430000,0.000000	-98.720000,44.230000,0.000000
8.445	-57.570000,-77.630000,0.000000	70.980000,-72.840000,0.000000	-99.110000,45.350000,0.000000
8.579	-57.660000,-78.020000,0.000000	71.730000,-74.030000,0.000000	-99.440000,46.630000,0.000000
8.715	-57.570000,-78.460000,0.000000	72.170000,-74.490000,0.000000	-100.190000,47.640000,0.000000
8.835	-58.970000,-78.750000,0.000000	72.460000,-75.410000,0.000000	-100.150000,48.570000,0.000000
8.970	-60.230000,-78.770000,0.000000	73.120000,-75.850000,0.000000	-99.980000,49.430000,0.000000
9.105	-60.830000,-78.810000,0.000000	73.810000,-75.730000,0.000000	-100.180000,49.730000,0.000000
9.225	-60.320000,-79.190000,0.000000	74.480000,-75.430000,0.000000	-99.650000,50.120000,0.000000
9.360	-61.190000,-79.210000,0.000000	74.860000,-75.210000,0.000000	-99.590000,50.050000,0.000000
9.494	-62.870000,-79.370000,0.000000	75.300000,-75.230000,0.000000	-99.320000,49.950000,0.000000
9.615	-64.770000,-79.650000,0.000000	75.690000,-75.030000,0.000000	-98.980000,49.870000,0.000000
9.750	-65.590000,-80.130000,0.000000	76.120000,-74.110000,0.000000	-98.980000,49.090000,0.000000
9.885	-66.540000,-80.300000,0.000000	76.900000,-73.410000,0.000000	-99.120000,48.520000,0.000000
10.005	-66.860000,-80.330000,0.000000	77.820000,-73.020000,0.000000	-99.170000,47.880000,0.000000
10.140	-66.600000,-80.400000,0.000000	78.610000,-72.460000,0.000000	-99.010000,47.120000,0.000000
10.275	-65.830000,-80.480000,0.000000	79.490000,-71.710000,0.000000	-99.490000,46.060000,0.000000
10.395	-65.360000,-80.360000,0.000000	80.430000,-71.190000,0.000000	-99.940000,45.280000,0.000000
10.530	-65.220000,-80.400000,0.000000	80.780000,-70.350000,0.000000	-100.240000,44.660000,0.000000
10.665	-66.230000,-80.330000,0.000000	81.360000,-70.010000,0.000000	-100.400000,43.850000,0.000000
10.785	-65.700000,-80.550000,0.000000	81.090000,-69.440000,0.000000	-100.740000,43.230000,0.000000
10.920	-65.100000,-80.490000,0.000000	81.140000,-68.930000,0.000000	-100.400000,42.630000,0.000000
11.055	-65.810000,-80.270000,0.000000	80.900000,-68.510000,0.000000	-100.470000,42.070000,0.000000
11.175	-65.530000,-80.160000,0.000000	81.160000,-68.190000,0.000000	-100.540000,41.300000,0.000000
11.310	-64.960000,-80.290000,0.000000	81.030000,-67.540000,0.000000	-100.640000,40.750000,0.000000
11.445	-64.430000,-80.310000,0.000000	80.890000,-67.300000,0.000000	-100.790000,40.570000,0.000000
11.565	-66.030000,-80.030000,0.000000	80.360000,-67.250000,0.000000	-100.730000,40.410000,0.000000
11.700	-65.660000,-80.180000,0.000000	80.110000,-66.830000,0.000000	-101.050000,40.310000,0.000000
11.834	-63.850000,-80.400000,0.000000	80.130000,-66.460000,0.000000	-101.440000,39.700000,0.000000
11.955	-63.920000,-80.230000,0.000000	80.730000,-66.450000,0.000000	-101.820000,39.570000,0.000000
12.090	-63.520000,-79.880000,0.000000	81.280000,-66.570000,0.000000	-102.180000,39.860000,0.000000
12.225	-63.380000,-80.020000,0.000000	81.450000,-66.320000,0.000000	-102.610000,39.740000,0.000000
12.345	-63.240000,-79.780000,0.000000	81.580000,-66.430000,0.000000	-102.910000,39.300000,0.000000
12.480	-62.390000,-79.320000,0.000000	81.310000,-66.390000,0.000000	-102.800000,40.070000,0.000000
12.615	-62.040000,-79.480000,0.000000	82.180000,-66.110000,0.000000	-103.190000,40.090000,0.000000
12.735	-62.430000,-79.460000,0.000000	82.910000,-65.980000,0.000000	-103.310000,40.580000,0.000000
12.870	-61.850000,-79.420000,0.000000	82.090000,-66.020000,0.000000	-103.660000,40.980000,0.000000
13.004	-61.350000,-79.630000,0.000000	81.630000,-65.500000,0.000000	-103.480000,41.020000,0.000000
13.125	-61.810000,-79.680000,0.000000	81.590000,-65.320000,0.000000	-103.430000,41.150000,0.000000
13.260	-61.690000,-79.700000,0.000000	82.710000,-65.260000,0.000000	-103.710000,41.370000,0.000000
13.395	-61.080000,-79.790000,0.000000	82.760000,-65.200000,0.000000	-103.940000,41.580000,0.000000
13.515	-62.280000,-79.940000,0.000000	83.980000,-65.340000,0.000000	-103.660000,41.950000,0.000000
13.664	-62.520000,-80.260000,0.000000	83.580000,-64.820000,0.000000	-102.920000,41.720000,0.000000
13.785	-62.360000,-80.220000,0.000000	84.090000,-64.470000,0.000000	-102.340000,41.800000,0.000000
13.905	-63.000000,-80.170000,0.000000	84.460000,-64.390000,0.000000	-101.890000,41.960000,0.000000
14.040	-63.930000,-80.340000,0.000000	84.540000,-64.080000,0.000000	-101.310000,41.720000,0.000000
14.175	-63.650000,-80.040000,0.000000	84.510000,-63.270000,0.000000	-100.560000,41.030000,0.000000
14.294	-63.650000,-79.830000,0.000000	84.630000,-63.220000,0.000000	-99.600000,40.670000,0.000000
14.430	-63.340000,-80.150000,0.000000	84.630000,-62.800000,0.000000	-98.870000,40.180000,0.000000
14.565	-64.090000,-80.120000,0.000000	84.840000,-62.770000,0.000000	-98.030000,40.100000,0.000000
14.685	-64.340000,-79.960000,0.000000	85.370000,-62.600000,0.000000	-97.040000,39.940000,0.000000
14.820	-64.190000,-79.990000,0.000000	84.700000,-62.500000,0.000000	-96.510000,39.370000,0.000000
14.955	-63.620000,-80.090000,0.000000	84.510000,-62.290000,0.000000	-95.820000,38.730000,0.000000
15.075	-63.590000,-80.090000,0.000000	83.750000,-62.210000,0.000000	-95.320000,38.170000,0.000000
15.210	-64.220000,-80.070000,0.000000	82.900000,-62.350000,0.000000	-94.780000,37.230000,0.000000
15.345	-64.700000,-79.970000,0.000000	82.400000,-62.700000,0.000000	-94.570000,36.900000,0.000000
15.465	-64.300000,-79.890000,0.000000	81.610000,-62.670000,0.000000	-94.390000,36.650000,0.000000
15.600	-64.960000,-79.680000,0.000000	80.850000,-62.840000,0.000000	-94.380000,36.440000,0.000000
15.735	-66.980000,-79.820000,0.000000	80.370000,-63.230000,0.000000	-94.590000,36.280000,0.000000
15.854	-68.210000,-79.750000,0.000000	79.900000,-63.510000,0.000000	-94.960000,36.050000,0.000000
15.990	-68.680000,-79.770000,0.000000	78.500000,-63.740000,0.000000	-95.440000,35.620000,0.000000
16.125	-70.860000,-79.820000,0.000000	78.300000,-65.200000,0.000000	-95.980000,33.550000,0.000000
16.245	-70.120000,-79.690000,0.000000	76.080000,-66.180000,0.000000	-95.770000,30.910000,0.000000
16.380	-71.390000,-79.280000,0.000000	73.360000,-67.420000,0.000000	-95.450000,27.830000,0.000000
16.515	-72.680000,-79.120000,0.000000	69.900000,-69.020000,0.000000	-88.650000,23.890000,0.000000
16.635	-73.140000,-78.940000,0.000000	66.250000,-70.340000,0.000000	-88.670000,19.560000,0.000000
16.770	-73.360000,-78.260000,0.000000	61.740000,-72.370000,0.000000	-88.840000,15.150000,0.000000
16.905	-73.190000,-77.660000,0.000000	55.940000,-74.550000,0.000000	-88.780000,10.290000,0.000000
17.025	-73.470000,-77.490000,0.000000	50.160000,-76.520000,0.000000	-88.690000,5.880000,0.000000
17.160	-75.310000,-77.550000,0.000000	41.800000,-78.250000,0.000000	-88.700000,3.860000,0.000000
17.310	-74.590000,-77.500000,0.000000	37.380000,-79.700000,0.000000	-88.480000,0.730000,0.000000
17.415	-73.690000,-77.210000,0.000000	34.690000,-80.910000,0.000000	-88.340000,-1.730000,0.000000
17.550	-73.300000,-77.370000,0.000000	32.930000,-81.580000,0.000000	-88.310000,-4.040000,0.000000
17.685	-72.890000,-77.250000,0.000000	30.370000,-82.290000,0.000000	-88.370000,-5.880000,0.000000
17.805	-73.050000,-77.070000,0.000000	28.410000,-82.870000,0.000000	-88.020000,-7.210000,0.000000
17.940	-71.840000,-76.460000,0.000000	27.460000,-83.190000,0.000000	-87.720000,-8.220000,0.000000
18.075	-71.720000,-76.450000,0.000000	27.740000,-83.690000,0.000000	-87.600000,-8.820000,0.000000
18.195	-71.420000,-76.870000,0.000000	29.030000,-83.820000,0.000000	-87.940000,-9.370000,0.000000
18.330	-71.120000,-77.050000,0.000000	30.340000,-84.410000,0.000000	-88.120000,-9.540000,0.000000
18.465	-70.040000,-77.240000,0.000000	31.410000,-84.500000,0.000000	-88.310000,-9.750000,0.000000
18.585	-70.260000,-77.160000,0.000000	33.640000,-84.640000,0.000000	-88.540000,-9.600000,0.000000
18.720	-70.740000,-77.070000,0.000000	32.690000,-84.730000,0.000000	-88.770000,-9.270000,0.000000
18.855	-70.370000,-77.360000,0.000000	36.880000,-84.470000,0.000000	-89.090000,-8.840000,0.000000
18.975	-70.280000,-77.150000,0.000000	39.070000,-84.220000,0.000000	-89.230000,-8.790000,0.000000
19.110	-71.480000,-76.750000,0.000000	38.750000,-84.150000,0.000000	-89.330000,-8.530000,0.000000
19.245	-71.730000,-76.930000,0.000000	41.230000,-83.770000,0.000000	-89.200000,-8.310000,0.000000
19.364	-71.990000,-77.030000,0.000000	41.350000,-83.430000,0.000000	-88.510000,-8.090000,0.000000
19.500	-72.480000,-77.110000,0.000000	44.250000,-83.070000,0.000000	-88.570000,-7.590000,0.000000
19.634	-72.570000,-77.160000,0.000000	45.920000,-82.870000,0.000000	-89.030000,-7.410000,0.000000
19.755	-72.190000,-77.250000,0.000000	50.090000,-83.040000,0.000000	-89.580000,-7.070000,0.000000
19.890	-71.340000,-77.480000,0.000000	50.190000,-82.440000,0.000000	-89.570000,-6.530000,0.000000
20.025	-70.420000,-77.550000,0.000000	51.440000,-81.990000,0.000000	-89.720000,-6.140000,0.000000
20.145	-69.800000,-77.320000,0.000000	52.140000,-81.530000,0.000000	-89.760000,-5.710000,0.000000
20.279	-70.130000,-76.890000,0.000000	52.140000,-81.250000,0.000000	-89.490000,-5.100000,0.000000
20.415	-68.400000,-77.220000,0.000000	52.670000,-80.570000,0.000000	-89.750000,-4.840000,0.000000
20.534	-67.420000,-77.050000,0.000000	53.280000,-80.000000,0.000000	-89.980000,-4.560000,0.000000
20.670	-66.370000,-76.970000,0.000000	54.820000,-79.570000,0.000000	-90.040000,-4.140000,0.000000
20.805	-66.500000,-76.630000,0.000000	55.180000,-79.350000,0.000000	-90.040000,-3.930000,0.000000
20.940	-65.840000,-76.580000,0.000000	56.830000,-79.170000,0.000000	-90.170000,-3.800000,0.000000
21.060	-65.020000,-76.630000,0.000000	57.360000,-78.780000,0.000000	-90.230000,-3.590000,0.000000
21.195	-64.780000,-76.500000,0.000000	59.080000,-79.050000,0.000000	-90.460000,-2.840000,0.000000
21.315	-63.550000,-76.890000,0.000000	60.630000,-78.750000,0.000000	-90.700000,-2.870000,0.000000
21.450	-61.980000,-76.900000,0.000000	62.160000,-78.900000,0.000000	-90.950000,-2.780000,0.000000
21.585	-61.270000,-76.980000,0.000000	62.860000,-78.700000,0.000000	-91.070000,-2.860000,0.000000
21.705	-60.510000,-77.130000,0.000000	62.870000,-78.550000,0.000000	-91.180000,-2.980000,0.000000
21.840	-60.820000,-77.080000,0.000000	64.650000,-78.460000,0.000000	-91.180000,-2.420000,0.000000
21.975	-60.060000,-77.110000,0.000000	65.930000,-78.290000,0.000000	-91.350000,-2.460000,0.000000
22.095	-58.890000,-77.090000,0.000000	67.140000,-78.250000,0.000000	-91.820000,-2.540000,0.000000
22.230	-59.390000,-77.100000,0.000000	66.400000,-78.030000,0.000000	-91.660000,-2.980000,0.000000
22.365	-60.170000,-76.900000,0.000000	67.110000,-78.080000,0.000000	-91.380000,-2.670000,0.000000
22.485	-58.800000,-76.610000,0.000000	67.070000,-77.900000,0.000000	-91.370000,-2.540000,0.000000
22.620	-57.970000,-76.640000,0.000000	67.150000,-77.690000,0.000000	-91.400000,-2.550000,0.000000
22.755	-57.310000,-76.670000,0.000000	67.830000,-77.400000,0.000000	-91.440000,-2.380000,0.000000
22.875	-56.790000,-76.710000,0.000000	68.890000,-77.360000,0.000000	-91.460000,-2.410000,0.000000
23.010	-55.830000,-76.670000,0.000000	69.450000,-77.130000,0.000000	-91.610000,-2.380000,0.000000
23.145	-55.370000,-76.660000,0.000000	70.300000,-76.910000,0.000000	-91.560000,-2.060000,0.000000
23.280	-55.940000,-76.660000,0.000000	70.640000,-76.750000,0.000000	-91.510000,-1.800000,0.000000
23.400	-55.650000,-76.760000,0.000000	71.880000,-76.660000,0.000000	-91.680000,-1.630000,0.000000
23.535	-56.120000,-76.780000,0.000000	73.030000,-76.600000,0.000000	-91.750000,-1.570000,0.000000
23.655	-56.410000,-76.850000,0.000000	73.800000,-76.520000,0.000000	-91.720000,-1.520000,0.000000
23.790	-55.560000,-77.130000,0.000000	74.480000,-76.390000,0.000000	-91.650000,-1.530000,0.000000
23.925	-55.420000,-77.210000,0.000000	75.510000,-76.210000,0.000000	-91.750000,-1.430000,0.000000
24.045	-54.480000,-77.240000,0.000000	76.370000,-76.110000,0.000000	-92.000000,-1.240000,0.000000
24.179	-54.000000,-77.210000,0.000000	77.160000,-76.090000,0.000000	-91.990000,-1.380000,0.000000
24.315	-53.820000,-77.250000,0.000000	76.970000,-76.120000,0.000000	-92.200000,-1.580000,0.000000
24.434	-54.450000,-77.300000,0.000000	77.140000,-76.210000,0.000000	-92.090000,-1.590000,0.000000
24.570	-54.470000,-77.270000,0.000000	77.540000,-76.470000,0.000000	-92.180000,-1.720000,0.000000
24.705	-54.600000,-77.140000,0.000000	76.890000,-76.570000,0.000000	-92.260000,-1.730000,0.000000
24.824	-55.110000,-77.150000,0.000000	76.870000,-76.490000,0.000000	-92.210000,-1.680000,0.000000
24.960	-55.290000,-77.120000,0.000000	76.550000,-76.550000,0.000000	-92.200000,-1.890000,0.000000
25.094	-56.650000,-77.130000,0.000000	76.160000,-76.650000,0.000000	-91.990000,-1.850000,0.000000
25.214	-57.180000,-77.030000,0.000000	75.920000,-76.610000,0.000000	-91.740000,-1.580000,0.000000
25.349	-57.280000,-77.070000,0.000000	75.910000,-76.620000,0.000000	-91.710000,-1.550000,0.000000
25.484	-57.000000,-77.080000,0.000000	76.530000,-76.710000,0.000000	-91.720000,-1.450000,0.000000
25.605	-56.250000,-77.280000,0.000000	76.260000,-76.750000,0.000000	-91.580000,-1.430000,0.000000
25.740	-56.660000,-77.280000,0.000000	76.170000,-76.400000,0.000000	-91.440000,-1.490000,0.000000
25.875	-56.430000,-77.600000,0.000000	76.290000,-76.340000,0.000000	-91.560000,-1.600000,0.000000
25.995	-55.640000,-77.700000,0.000000	76.600000,-76.170000,0.000000	-91.460000,-1.730000,0.000000
26.130	-55.160000,-77.820000,0.000000	76.850000,-75.930000,0.000000	-91.240000,-1.850000,0.000000
26.265	-54.780000,-77.830000,0.000000	77.460000,-75.960000,0.000000	-91.150000,-1.950000,0.000000
26.385	-54.510000,-77.840000,0.000000	77.690000,-75.880000,0.000000	-91.020000,-1.750000,0.000000
26.520	-54.640000,-78.040000,0.000000	77.970000,-75.730000,0.000000	-91.070000,-1.730000,0.000000
26.654	-55.050000,-78.270000,0.000000	77.900000,-75.440000,0.000000	-90.860000,-2.200000,0.000000
26.775	-55.130000,-78.640000,0.000000	79.090000,-74.320000,0.000000	-90.720000,-3.580000,0.000000
26.910	-53.040000,-78.680000,0.000000	81.030000,-72.860000,0.000000	-90.440000,-5.250000,0.000000
27.045	-48.760000,-78.560000,0.000000	81.960000,-69.940000,0.000000	-90.170000,-6.670000,0.000000
27.164	-44.730000,-78.450000,0.000000	83.210000,-66.440000,0.000000	-89.800000,-7.740000,0.000000
27.300	-41.310000,-78.230000,0.000000	84.730000,-61.330000,0.000000	-89.520000,-8.980000,0.000000
27.435	-35.570000,-77.680000,0.000000	85.360000,-56.390000,0.000000	-89.890000,-10.120000,0.000000
27.555	-29.880000,-77.060000,0.000000	86.670000,-50.140000,0.000000	-89.440000,-10.320000,0.000000
27.690	-26.280000,-75.840000,0.000000	87.660000,-44.050000,0.000000	-89.090000,-10.090000,0.000000
27.840	-22.500000,-74.520000,0.000000	88.520000,-37.380000,0.000000	-89.170000,-10.900000,0.000000
27.945	-17.670000,-73.070000,0.000000	89.160000,-30.280000,0.000000	-88.460000,-9.410000,0.000000
28.080	-14.170000,-71.550000,0.000000	90.610000,-24.620000,0.000000	-88.730000,-8.800000,0.000000
28.215	-9.000000,-70.280000,0.000000	92.040000,-17.700000,0.000000	-89.070000,-8.650000,0.000000
28.335	-5.260000,-68.910000,0.000000	92.990000,-11.630000,0.000000	-89.740000,-8.250000,0.000000
28.470	-1.440000,-67.820000,0.000000	94.050000,-6.290000,0.000000	-90.510000,-7.690000,0.000000
28.605	1.240000,-67.060000,0.000000	94.830000,-1.670000,0.000000	-91.060000,-7.500000,0.000000
28.724	3.600000,-66.430000,0.000000	95.440000,2.380000,0.000000	-91.590000,-7.180000,0.000000
28.860	5.630000,-66.020000,0.000000	95.890000,5.660000,0.000000	-92.030000,-6.960000,0.000000
28.995	7.070000,-65.640000,0.000000	96.220000,8.100000,0.000000	-92.390000,-6.720000,0.000000
29.115	8.400000,-65.430000,0.000000	96.640000,10.100000,0.000000	-92.900000,-6.460000,0.000000
29.250	8.500000,-65.370000,0.000000	96.950000,11.360000,0.000000	-93.250000,-6.300000,0.000000
29.385	9.600000,-65.290000,0.000000	97.100000,12.460000,0.000000	-93.620000,-6.230000,0.000000
29.505	9.990000,-65.310000,0.000000	97.170000,12.980000,0.000000	-93.870000,-6.150000,0.000000
29.640	10.440000,-65.400000,0.000000	97.230000,13.400000,0.000000	-94.080000,-6.150000,0.000000
29.775	10.740000,-65.480000,0.000000	97.230000,13.540000,0.000000	-94.130000,-6.170000,0.000000
29.895	10.840000,-65.570000,0.000000	97.280000,13.430000,0.000000	-94.330000,-6.180000,0.000000
