time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	7.970000,-63.350000,0.000000	92.490000,-0.670000,0.000000	-91.950000,-11.790000,0.000000
0.135	7.990000,-63.470000,0.000000	92.220000,-0.690000,0.000000	-91.770000,-11.790000,0.000000
0.255	8.050000,-63.610000,0.000000	91.860000,-0.570000,0.000000	-91.480000,-11.700000,0.000000
0.391	7.680000,-63.660000,0.000000	91.140000,-0.570000,0.000000	-91.040000,-11.480000,0.000000
0.524	7.360000,-63.780000,0.000000	90.740000,-0.340000,0.000000	-90.800000,-11.750000,0.000000
0.645	8.640000,-63.820000,0.000000	90.530000,0.630000,0.000000	-90.530000,-12.310000,0.000000
0.780	7.330000,-64.280000,0.000000	89.980000,0.450000,0.000000	-89.620000,-11.050000,0.000000
0.915	5.910000,-64.150000,0.000000	89.670000,0.240000,0.000000	-89.230000,-10.160000,0.000000
1.034	5.190000,-64.580000,0.000000	89.720000,0.350000,0.000000	-89.000000,-10.380000,0.000000
1.169	4.650000,-64.950000,0.000000	89.600000,0.370000,0.000000	-88.740000,-10.250000,0.000000
1.335	4.170000,-65.090000,0.000000	89.400000,0.550000,0.000000	-88.590000,-10.330000,0.000000
1.425	3.630000,-65.370000,0.000000	89.060000,0.740000,0.000000	-88.190000,-9.980000,0.000000
1.561	3.090000,-65.660000,0.000000	88.890000,0.880000,0.000000	-87.890000,-9.980000,0.000000
1.695	2.610000,-65.750000,0.000000	88.840000,0.850000,0.000000	-87.850000,-9.950000,0.000000
1.815	2.350000,-65.840000,0.000000	88.650000,0.970000,0.000000	-87.810000,-10.150000,0.000000
1.950	2.240000,-65.740000,0.000000	88.470000,1.150000,0.000000	-87.660000,-10.010000,0.000000
2.085	1.850000,-65.850000,0.000000	88.310000,1.080000,0.000000	-87.460000,-10.020000,0.000000
2.205	1.440000,-65.780000,0.000000	88.140000,1.150000,0.000000	-87.270000,-10.060000,0.000000
2.339	1.120000,-65.800000,0.000000	88.150000,1.230000,0.000000	-87.280000,-10.000000,0.000000
2.475	0.820000,-65.720000,0.000000	88.160000,1.270000,0.000000	-87.240000,-9.900000,0.000000
2.595	0.760000,-65.640000,0.000000	88.040000,1.310000,0.000000	-87.180000,-9.910000,0.000000
2.731	0.600000,-65.500000,0.000000	87.950000,1.420000,0.000000	-87.160000,-9.820000,0.000000
2.865	0.590000,-65.450000,0.000000	87.970000,1.540000,0.000000	-87.180000,-9.870000,0.000000
2.985	0.340000,-65.360000,0.000000	88.030000,1.660000,0.000000	-87.190000,-9.960000,0.000000
3.120	0.440000,-65.350000,0.000000	87.960000,1.640000,0.000000	-87.130000,-9.920000,0.000000
3.255	0.190000,-65.430000,0.000000	88.010000,1.580000,0.000000	-87.210000,-10.020000,0.000000
3.375	-0.020000,-65.520000,0.000000	87.960000,1.550000,0.000000	-87.350000,-9.810000,0.000000
3.510	-0.090000,-65.600000,0.000000	87.850000,1.430000,0.000000	-87.460000,-9.520000,0.000000
3.645	0.030000,-65.740000,0.000000	87.850000,1.340000,0.000000	-87.630000,-9.580000,0.000000
3.765	-0.080000,-65.800000,0.000000	87.960000,1.340000,0.000000	-87.520000,-9.700000,0.000000
3.900	0.280000,-65.810000,0.000000	87.890000,1.260000,0.000000	-87.530000,-9.560000,0.000000
4.034	0.370000,-65.800000,0.000000	87.940000,1.360000,0.000000	-87.570000,-9.820000,0.000000
4.155	0.260000,-65.740000,0.000000	88.010000,1.380000,0.000000	-87.590000,-9.760000,0.000000
4.290	0.300000,-65.690000,0.000000	87.910000,1.350000,0.000000	-87.610000,-9.820000,0.000000
4.425	0.380000,-65.580000,0.000000	87.890000,1.540000,0.000000	-87.600000,-9.970000,0.000000
4.560	0.510000,-65.440000,0.000000	87.840000,1.610000,0.000000	-87.670000,-9.820000,0.000000
4.680	0.730000,-65.350000,0.000000	87.880000,1.590000,0.000000	-87.630000,-9.860000,0.000000
4.815	0.990000,-65.300000,0.000000	87.830000,1.780000,0.000000	-87.590000,-10.110000,0.000000
4.935	0.840000,-65.140000,0.000000	87.720000,2.010000,0.000000	-87.590000,-10.140000,0.000000
5.085	0.690000,-65.050000,0.000000	87.760000,2.110000,0.000000	-87.560000,-10.120000,0.000000
5.205	0.770000,-64.930000,0.000000	87.660000,2.110000,0.000000	-87.460000,-10.130000,0.000000
5.325	0.940000,-64.770000,0.000000	87.850000,2.090000,0.000000	-87.600000,-10.110000,0.000000
5.460	1.030000,-64.740000,0.000000	87.970000,2.080000,0.000000	-87.640000,-10.030000,0.000000
5.595	0.880000,-64.670000,0.000000	87.930000,2.080000,0.000000	-87.690000,-9.950000,0.000000
5.715	0.990000,-64.430000,0.000000	87.640000,2.200000,0.000000	-87.750000,-9.720000,0.000000
5.850	0.730000,-64.180000,0.000000	87.570000,2.200000,0.000000	-87.620000,-9.570000,0.000000
5.985	0.520000,-63.860000,0.000000	87.870000,2.230000,0.000000	-88.010000,-9.840000,0.000000
6.105	1.680000,-63.310000,0.000000	88.590000,3.040000,0.000000	-88.940000,-11.680000,0.000000
6.240	6.180000,-62.220000,0.000000	88.820000,2.440000,0.000000	-88.930000,-9.890000,0.000000
6.375	5.890000,-60.610000,0.000000	89.070000,2.610000,0.000000	-89.270000,-9.840000,0.000000
