time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	148.980000,5.730000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
1.375	148.820000,5.800000,0.000000	-21.600000,-4.500000,0.000000	-167.190000,0.650000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
2.604	148.750000,5.840000,0.000000	-21.590000,-4.490000,0.000000	-167.270000,0.630000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
3.958	148.690000,5.740000,0.000000	-21.590000,-4.450000,0.000000	-167.320000,0.590000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
5.309	148.670000,5.660000,0.000000	-21.600000,-4.430000,0.000000	-167.290000,0.620000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
6.531	148.710000,5.690000,0.000000	-21.620000,-4.490000,0.000000	-167.250000,0.770000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
7.991	148.830000,5.760000,0.000000	-21.600000,-4.460000,0.000000	-167.310000,0.700000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
9.158	148.960000,5.730000,0.000000	-21.670000,-4.430000,0.000000	-167.400000,0.680000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
10.398	149.000000,5.800000,0.000000	-21.610000,-4.490000,0.000000	-167.490000,0.700000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
11.727	149.000000,5.820000,0.000000	-21.640000,-4.490000,0.000000	-167.570000,0.660000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
13.253	149.150000,5.740000,0.000000	-21.690000,-4.460000,0.000000	-167.550000,0.440000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
14.467	149.170000,5.870000,0.000000	-21.650000,-4.420000,0.000000	-167.520000,0.450000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
15.642	149.310000,5.890000,0.000000	-21.680000,-4.480000,0.000000	-167.560000,0.420000,0.000000	-21.680000,-4.370000,0.000000	-167.110000,0.570000,0.000000
