time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	8.320000,-83.570000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.04942	8.590000,-83.530000,0.000000	91.740000,7.920000,0.000000	89.660000,-12.480000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.09341	8.660000,-83.470000,0.000000	91.730000,7.910000,0.000000	89.630000,-12.440000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.14185	8.320000,-83.500000,0.000000	91.710000,7.870000,0.000000	89.590000,-12.390000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.18507	8.760000,-83.500000,0.000000	91.680000,7.810000,0.000000	89.590000,-12.420000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.22856	8.740000,-83.500000,0.000000	91.660000,7.810000,0.000000	89.570000,-12.430000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.27674	8.370000,-83.460000,0.000000	91.640000,7.830000,0.000000	89.530000,-12.460000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.30972	8.420000,-83.460000,0.000000	91.630000,7.770000,0.000000	89.480000,-12.460000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.35959	8.550000,-83.460000,0.000000	91.650000,7.730000,0.000000	89.460000,-12.520000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.41114	8.460000,-83.440000,0.000000	91.650000,7.620000,0.000000	89.440000,-12.530000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.44384	8.690000,-83.490000,0.000000	91.640000,7.560000,0.000000	89.440000,-12.490000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.50137	8.430000,-83.510000,0.000000	91.650000,7.630000,0.000000	89.400000,-12.550000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.54595	8.600000,-83.440000,0.000000	91.640000,7.620000,0.000000	89.400000,-12.520000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.59232	8.970000,-83.410000,0.000000	91.600000,7.560000,0.000000	89.410000,-12.500000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.63171	7.870000,-83.400000,0.000000	91.630000,7.470000,0.000000	89.410000,-12.550000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.67754	7.350000,-83.440000,0.000000	91.680000,7.350000,0.000000	89.430000,-12.540000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.72447	7.740000,-83.360000,0.000000	91.660000,7.400000,0.000000	89.470000,-12.540000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.76468	8.460000,-83.350000,0.000000	91.590000,7.540000,0.000000	89.480000,-12.470000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
0.82696	8.850000,-83.350000,0.000000	91.530000,7.700000,0.000000	89.460000,-12.350000,0.000000	91.790000,7.920000,0.000000	89.690000,-12.460000,0.000000
