time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	-16.690000,-86.950000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.04705	-17.100000,-86.890000,0.000000	88.090000,3.830000,0.000000	82.420000,-5.730000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.08142	-16.430000,-86.870000,0.000000	88.170000,3.930000,0.000000	82.440000,-5.700000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.13312	-16.310000,-86.780000,0.000000	88.200000,4.010000,0.000000	82.460000,-5.630000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.18130	-16.180000,-86.810000,0.000000	88.310000,4.050000,0.000000	82.460000,-5.640000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.23223	-16.560000,-86.720000,0.000000	88.290000,4.090000,0.000000	82.500000,-5.680000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.27183	-16.720000,-86.680000,0.000000	88.340000,4.120000,0.000000	82.500000,-5.600000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.31496	-16.800000,-86.620000,0.000000	88.430000,4.160000,0.000000	82.520000,-5.670000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.35786	-16.270000,-86.530000,0.000000	88.410000,4.220000,0.000000	82.570000,-5.590000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.40056	-15.760000,-86.470000,0.000000	88.480000,4.230000,0.000000	82.590000,-5.630000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.45049	-15.220000,-86.420000,0.000000	88.480000,4.310000,0.000000	82.640000,-5.600000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.49485	-15.380000,-86.390000,0.000000	88.530000,4.370000,0.000000	82.690000,-5.610000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.53292	-15.520000,-86.320000,0.000000	88.600000,4.360000,0.000000	82.730000,-5.670000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.58513	-15.820000,-86.290000,0.000000	88.580000,4.380000,0.000000	82.810000,-5.660000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.62994	-15.830000,-86.290000,0.000000	88.610000,4.410000,0.000000	82.880000,-5.680000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.67122	-15.860000,-86.320000,0.000000	88.650000,4.430000,0.000000	82.940000,-5.680000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.74746	-15.280000,-86.300000,0.000000	88.710000,4.440000,0.000000	82.970000,-5.780000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.76479	-15.610000,-86.260000,0.000000	88.660000,4.450000,0.000000	83.020000,-5.810000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.79805	-16.030000,-86.250000,0.000000	88.670000,4.450000,0.000000	83.050000,-5.950000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.84849	-15.280000,-86.240000,0.000000	88.730000,4.500000,0.000000	83.110000,-5.950000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.89911	-14.710000,-86.170000,0.000000	88.700000,4.580000,0.000000	83.140000,-6.010000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.93912	-14.390000,-86.110000,0.000000	88.780000,4.660000,0.000000	83.220000,-6.120000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
0.99002	-13.790000,-86.090000,0.000000	88.840000,4.740000,0.000000	83.220000,-6.220000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.03281	-13.490000,-86.040000,0.000000	88.870000,4.730000,0.000000	83.230000,-6.250000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.08168	-13.440000,-85.970000,0.000000	88.850000,4.750000,0.000000	83.240000,-6.310000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.12705	-13.330000,-85.870000,0.000000	88.890000,4.830000,0.000000	83.280000,-6.410000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.16483	-13.280000,-85.840000,0.000000	88.920000,4.860000,0.000000	83.260000,-6.480000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.21577	-12.530000,-85.770000,0.000000	88.980000,4.850000,0.000000	83.330000,-6.570000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.25559	-13.010000,-85.780000,0.000000	89.080000,4.770000,0.000000	83.380000,-6.620000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.30586	-12.840000,-85.800000,0.000000	89.010000,4.720000,0.000000	83.350000,-6.650000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.36827	-12.850000,-85.800000,0.000000	89.040000,4.770000,0.000000	83.370000,-6.800000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.41749	-12.900000,-85.750000,0.000000	89.060000,4.750000,0.000000	83.360000,-6.920000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.48304	-12.680000,-85.660000,0.000000	89.070000,4.720000,0.000000	83.380000,-7.180000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.48875	-12.850000,-85.590000,0.000000	89.140000,4.700000,0.000000	83.400000,-7.190000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.54069	-10.960000,-85.540000,0.000000	88.960000,4.700000,0.000000	83.360000,-7.460000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.60088	-9.540000,-85.360000,0.000000	89.180000,4.460000,0.000000	83.480000,-7.630000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.71571	-7.840000,-85.160000,0.000000	89.580000,4.130000,0.000000	83.940000,-7.820000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.72948	-5.530000,-84.980000,0.000000	89.780000,3.670000,0.000000	84.020000,-8.580000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.73118	-4.970000,-84.810000,0.000000	89.350000,2.750000,0.000000	84.420000,-9.430000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.78359	-4.070000,-84.560000,0.000000	88.920000,1.540000,0.000000	84.500000,-10.680000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.83901	-6.600000,-84.440000,0.000000	88.400000,0.130000,0.000000	85.370000,-10.430000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.84948	-10.620000,-84.020000,0.000000	87.940000,-1.280000,0.000000	85.450000,-9.880000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.90047	-13.770000,-84.070000,0.000000	87.830000,-2.710000,0.000000	84.940000,-8.890000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
1.96742	-16.600000,-84.000000,0.000000	87.470000,-4.230000,0.000000	84.300000,-7.500000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.02229	-16.960000,-84.060000,0.000000	87.330000,-5.880000,0.000000	85.050000,-2.970000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.02869	-17.480000,-84.140000,0.000000	86.990000,-7.360000,0.000000	84.660000,-0.230000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.08203	-15.340000,-84.350000,0.000000	86.960000,-9.460000,0.000000	84.230000,1.830000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.14487	-15.310000,-84.440000,0.000000	86.970000,-11.850000,0.000000	83.910000,4.210000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.19984	-17.980000,-84.400000,0.000000	86.950000,-14.340000,0.000000	83.570000,6.380000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.20801	-16.560000,-84.540000,0.000000	86.810000,-17.150000,0.000000	83.200000,8.470000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.26678	-20.410000,-84.460000,0.000000	86.820000,-20.040000,0.000000	83.050000,10.280000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.31580	-19.790000,-84.440000,0.000000	86.370000,-22.830000,0.000000	82.920000,12.060000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.38284	-20.650000,-84.300000,0.000000	85.970000,-25.470000,0.000000	82.540000,14.000000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.38856	-23.330000,-84.020000,0.000000	85.490000,-28.440000,0.000000	82.410000,16.030000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.44661	-25.220000,-83.870000,0.000000	84.710000,-31.220000,0.000000	82.360000,18.150000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.49895	-28.090000,-83.980000,0.000000	84.000000,-33.740000,0.000000	82.690000,20.180000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.56564	-26.580000,-84.150000,0.000000	82.930000,-36.410000,0.000000	82.820000,22.430000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.56819	-28.660000,-83.790000,0.000000	81.530000,-39.290000,0.000000	83.060000,24.840000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.61624	-34.810000,-82.680000,0.000000	80.800000,-41.800000,0.000000	83.830000,27.890000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.68183	-35.960000,-82.900000,0.000000	80.430000,-44.260000,0.000000	84.520000,31.410000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.73838	-38.430000,-83.080000,0.000000	79.830000,-46.230000,0.000000	85.040000,33.410000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.74868	-42.490000,-83.160000,0.000000	79.630000,-48.490000,0.000000	85.160000,34.740000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.80717	-46.880000,-83.310000,0.000000	78.970000,-50.320000,0.000000	85.020000,35.200000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.86635	-49.330000,-83.140000,0.000000	78.460000,-52.040000,0.000000	85.290000,35.850000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.92679	-50.430000,-83.130000,0.000000	78.440000,-53.440000,0.000000	85.000000,36.140000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.92831	-53.340000,-82.950000,0.000000	78.710000,-54.410000,0.000000	85.170000,36.030000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
2.98280	-53.060000,-82.740000,0.000000	78.310000,-55.130000,0.000000	84.810000,35.930000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.04683	-55.600000,-82.720000,0.000000	79.670000,-55.270000,0.000000	84.980000,35.920000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.09862	-53.710000,-82.530000,0.000000	79.960000,-55.320000,0.000000	84.510000,36.890000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.10808	-53.730000,-82.610000,0.000000	80.620000,-54.730000,0.000000	85.120000,36.380000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.16546	-50.350000,-82.350000,0.000000	81.480000,-53.680000,0.000000	83.790000,36.330000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.22661	-52.530000,-82.290000,0.000000	82.400000,-52.500000,0.000000	83.790000,34.850000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.28640	-50.240000,-81.980000,0.000000	82.990000,-51.140000,0.000000	83.350000,34.090000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.28858	-51.230000,-82.140000,0.000000	83.400000,-49.340000,0.000000	83.650000,33.970000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.34541	-46.870000,-82.250000,0.000000	83.690000,-47.060000,0.000000	83.580000,31.460000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.40877	-41.190000,-82.170000,0.000000	83.970000,-44.620000,0.000000	82.990000,29.440000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.46669	-42.220000,-82.120000,0.000000	84.320000,-42.790000,0.000000	83.470000,27.000000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.46820	-40.170000,-82.000000,0.000000	84.760000,-40.420000,0.000000	83.830000,23.990000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.51546	-39.000000,-81.800000,0.000000	85.160000,-38.430000,0.000000	84.490000,21.430000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.58700	-38.690000,-81.590000,0.000000	85.640000,-36.080000,0.000000	84.220000,19.040000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.64561	-35.320000,-81.430000,0.000000	85.970000,-33.350000,0.000000	84.490000,16.740000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.64846	-32.310000,-81.190000,0.000000	86.110000,-31.230000,0.000000	84.530000,14.790000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.69939	-31.210000,-81.050000,0.000000	86.420000,-28.950000,0.000000	85.010000,12.420000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.76559	-29.390000,-80.990000,0.000000	86.810000,-27.080000,0.000000	85.560000,10.360000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.81577	-28.460000,-80.750000,0.000000	87.160000,-25.550000,0.000000	86.250000,8.450000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.82805	-27.130000,-80.700000,0.000000	87.580000,-24.220000,0.000000	86.170000,6.570000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.88243	-25.380000,-80.610000,0.000000	87.890000,-23.040000,0.000000	86.170000,5.810000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.94704	-24.410000,-80.750000,0.000000	88.290000,-22.270000,0.000000	85.900000,5.480000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
3.99933	-21.370000,-80.670000,0.000000	88.520000,-21.750000,0.000000	85.420000,5.630000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.00808	-19.440000,-80.890000,0.000000	88.990000,-21.690000,0.000000	84.680000,6.740000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.06599	-19.510000,-80.920000,0.000000	89.360000,-21.920000,0.000000	84.030000,7.810000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.12263	-17.150000,-81.140000,0.000000	89.820000,-22.300000,0.000000	83.430000,9.470000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.18219	-17.050000,-81.210000,0.000000	89.910000,-23.280000,0.000000	83.020000,11.100000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.18894	-18.120000,-81.560000,0.000000	90.400000,-24.840000,0.000000	82.680000,12.610000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.24107	-20.420000,-81.720000,0.000000	90.080000,-26.550000,0.000000	82.510000,14.130000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.29894	-22.460000,-81.860000,0.000000	90.070000,-28.480000,0.000000	82.400000,16.060000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.36461	-22.400000,-82.260000,0.000000	90.070000,-30.360000,0.000000	82.890000,17.820000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.36883	-24.270000,-82.400000,0.000000	89.070000,-32.610000,0.000000	82.930000,19.660000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
4.41490	-21.540000,-82.640000,0.000000	87.910000,-34.770000,0.000000	83.010000,21.300000,0.000000	88.030000,3.720000,0.000000	82.360000,-5.820000,0.000000
