time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	-7.200000,-70.630000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
0.120	-7.200000,-70.630000,0.000000	93.910000,-15.740000,0.000000	87.650000,2.800000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
0.255	-7.200000,-70.630000,0.000000	93.860000,-15.910000,0.000000	87.570000,2.860000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
0.389	-7.200000,-70.630000,0.000000	93.750000,-15.960000,0.000000	87.590000,2.920000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
0.510	-7.200000,-70.630000,0.000000	93.780000,-16.030000,0.000000	87.480000,2.840000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
0.644	-7.200000,-70.630000,0.000000	93.760000,-16.230000,0.000000	87.410000,2.970000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
0.779	-7.200000,-70.630000,0.000000	93.710000,-16.390000,0.000000	87.410000,2.990000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
0.900	-7.200000,-70.630000,0.000000	93.840000,-16.380000,0.000000	87.310000,2.980000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
1.035	-7.200000,-70.630000,0.000000	93.740000,-16.580000,0.000000	87.280000,3.020000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
1.169	-7.200000,-70.630000,0.000000	93.660000,-16.590000,0.000000	87.210000,3.080000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
1.289	-7.200000,-70.630000,0.000000	93.740000,-16.600000,0.000000	87.230000,3.060000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
1.424	-7.200000,-70.630000,0.000000	93.780000,-16.590000,0.000000	87.110000,3.020000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
1.559	-7.200000,-70.630000,0.000000	93.740000,-16.640000,0.000000	87.160000,3.010000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
1.680	-7.200000,-70.630000,0.000000	93.710000,-16.740000,0.000000	87.150000,2.800000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
1.814	-7.200000,-70.630000,0.000000	93.730000,-16.680000,0.000000	87.260000,2.820000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
1.949	-7.200000,-70.630000,0.000000	93.800000,-16.800000,0.000000	87.290000,2.970000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
2.085	-7.200000,-70.630000,0.000000	93.770000,-16.810000,0.000000	87.340000,2.950000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
2.204	-7.200000,-70.630000,0.000000	93.880000,-16.760000,0.000000	87.440000,3.180000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
2.340	-7.200000,-70.630000,0.000000	93.970000,-16.720000,0.000000	87.400000,3.170000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
2.474	-7.200000,-70.630000,0.000000	93.990000,-16.660000,0.000000	87.410000,3.230000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
2.595	-7.200000,-70.630000,0.000000	93.960000,-16.600000,0.000000	87.410000,3.300000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
2.729	-7.200000,-70.630000,0.000000	93.980000,-16.710000,0.000000	87.290000,3.310000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
2.865	-7.200000,-70.630000,0.000000	93.990000,-16.680000,0.000000	87.150000,3.400000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
2.985	-7.200000,-70.630000,0.000000	94.030000,-16.620000,0.000000	87.030000,3.520000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
3.120	-7.200000,-70.630000,0.000000	94.090000,-16.630000,0.000000	87.070000,3.470000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
3.255	-7.200000,-70.630000,0.000000	94.070000,-16.700000,0.000000	86.990000,3.370000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
3.374	-7.200000,-70.630000,0.000000	94.080000,-16.720000,0.000000	87.040000,3.390000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
3.525	-7.200000,-70.630000,0.000000	94.040000,-16.680000,0.000000	87.050000,3.320000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
3.644	-7.200000,-70.630000,0.000000	93.970000,-16.530000,0.000000	87.130000,3.400000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
3.765	-7.200000,-70.630000,0.000000	93.890000,-16.520000,0.000000	87.150000,3.360000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
3.900	-7.200000,-70.630000,0.000000	93.940000,-16.550000,0.000000	87.140000,3.400000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
4.035	-7.200000,-70.630000,0.000000	93.860000,-16.550000,0.000000	87.140000,3.340000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
4.155	-7.200000,-70.630000,0.000000	93.790000,-16.490000,0.000000	87.160000,3.280000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
4.289	-7.200000,-70.630000,0.000000	93.650000,-16.550000,0.000000	87.100000,3.310000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
4.425	-7.200000,-70.630000,0.000000	93.590000,-16.520000,0.000000	87.060000,3.400000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
4.544	-7.200000,-70.630000,0.000000	93.530000,-16.470000,0.000000	86.930000,3.470000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
4.696	-7.200000,-70.630000,0.000000	93.490000,-16.530000,0.000000	86.920000,3.210000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
4.813	-7.200000,-70.630000,0.000000	93.480000,-16.460000,0.000000	86.880000,3.180000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
4.935	-7.200000,-70.630000,0.000000	93.410000,-16.560000,0.000000	86.770000,3.090000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
5.070	-7.200000,-70.630000,0.000000	93.710000,-16.850000,0.000000	86.770000,2.800000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
5.204	-7.200000,-70.630000,0.000000	94.130000,-17.420000,0.000000	87.070000,2.870000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
5.325	-7.200000,-70.630000,0.000000	94.210000,-18.630000,0.000000	86.540000,3.500000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
5.459	-7.200000,-70.630000,0.000000	94.320000,-20.510000,0.000000	86.320000,1.930000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
5.594	-7.200000,-70.630000,0.000000	94.040000,-23.650000,0.000000	86.730000,-1.060000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
5.714	-7.200000,-70.630000,0.000000	94.900000,-28.480000,0.000000	87.150000,-3.880000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
5.850	-7.200000,-70.630000,0.000000	95.400000,-34.360000,0.000000	87.960000,-7.030000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
5.985	-7.200000,-70.630000,0.000000	96.320000,-41.040000,0.000000	89.630000,-9.920000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
6.104	-7.200000,-70.630000,0.000000	94.110000,-49.060000,0.000000	90.300000,-15.660000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
6.240	-7.200000,-70.630000,0.000000	83.230000,-56.680000,0.000000	91.040000,-21.900000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
6.374	-7.200000,-70.630000,0.000000	67.470000,-63.130000,0.000000	92.080000,-28.190000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
6.495	-7.200000,-70.630000,0.000000	50.930000,-68.740000,0.000000	93.750000,-33.870000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
6.629	-7.200000,-70.630000,0.000000	34.630000,-73.390000,0.000000	92.940000,-39.600000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
6.750	-7.200000,-70.630000,0.000000	25.610000,-77.350000,0.000000	94.180000,-43.990000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
6.884	-7.200000,-70.630000,0.000000	16.560000,-80.920000,0.000000	94.550000,-47.720000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
7.020	-7.200000,-70.630000,0.000000	7.300000,-84.210000,0.000000	95.580000,-50.920000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
7.140	-7.200000,-70.630000,0.000000	-0.330000,-87.260000,0.000000	95.460000,-53.400000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
7.274	-7.200000,-70.630000,0.000000	-3.040000,-89.400000,0.000000	95.200000,-55.620000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
7.410	-7.200000,-70.630000,0.000000	-11.940000,-91.000000,0.000000	93.790000,-57.630000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
7.529	-7.200000,-70.630000,0.000000	-13.830000,-92.280000,0.000000	93.560000,-58.870000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
7.664	-7.200000,-70.630000,0.000000	-16.910000,-93.330000,0.000000	92.530000,-59.970000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
7.800	-7.200000,-70.630000,0.000000	-20.140000,-94.150000,0.000000	91.850000,-60.960000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
7.919	-7.200000,-70.630000,0.000000	-24.480000,-94.570000,0.000000	91.190000,-61.590000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
8.055	-7.200000,-70.630000,0.000000	-24.120000,-94.650000,0.000000	90.880000,-61.880000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
8.188	-7.200000,-70.630000,0.000000	-21.770000,-94.700000,0.000000	90.560000,-61.990000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
8.310	-7.200000,-70.630000,0.000000	-20.550000,-94.550000,0.000000	90.750000,-61.690000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
8.444	-7.200000,-70.630000,0.000000	-19.330000,-94.820000,0.000000	90.490000,-61.330000,0.000000	94.020000,-15.740000,0.000000	87.690000,2.820000,0.000000
