time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	-23.560000,-55.070000,0.000000	-136.800000,-87.760000,0.000000	-44.380000,-87.510000,0.000000
0.119	-23.610000,-55.110000,0.000000	-135.970000,-87.870000,0.000000	-41.880000,-87.480000,0.000000
0.255	-23.530000,-55.100000,0.000000	-136.990000,-87.850000,0.000000	-42.910000,-87.500000,0.000000
0.390	-23.620000,-55.080000,0.000000	-137.540000,-87.970000,0.000000	-43.990000,-87.470000,0.000000
0.509	-23.610000,-55.180000,0.000000	-135.910000,-87.830000,0.000000	-42.630000,-87.620000,0.000000
0.644	-23.690000,-55.160000,0.000000	-135.960000,-87.800000,0.000000	-41.220000,-87.640000,0.000000
0.779	-23.670000,-55.280000,0.000000	-136.450000,-87.550000,0.000000	-42.930000,-87.590000,0.000000
0.900	-23.560000,-55.300000,0.000000	-136.570000,-87.410000,0.000000	-45.160000,-87.480000,0.000000
1.034	-23.580000,-55.210000,0.000000	-137.840000,-87.450000,0.000000	-38.420000,-87.590000,0.000000
1.169	-23.550000,-55.260000,0.000000	-135.490000,-87.450000,0.000000	-39.630000,-87.540000,0.000000
1.290	-23.590000,-55.380000,0.000000	-132.940000,-87.190000,0.000000	-44.460000,-87.380000,0.000000
1.424	-23.690000,-55.310000,0.000000	-132.170000,-87.010000,0.000000	-48.870000,-87.410000,0.000000
1.560	-23.770000,-55.340000,0.000000	-134.370000,-87.100000,0.000000	-53.690000,-87.480000,0.000000
1.680	-23.890000,-55.390000,0.000000	-133.170000,-87.090000,0.000000	-56.250000,-87.500000,0.000000
1.814	-23.830000,-55.510000,0.000000	-132.990000,-86.970000,0.000000	-57.220000,-87.490000,0.000000
1.949	-24.030000,-55.710000,0.000000	-131.570000,-86.790000,0.000000	-55.140000,-87.310000,0.000000
2.070	-24.270000,-55.810000,0.000000	-130.650000,-86.680000,0.000000	-55.870000,-87.280000,0.000000
2.204	-24.390000,-55.810000,0.000000	-130.200000,-86.660000,0.000000	-54.850000,-87.310000,0.000000
2.340	-24.370000,-55.780000,0.000000	-129.040000,-86.650000,0.000000	-54.590000,-87.300000,0.000000
2.460	-24.310000,-55.780000,0.000000	-129.140000,-86.880000,0.000000	-52.890000,-87.350000,0.000000
2.594	-24.750000,-55.690000,0.000000	-130.050000,-86.550000,0.000000	-56.680000,-87.410000,0.000000
2.730	-24.380000,-55.620000,0.000000	-135.510000,-86.850000,0.000000	-55.790000,-87.350000,0.000000
2.850	-24.510000,-55.510000,0.000000	-130.930000,-86.820000,0.000000	-54.440000,-87.330000,0.000000
2.985	-24.330000,-55.540000,0.000000	-130.720000,-86.810000,0.000000	-55.770000,-87.330000,0.000000
3.119	-23.700000,-55.430000,0.000000	-131.050000,-86.910000,0.000000	-56.630000,-87.340000,0.000000
3.240	-23.460000,-55.430000,0.000000	-132.480000,-86.890000,0.000000	-55.590000,-87.490000,0.000000
3.374	-23.090000,-55.400000,0.000000	-131.370000,-86.980000,0.000000	-54.020000,-87.350000,0.000000
3.509	-23.170000,-55.410000,0.000000	-128.430000,-86.930000,0.000000	-54.500000,-87.220000,0.000000
3.630	-23.210000,-55.450000,0.000000	-127.920000,-86.980000,0.000000	-55.580000,-87.120000,0.000000
3.764	-23.150000,-55.620000,0.000000	-127.490000,-86.950000,0.000000	-57.640000,-87.080000,0.000000
3.900	-23.300000,-55.700000,0.000000	-129.360000,-86.890000,0.000000	-56.460000,-87.130000,0.000000
4.019	-23.240000,-55.770000,0.000000	-128.780000,-86.520000,0.000000	-58.000000,-86.810000,0.000000
4.155	-23.190000,-55.820000,0.000000	-128.430000,-86.380000,0.000000	-59.450000,-86.670000,0.000000
4.290	-22.930000,-55.890000,0.000000	-135.130000,-86.500000,0.000000	-59.460000,-86.840000,0.000000
4.410	-22.660000,-55.940000,0.000000	-138.120000,-86.620000,0.000000	-57.610000,-87.060000,0.000000
4.544	-22.840000,-56.030000,0.000000	-136.210000,-86.420000,0.000000	-54.740000,-87.100000,0.000000
4.679	-23.020000,-56.080000,0.000000	-135.350000,-86.170000,0.000000	-54.050000,-87.210000,0.000000
4.799	-23.210000,-56.040000,0.000000	-132.610000,-85.990000,0.000000	-55.760000,-87.110000,0.000000
4.964	-23.220000,-56.020000,0.000000	-134.230000,-86.090000,0.000000	-56.500000,-87.070000,0.000000
5.069	-23.620000,-56.010000,0.000000	-132.090000,-86.180000,0.000000	-57.250000,-87.100000,0.000000
5.190	-23.880000,-56.010000,0.000000	-129.760000,-86.110000,0.000000	-59.080000,-86.850000,0.000000
5.325	-23.880000,-56.000000,0.000000	-131.730000,-86.080000,0.000000	-55.890000,-87.040000,0.000000
5.460	-23.260000,-55.890000,0.000000	-133.110000,-86.040000,0.000000	-58.630000,-87.100000,0.000000
5.579	-22.590000,-55.910000,0.000000	-132.580000,-86.140000,0.000000	-62.380000,-87.270000,0.000000
5.715	-22.480000,-55.780000,0.000000	-128.370000,-86.030000,0.000000	-58.940000,-87.270000,0.000000
5.849	-22.340000,-55.770000,0.000000	-125.330000,-86.150000,0.000000	-57.090000,-87.040000,0.000000
5.970	-21.840000,-55.840000,0.000000	-121.960000,-85.940000,0.000000	-55.590000,-86.670000,0.000000
6.104	-21.570000,-55.820000,0.000000	-116.050000,-85.760000,0.000000	-54.590000,-86.290000,0.000000
