time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.04424	-7.770000,-71.720000,0.000000	92.480000,5.480000,0.000000	87.300000,3.710000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.08988	-8.340000,-71.630000,0.000000	92.440000,5.400000,0.000000	87.170000,3.720000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.13245	-8.270000,-71.590000,0.000000	92.350000,5.560000,0.000000	87.080000,3.860000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.17598	-8.380000,-71.520000,0.000000	92.200000,5.670000,0.000000	87.030000,4.010000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.22302	-8.730000,-71.460000,0.000000	92.050000,5.680000,0.000000	86.920000,3.950000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.27047	-8.860000,-71.480000,0.000000	92.040000,5.660000,0.000000	86.890000,3.980000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.30735	-8.790000,-71.390000,0.000000	92.010000,5.750000,0.000000	86.860000,4.020000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.36045	-8.400000,-71.220000,0.000000	92.080000,6.030000,0.000000	86.960000,4.080000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.40353	-7.390000,-71.110000,0.000000	92.180000,6.360000,0.000000	86.930000,4.430000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.44950	-6.930000,-70.880000,0.000000	92.100000,6.720000,0.000000	86.720000,4.730000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.49433	-6.520000,-70.630000,0.000000	92.220000,6.960000,0.000000	86.900000,5.000000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.53783	-6.920000,-70.560000,0.000000	92.240000,6.730000,0.000000	86.850000,4.820000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.58452	-6.140000,-70.610000,0.000000	92.270000,6.880000,0.000000	86.860000,5.000000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.62583	-4.790000,-70.530000,0.000000	92.250000,7.060000,0.000000	86.960000,5.180000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.66803	-4.640000,-70.670000,0.000000	92.230000,7.060000,0.000000	86.940000,5.410000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.71772	-5.040000,-70.690000,0.000000	92.280000,6.850000,0.000000	86.950000,5.340000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.75181	-5.510000,-70.600000,0.000000	92.420000,6.600000,0.000000	87.070000,5.050000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.80208	-5.430000,-70.820000,0.000000	92.380000,6.310000,0.000000	87.130000,5.080000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.85334	-4.730000,-70.910000,0.000000	92.360000,6.380000,0.000000	87.110000,5.170000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.88974	-4.960000,-71.070000,0.000000	92.360000,6.170000,0.000000	87.110000,5.140000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.94564	-5.730000,-71.120000,0.000000	92.360000,5.860000,0.000000	87.140000,4.770000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
0.98995	-6.060000,-71.060000,0.000000	92.280000,5.560000,0.000000	87.200000,4.530000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.03472	-5.750000,-71.060000,0.000000	92.200000,5.620000,0.000000	87.280000,4.450000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.07680	-5.660000,-71.080000,0.000000	92.170000,5.600000,0.000000	87.200000,4.510000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.12383	-6.180000,-71.060000,0.000000	92.130000,5.500000,0.000000	87.180000,4.530000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.16821	-6.210000,-70.970000,0.000000	92.180000,5.510000,0.000000	87.280000,4.480000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.21661	-5.960000,-70.970000,0.000000	92.160000,5.540000,0.000000	87.250000,4.450000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.25474	-6.270000,-70.620000,0.000000	92.060000,5.430000,0.000000	87.300000,4.190000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.30112	-5.760000,-70.730000,0.000000	92.110000,5.680000,0.000000	87.290000,4.570000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.35078	-5.300000,-70.970000,0.000000	92.120000,6.010000,0.000000	87.240000,5.220000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.43620	-5.260000,-71.030000,0.000000	92.150000,5.850000,0.000000	87.290000,5.010000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.44339	-5.830000,-70.710000,0.000000	92.210000,5.470000,0.000000	87.400000,4.440000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.49929	-6.370000,-70.650000,0.000000	92.250000,5.290000,0.000000	87.440000,4.340000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.55787	-6.330000,-70.590000,0.000000	92.140000,5.650000,0.000000	87.280000,4.480000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.62082	-6.120000,-70.600000,0.000000	92.170000,5.940000,0.000000	87.110000,4.860000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.62398	-6.390000,-70.750000,0.000000	92.130000,5.970000,0.000000	87.120000,4.970000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.67438	-6.530000,-70.560000,0.000000	92.040000,6.040000,0.000000	87.070000,4.910000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.74060	-7.030000,-70.630000,0.000000	92.020000,5.870000,0.000000	87.090000,4.700000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.80230	-6.140000,-70.810000,0.000000	92.160000,6.080000,0.000000	87.190000,5.040000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.80784	-5.980000,-70.880000,0.000000	92.090000,6.050000,0.000000	87.090000,5.030000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.85614	-5.830000,-70.760000,0.000000	92.110000,5.890000,0.000000	87.160000,4.630000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.92259	-6.300000,-70.770000,0.000000	92.200000,5.590000,0.000000	87.180000,4.480000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.97444	-6.510000,-70.790000,0.000000	92.180000,5.330000,0.000000	87.200000,4.370000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
1.98447	-6.980000,-70.740000,0.000000	92.170000,5.200000,0.000000	87.320000,4.020000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
2.04023	-6.010000,-70.670000,0.000000	92.030000,5.470000,0.000000	87.250000,4.230000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
2.10140	-5.910000,-70.610000,0.000000	92.050000,5.650000,0.000000	87.230000,4.480000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
2.15511	-5.540000,-70.530000,0.000000	92.070000,5.700000,0.000000	87.160000,4.360000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
2.16270	-5.550000,-70.580000,0.000000	92.180000,5.570000,0.000000	87.200000,4.320000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
2.22093	-5.990000,-70.530000,0.000000	92.300000,5.370000,0.000000	87.280000,4.060000,0.000000	92.520000,5.550000,0.000000	87.370000,3.770000,0.000000
