time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	0.820000,-78.800000,0.000000	84.220000,-26.070000,0.000000	89.550000,-7.710000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.135	0.540000,-78.800000,0.000000	84.210000,-26.160000,0.000000	89.560000,-7.690000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.255	0.850000,-78.700000,0.000000	84.230000,-26.160000,0.000000	89.510000,-7.640000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.405	0.580000,-78.760000,0.000000	84.270000,-26.060000,0.000000	89.660000,-7.580000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.510	0.730000,-78.720000,0.000000	84.380000,-26.020000,0.000000	89.700000,-7.440000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.645	0.930000,-78.720000,0.000000	84.410000,-25.990000,0.000000	89.590000,-7.730000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.780	0.720000,-78.870000,0.000000	84.500000,-26.170000,0.000000	89.650000,-7.700000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.900	0.430000,-78.930000,0.000000	84.430000,-26.280000,0.000000	89.610000,-7.900000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.035	-0.210000,-78.940000,0.000000	84.220000,-26.120000,0.000000	89.580000,-7.780000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.170	0.650000,-79.140000,0.000000	84.380000,-26.230000,0.000000	89.730000,-7.880000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.290	0.160000,-79.190000,0.000000	84.510000,-26.060000,0.000000	90.870000,-7.590000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.425	-0.200000,-79.100000,0.000000	84.330000,-27.380000,0.000000	92.110000,-7.480000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.560	-1.040000,-79.460000,0.000000	83.950000,-29.620000,0.000000	92.290000,-5.070000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.679	-1.850000,-79.220000,0.000000	83.590000,-31.510000,0.000000	92.840000,-0.580000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.814	-1.910000,-78.960000,0.000000	83.330000,-33.840000,0.000000	93.080000,5.010000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.964	-1.270000,-78.670000,0.000000	83.700000,-35.860000,0.000000	92.900000,11.640000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.070	-0.480000,-78.310000,0.000000	84.770000,-37.320000,0.000000	92.010000,19.940000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.219	0.720000,-77.710000,0.000000	86.430000,-39.240000,0.000000	91.790000,27.490000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.340	2.700000,-77.330000,0.000000	87.280000,-39.200000,0.000000	89.380000,34.720000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.459	4.690000,-76.710000,0.000000	87.920000,-38.810000,0.000000	86.240000,36.940000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.594	4.090000,-75.970000,0.000000	88.390000,-38.160000,0.000000	85.040000,39.860000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
2.730	5.000000,-76.090000,0.000000	88.870000,-37.940000,0.000000	85.530000,44.120000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
