time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	148.960000,6.160000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
0.136	148.900000,6.110000,0.000000	-24.510000,-3.050000,0.000000	-170.800000,0.570000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
0.257	148.840000,6.210000,0.000000	-24.490000,-3.010000,0.000000	-170.790000,0.570000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
0.390	148.940000,6.240000,0.000000	-24.500000,-2.930000,0.000000	-170.690000,0.610000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
0.523	148.930000,6.190000,0.000000	-24.420000,-2.910000,0.000000	-170.720000,0.500000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
0.644	149.040000,6.180000,0.000000	-24.440000,-2.860000,0.000000	-170.780000,0.450000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
0.794	149.020000,6.160000,0.000000	-24.530000,-3.000000,0.000000	-170.740000,0.470000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
0.910	149.010000,6.090000,0.000000	-24.540000,-2.990000,0.000000	-170.790000,0.350000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
1.027	148.970000,6.080000,0.000000	-24.430000,-2.980000,0.000000	-170.690000,0.360000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
1.169	148.940000,5.980000,0.000000	-24.440000,-3.000000,0.000000	-170.560000,0.310000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
1.327	149.040000,5.970000,0.000000	-24.410000,-3.040000,0.000000	-170.590000,0.210000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
1.436	149.050000,6.040000,0.000000	-24.420000,-3.110000,0.000000	-170.590000,0.190000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
1.552	149.010000,6.010000,0.000000	-24.480000,-3.110000,0.000000	-170.570000,0.190000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
1.736	149.120000,6.030000,0.000000	-24.440000,-3.050000,0.000000	-170.550000,0.240000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
1.857	149.070000,6.100000,0.000000	-24.540000,-3.080000,0.000000	-170.560000,0.290000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
1.970	149.070000,6.030000,0.000000	-24.560000,-3.100000,0.000000	-170.640000,0.320000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
2.101	149.060000,6.160000,0.000000	-24.620000,-2.990000,0.000000	-170.750000,0.340000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
2.221	149.090000,6.090000,0.000000	-24.550000,-2.960000,0.000000	-170.620000,0.320000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
2.342	149.180000,6.190000,0.000000	-24.440000,-2.980000,0.000000	-170.730000,0.310000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
2.517	149.110000,6.220000,0.000000	-24.430000,-2.950000,0.000000	-170.630000,0.390000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
2.635	149.200000,6.380000,0.000000	-24.440000,-2.960000,0.000000	-170.640000,0.340000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
2.756	149.260000,6.340000,0.000000	-24.490000,-2.880000,0.000000	-170.700000,0.400000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
2.870	149.240000,6.270000,0.000000	-24.620000,-2.900000,0.000000	-170.680000,0.450000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
3.001	149.340000,6.400000,0.000000	-24.550000,-3.000000,0.000000	-170.740000,0.530000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
3.117	149.290000,6.410000,0.000000	-24.490000,-3.090000,0.000000	-170.640000,0.490000,0.000000	-24.520000,-3.080000,0.000000	-170.810000,0.610000,0.000000
