time	pelvis_imu	femur_r_imu	tibia_r_imu
9.091	-60.820000,-82.220000,0.000000	46.570000,-84.040000,0.000000	100.640000,-60.360000,0.000000
9.225	-62.320000,-82.310000,0.000000	46.170000,-83.970000,0.000000	100.280000,-60.250000,0.000000
9.360	-61.330000,-82.390000,0.000000	46.660000,-83.680000,0.000000	100.460000,-59.670000,0.000000
9.481	-60.100000,-82.500000,0.000000	47.980000,-83.540000,0.000000	100.540000,-59.020000,0.000000
9.615	-58.350000,-82.220000,0.000000	48.690000,-82.980000,0.000000	100.370000,-58.420000,0.000000
9.751	-58.160000,-81.820000,0.000000	50.850000,-82.850000,0.000000	100.100000,-57.660000,0.000000
9.870	-56.800000,-81.680000,0.000000	52.270000,-82.440000,0.000000	99.920000,-57.030000,0.000000
10.006	-56.310000,-81.750000,0.000000	52.580000,-81.520000,0.000000	99.830000,-56.600000,0.000000
10.140	-55.350000,-81.490000,0.000000	53.550000,-81.110000,0.000000	99.550000,-56.330000,0.000000
10.260	-55.050000,-81.400000,0.000000	54.970000,-80.630000,0.000000	99.880000,-55.410000,0.000000
10.396	-54.180000,-81.360000,0.000000	56.750000,-79.550000,0.000000	100.110000,-54.290000,0.000000
10.530	-52.180000,-81.190000,0.000000	58.070000,-78.600000,0.000000	100.660000,-53.320000,0.000000
10.651	-51.080000,-81.230000,0.000000	59.190000,-77.800000,0.000000	100.860000,-52.570000,0.000000
10.785	-53.180000,-81.390000,0.000000	61.090000,-77.290000,0.000000	101.030000,-51.980000,0.000000
10.921	-51.210000,-81.850000,0.000000	62.120000,-76.680000,0.000000	101.310000,-51.540000,0.000000
11.040	-50.860000,-81.970000,0.000000	63.030000,-76.330000,0.000000	101.510000,-51.120000,0.000000
11.176	-52.840000,-81.540000,0.000000	63.620000,-76.220000,0.000000	101.750000,-50.970000,0.000000
11.311	-53.730000,-81.780000,0.000000	64.120000,-75.800000,0.000000	102.190000,-50.280000,0.000000
11.430	-53.040000,-81.920000,0.000000	64.460000,-75.420000,0.000000	102.590000,-49.580000,0.000000
11.566	-52.690000,-82.020000,0.000000	64.520000,-74.960000,0.000000	102.270000,-49.370000,0.000000
11.700	-53.020000,-82.290000,0.000000	65.560000,-74.320000,0.000000	102.090000,-49.300000,0.000000
11.821	-51.730000,-82.440000,0.000000	66.670000,-73.660000,0.000000	102.050000,-48.860000,0.000000
11.955	-48.240000,-82.140000,0.000000	66.360000,-73.000000,0.000000	102.120000,-48.660000,0.000000
12.091	-45.480000,-81.920000,0.000000	65.970000,-72.150000,0.000000	101.940000,-48.100000,0.000000
12.211	-45.960000,-81.990000,0.000000	66.550000,-71.620000,0.000000	102.060000,-47.300000,0.000000
12.345	-44.190000,-81.800000,0.000000	66.330000,-71.080000,0.000000	101.790000,-47.190000,0.000000
12.481	-43.650000,-81.650000,0.000000	65.940000,-70.620000,0.000000	101.190000,-47.210000,0.000000
12.600	-41.750000,-81.560000,0.000000	65.480000,-70.430000,0.000000	101.150000,-46.990000,0.000000
12.736	-41.730000,-81.310000,0.000000	66.220000,-69.710000,0.000000	100.660000,-47.010000,0.000000
12.870	-42.140000,-81.170000,0.000000	66.800000,-69.350000,0.000000	100.430000,-46.440000,0.000000
12.991	-41.010000,-80.860000,0.000000	66.580000,-69.020000,0.000000	99.840000,-45.930000,0.000000
13.125	-39.000000,-80.400000,0.000000	66.510000,-68.700000,0.000000	98.830000,-45.760000,0.000000
13.260	-39.380000,-80.230000,0.000000	67.100000,-68.890000,0.000000	97.820000,-46.050000,0.000000
13.381	-40.330000,-80.040000,0.000000	68.190000,-68.980000,0.000000	97.480000,-45.580000,0.000000
13.515	-41.160000,-79.980000,0.000000	68.810000,-68.920000,0.000000	96.980000,-45.580000,0.000000
13.651	-42.310000,-79.900000,0.000000	68.970000,-69.230000,0.000000	96.650000,-45.440000,0.000000
13.770	-39.700000,-79.770000,0.000000	67.310000,-68.780000,0.000000	96.420000,-45.660000,0.000000
13.905	-40.590000,-79.930000,0.000000	67.310000,-69.050000,0.000000	96.330000,-45.540000,0.000000
14.040	-42.730000,-79.950000,0.000000	66.170000,-69.070000,0.000000	96.020000,-45.940000,0.000000
14.160	-42.780000,-80.340000,0.000000	66.300000,-69.080000,0.000000	96.150000,-45.550000,0.000000
14.296	-42.200000,-80.640000,0.000000	65.840000,-69.060000,0.000000	95.670000,-45.550000,0.000000
14.430	-43.790000,-80.600000,0.000000	65.580000,-69.310000,0.000000	95.150000,-45.300000,0.000000
14.551	-44.200000,-80.740000,0.000000	64.550000,-69.360000,0.000000	94.700000,-44.970000,0.000000
14.685	-46.150000,-80.660000,0.000000	64.580000,-69.330000,0.000000	94.340000,-44.420000,0.000000
14.820	-46.310000,-80.660000,0.000000	63.760000,-69.240000,0.000000	94.300000,-44.090000,0.000000
14.940	-46.100000,-80.550000,0.000000	63.170000,-69.100000,0.000000	94.240000,-44.070000,0.000000
15.075	-46.210000,-80.460000,0.000000	63.190000,-69.050000,0.000000	94.440000,-43.700000,0.000000
15.211	-45.680000,-80.250000,0.000000	62.820000,-69.090000,0.000000	94.760000,-43.380000,0.000000
15.330	-43.330000,-80.430000,0.000000	62.990000,-68.920000,0.000000	94.750000,-43.340000,0.000000
15.466	-43.870000,-80.400000,0.000000	62.990000,-69.760000,0.000000	94.920000,-42.250000,0.000000
15.600	-44.730000,-80.240000,0.000000	62.150000,-70.320000,0.000000	94.200000,-40.760000,0.000000
15.721	-46.390000,-80.080000,0.000000	59.330000,-70.880000,0.000000	94.410000,-37.340000,0.000000
15.855	-45.450000,-79.820000,0.000000	57.150000,-71.530000,0.000000	94.170000,-33.780000,0.000000
15.991	-46.910000,-79.850000,0.000000	53.870000,-73.130000,0.000000	93.760000,-28.280000,0.000000
16.110	-46.960000,-80.040000,0.000000	49.900000,-74.240000,0.000000	93.160000,-22.060000,0.000000
16.245	-48.530000,-79.870000,0.000000	47.100000,-75.330000,0.000000	92.780000,-15.790000,0.000000
16.381	-49.350000,-79.800000,0.000000	44.900000,-76.420000,0.000000	92.250000,-9.270000,0.000000
16.500	-49.480000,-79.760000,0.000000	42.390000,-77.450000,0.000000	91.340000,-2.800000,0.000000
16.636	-50.140000,-79.860000,0.000000	40.180000,-78.340000,0.000000	90.340000,3.120000,0.000000
16.770	-50.440000,-79.650000,0.000000	38.930000,-79.330000,0.000000	89.670000,8.090000,0.000000
16.891	-50.810000,-79.650000,0.000000	38.010000,-80.220000,0.000000	89.160000,13.360000,0.000000
17.025	-51.350000,-79.400000,0.000000	37.110000,-80.790000,0.000000	88.380000,16.650000,0.000000
17.161	-50.940000,-79.610000,0.000000	36.680000,-80.890000,0.000000	87.560000,20.050000,0.000000
17.281	-51.870000,-79.800000,0.000000	36.100000,-81.360000,0.000000	87.150000,21.900000,0.000000
17.416	-51.130000,-79.510000,0.000000	36.250000,-81.500000,0.000000	86.990000,23.570000,0.000000
17.551	-50.130000,-79.490000,0.000000	37.740000,-81.590000,0.000000	86.900000,24.960000,0.000000
17.670	-49.820000,-79.580000,0.000000	38.570000,-81.910000,0.000000	86.870000,25.790000,0.000000
17.806	-49.670000,-79.600000,0.000000	39.920000,-82.090000,0.000000	86.830000,26.400000,0.000000
17.955	-49.370000,-79.620000,0.000000	41.440000,-82.070000,0.000000	86.830000,26.370000,0.000000
18.061	-48.690000,-79.580000,0.000000	42.610000,-81.890000,0.000000	86.820000,26.590000,0.000000
18.196	-47.330000,-79.740000,0.000000	44.430000,-81.730000,0.000000	86.710000,26.380000,0.000000
18.330	-46.510000,-79.770000,0.000000	44.940000,-81.340000,0.000000	86.650000,26.480000,0.000000
18.450	-46.420000,-79.740000,0.000000	46.410000,-81.380000,0.000000	86.480000,26.200000,0.000000
18.586	-46.480000,-79.590000,0.000000	48.180000,-81.340000,0.000000	86.380000,25.760000,0.000000
18.721	-46.510000,-79.670000,0.000000	48.320000,-81.090000,0.000000	86.440000,25.250000,0.000000
18.840	-45.530000,-79.620000,0.000000	49.700000,-81.090000,0.000000	86.620000,24.710000,0.000000
18.976	-44.950000,-79.690000,0.000000	51.320000,-80.980000,0.000000	86.710000,24.300000,0.000000
19.110	-44.120000,-79.600000,0.000000	52.670000,-80.780000,0.000000	86.890000,23.910000,0.000000
19.230	-42.920000,-79.710000,0.000000	54.380000,-80.460000,0.000000	87.090000,23.440000,0.000000
19.366	-41.910000,-79.710000,0.000000	55.610000,-80.400000,0.000000	87.090000,22.990000,0.000000
19.500	-40.870000,-79.580000,0.000000	57.160000,-80.200000,0.000000	87.000000,22.610000,0.000000
19.621	-40.320000,-79.710000,0.000000	58.020000,-79.860000,0.000000	86.990000,22.250000,0.000000
19.755	-40.010000,-79.460000,0.000000	59.790000,-79.830000,0.000000	87.210000,21.950000,0.000000
19.891	-39.220000,-79.460000,0.000000	61.180000,-79.470000,0.000000	87.310000,21.720000,0.000000
20.011	-38.180000,-79.410000,0.000000	61.860000,-79.360000,0.000000	87.740000,21.290000,0.000000
20.145	-36.720000,-79.320000,0.000000	63.560000,-79.230000,0.000000	87.820000,21.030000,0.000000
20.281	-35.730000,-79.420000,0.000000	64.400000,-79.130000,0.000000	87.850000,20.850000,0.000000
20.400	-35.340000,-79.510000,0.000000	66.260000,-79.090000,0.000000	87.830000,20.250000,0.000000
20.536	-34.500000,-79.530000,0.000000	66.900000,-78.880000,0.000000	87.950000,19.960000,0.000000
20.670	-34.350000,-79.570000,0.000000	67.740000,-78.850000,0.000000	88.070000,19.850000,0.000000
20.791	-34.050000,-79.530000,0.000000	68.840000,-78.740000,0.000000	88.180000,19.590000,0.000000
20.925	-32.890000,-79.360000,0.000000	69.390000,-78.510000,0.000000	88.090000,19.260000,0.000000
21.061	-33.870000,-79.390000,0.000000	69.970000,-78.460000,0.000000	87.860000,18.920000,0.000000
21.181	-33.070000,-79.690000,0.000000	70.570000,-78.220000,0.000000	88.010000,18.620000,0.000000
21.315	-31.660000,-79.860000,0.000000	71.370000,-78.110000,0.000000	88.570000,18.470000,0.000000
21.451	-31.330000,-79.650000,0.000000	72.400000,-78.290000,0.000000	88.420000,18.070000,0.000000
21.570	-30.410000,-79.640000,0.000000	74.340000,-78.270000,0.000000	88.480000,17.930000,0.000000
21.706	-29.870000,-79.540000,0.000000	75.650000,-78.080000,0.000000	88.740000,17.730000,0.000000
21.840	-28.900000,-79.590000,0.000000	76.280000,-78.090000,0.000000	88.800000,17.580000,0.000000
21.960	-28.880000,-79.390000,0.000000	77.550000,-77.930000,0.000000	88.530000,17.270000,0.000000
22.096	-28.680000,-79.310000,0.000000	77.490000,-77.840000,0.000000	88.300000,16.910000,0.000000
22.231	-28.340000,-79.380000,0.000000	77.270000,-77.830000,0.000000	88.480000,16.710000,0.000000
22.351	-27.330000,-79.400000,0.000000	77.650000,-77.680000,0.000000	88.660000,16.670000,0.000000
22.485	-26.950000,-79.550000,0.000000	77.670000,-77.860000,0.000000	88.630000,16.280000,0.000000
22.621	-26.890000,-79.480000,0.000000	75.980000,-77.820000,0.000000	88.580000,16.160000,0.000000
22.740	-27.360000,-79.410000,0.000000	75.870000,-77.890000,0.000000	88.560000,15.920000,0.000000
22.876	-27.930000,-79.330000,0.000000	75.970000,-77.750000,0.000000	88.450000,15.560000,0.000000
23.011	-27.760000,-79.380000,0.000000	75.740000,-77.950000,0.000000	88.450000,15.450000,0.000000
23.129	-26.780000,-79.540000,0.000000	74.070000,-77.860000,0.000000	88.690000,15.280000,0.000000
23.265	-26.390000,-79.510000,0.000000	74.160000,-77.790000,0.000000	88.790000,15.050000,0.000000
23.400	-27.210000,-79.600000,0.000000	73.630000,-77.790000,0.000000	88.700000,15.050000,0.000000
23.521	-27.150000,-79.680000,0.000000	71.890000,-77.770000,0.000000	88.410000,14.790000,0.000000
23.655	-28.080000,-79.630000,0.000000	71.740000,-77.770000,0.000000	88.080000,15.000000,0.000000
23.791	-28.660000,-79.630000,0.000000	71.970000,-77.730000,0.000000	88.170000,15.110000,0.000000
23.911	-28.160000,-79.400000,0.000000	71.840000,-77.720000,0.000000	88.250000,14.940000,0.000000
24.046	-27.860000,-79.260000,0.000000	71.790000,-77.650000,0.000000	88.590000,15.140000,0.000000
24.180	-27.460000,-79.290000,0.000000	71.660000,-77.650000,0.000000	88.740000,15.220000,0.000000
24.300	-28.360000,-79.300000,0.000000	72.210000,-77.720000,0.000000	88.680000,15.320000,0.000000
24.436	-28.560000,-79.260000,0.000000	71.810000,-77.720000,0.000000	88.330000,15.030000,0.000000
24.571	-28.360000,-79.130000,0.000000	71.630000,-77.610000,0.000000	88.050000,14.800000,0.000000
24.691	-28.010000,-79.130000,0.000000	71.930000,-77.640000,0.000000	88.010000,14.900000,0.000000
24.825	-27.830000,-78.920000,0.000000	71.700000,-77.510000,0.000000	88.020000,14.860000,0.000000
24.961	-28.110000,-78.860000,0.000000	72.080000,-77.560000,0.000000	87.970000,14.590000,0.000000
25.081	-27.760000,-78.930000,0.000000	72.670000,-77.700000,0.000000	88.030000,14.340000,0.000000
25.215	-27.570000,-78.940000,0.000000	72.780000,-77.750000,0.000000	88.150000,14.090000,0.000000
25.351	-26.810000,-78.990000,0.000000	72.670000,-77.730000,0.000000	87.970000,13.900000,0.000000
25.470	-27.550000,-79.100000,0.000000	72.660000,-77.810000,0.000000	87.840000,13.580000,0.000000
25.606	-27.920000,-79.170000,0.000000	72.200000,-77.770000,0.000000	87.700000,13.560000,0.000000
25.740	-27.760000,-79.170000,0.000000	73.500000,-77.800000,0.000000	87.660000,13.160000,0.000000
25.860	-26.540000,-79.200000,0.000000	73.400000,-77.450000,0.000000	87.580000,13.100000,0.000000
25.996	-26.650000,-78.990000,0.000000	74.000000,-77.170000,0.000000	87.670000,13.350000,0.000000
26.130	-26.420000,-79.210000,0.000000	74.770000,-76.770000,0.000000	87.660000,13.870000,0.000000
26.251	-25.280000,-79.330000,0.000000	75.910000,-76.110000,0.000000	87.080000,13.620000,0.000000
26.385	-24.450000,-79.270000,0.000000	77.970000,-74.570000,0.000000	86.520000,14.110000,0.000000
26.521	-22.520000,-79.110000,0.000000	79.390000,-72.470000,0.000000	86.010000,14.370000,0.000000
26.640	-21.750000,-79.330000,0.000000	81.480000,-69.520000,0.000000	85.820000,14.570000,0.000000
26.775	-19.750000,-79.300000,0.000000	83.200000,-65.990000,0.000000	84.320000,14.090000,0.000000
26.911	-18.560000,-79.400000,0.000000	84.520000,-61.890000,0.000000	84.520000,13.320000,0.000000
27.030	-17.000000,-79.510000,0.000000	85.610000,-57.610000,0.000000	84.100000,12.530000,0.000000
27.166	-14.260000,-79.250000,0.000000	86.270000,-52.920000,0.000000	83.570000,12.170000,0.000000
27.330	-12.540000,-78.850000,0.000000	86.870000,-48.360000,0.000000	83.310000,11.610000,0.000000
27.420	-10.080000,-78.100000,0.000000	87.140000,-43.480000,0.000000	83.970000,11.150000,0.000000
27.556	-9.120000,-77.530000,0.000000	87.440000,-38.340000,0.000000	84.440000,10.450000,0.000000
27.691	-7.520000,-76.970000,0.000000	87.940000,-32.890000,0.000000	84.750000,9.300000,0.000000
27.811	-4.830000,-76.210000,0.000000	88.690000,-28.000000,0.000000	86.200000,9.180000,0.000000
27.945	-1.470000,-75.840000,0.000000	89.010000,-23.530000,0.000000	86.920000,9.720000,0.000000
28.080	1.310000,-75.460000,0.000000	89.490000,-20.100000,0.000000	87.600000,9.100000,0.000000
28.200	4.500000,-75.270000,0.000000	89.900000,-17.010000,0.000000	87.850000,8.500000,0.000000
28.336	6.580000,-75.250000,0.000000	90.120000,-14.390000,0.000000	87.920000,8.220000,0.000000
28.469	8.260000,-75.070000,0.000000	90.150000,-11.950000,0.000000	88.030000,7.900000,0.000000
28.590	9.280000,-74.820000,0.000000	90.090000,-10.050000,0.000000	87.950000,7.550000,0.000000
28.725	10.070000,-74.720000,0.000000	89.960000,-8.930000,0.000000	87.840000,7.260000,0.000000
28.860	10.990000,-74.680000,0.000000	90.010000,-7.960000,0.000000	87.750000,7.140000,0.000000
28.980	10.920000,-74.750000,0.000000	89.890000,-7.090000,0.000000	87.570000,7.260000,0.000000
29.115	10.790000,-74.800000,0.000000	89.560000,-6.870000,0.000000	87.490000,7.000000,0.000000
29.251	10.300000,-75.010000,0.000000	89.470000,-7.040000,0.000000	87.600000,6.870000,0.000000
29.370	10.740000,-75.120000,0.000000	89.400000,-7.320000,0.000000	87.620000,6.660000,0.000000
29.505	11.920000,-75.180000,0.000000	89.230000,-7.530000,0.000000	87.580000,6.610000,0.000000
29.640	13.150000,-75.510000,0.000000	89.160000,-8.080000,0.000000	87.610000,6.330000,0.000000
29.761	15.420000,-75.690000,0.000000	89.280000,-8.460000,0.000000	87.690000,6.410000,0.000000
29.896	16.370000,-75.800000,0.000000	89.300000,-9.140000,0.000000	87.820000,6.110000,0.000000
