time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	4.910000,-68.470000,0.000000	90.590000,-10.260000,0.000000	89.780000,8.710000,0.000000
0.121	5.080000,-68.510000,0.000000	90.500000,-10.310000,0.000000	89.720000,8.680000,0.000000
0.255	4.960000,-68.560000,0.000000	90.590000,-10.360000,0.000000	89.670000,8.720000,0.000000
0.390	5.120000,-68.610000,0.000000	90.630000,-10.390000,0.000000	89.560000,8.780000,0.000000
0.525	4.930000,-68.640000,0.000000	90.480000,-10.410000,0.000000	89.560000,8.670000,0.000000
0.660	5.030000,-68.650000,0.000000	90.490000,-10.230000,0.000000	89.510000,8.850000,0.000000
0.781	4.950000,-68.850000,0.000000	90.440000,-10.310000,0.000000	89.480000,8.710000,0.000000
0.900	5.270000,-68.970000,0.000000	90.400000,-10.210000,0.000000	89.470000,8.740000,0.000000
1.036	5.540000,-69.000000,0.000000	90.320000,-10.140000,0.000000	89.360000,8.690000,0.000000
1.170	5.800000,-69.070000,0.000000	90.380000,-10.120000,0.000000	89.390000,8.550000,0.000000
1.290	5.840000,-69.210000,0.000000	90.260000,-9.940000,0.000000	89.380000,8.590000,0.000000
1.425	5.780000,-69.320000,0.000000	90.370000,-9.820000,0.000000	89.440000,8.880000,0.000000
1.561	5.440000,-69.320000,0.000000	90.350000,-9.780000,0.000000	89.450000,9.080000,0.000000
1.681	5.290000,-69.490000,0.000000	90.500000,-9.870000,0.000000	89.490000,9.110000,0.000000
1.815	5.250000,-69.400000,0.000000	90.470000,-9.810000,0.000000	89.330000,9.130000,0.000000
1.951	5.030000,-69.360000,0.000000	90.350000,-10.030000,0.000000	89.340000,9.100000,0.000000
2.070	4.900000,-69.310000,0.000000	90.280000,-9.930000,0.000000	89.400000,9.020000,0.000000
2.206	4.980000,-69.250000,0.000000	90.310000,-10.000000,0.000000	89.470000,8.920000,0.000000
2.340	4.960000,-69.170000,0.000000	90.280000,-9.910000,0.000000	89.530000,9.000000,0.000000
2.460	5.230000,-69.070000,0.000000	90.200000,-9.720000,0.000000	89.530000,9.030000,0.000000
2.596	4.920000,-69.030000,0.000000	90.200000,-9.840000,0.000000	89.520000,9.010000,0.000000
2.731	5.110000,-68.800000,0.000000	90.180000,-9.900000,0.000000	89.620000,8.750000,0.000000
2.851	4.840000,-68.740000,0.000000	90.290000,-9.830000,0.000000	89.540000,8.710000,0.000000
3.000	5.080000,-68.650000,0.000000	90.260000,-9.850000,0.000000	89.380000,8.730000,0.000000
3.120	5.130000,-68.670000,0.000000	90.270000,-9.740000,0.000000	89.400000,8.760000,0.000000
3.240	5.580000,-68.530000,0.000000	90.120000,-9.680000,0.000000	89.400000,8.790000,0.000000
3.375	5.800000,-68.400000,0.000000	90.100000,-9.670000,0.000000	89.440000,8.690000,0.000000
3.511	5.940000,-68.220000,0.000000	90.160000,-9.700000,0.000000	89.360000,8.440000,0.000000
3.630	6.200000,-68.230000,0.000000	90.090000,-9.480000,0.000000	89.480000,8.420000,0.000000
3.766	6.890000,-68.080000,0.000000	90.020000,-9.320000,0.000000	89.570000,8.560000,0.000000
3.900	6.900000,-67.990000,0.000000	90.070000,-9.460000,0.000000	89.590000,8.540000,0.000000
4.021	6.610000,-68.020000,0.000000	90.110000,-9.390000,0.000000	89.620000,8.510000,0.000000
4.156	6.500000,-68.070000,0.000000	90.030000,-9.410000,0.000000	89.600000,8.360000,0.000000
4.291	6.450000,-68.090000,0.000000	90.010000,-9.510000,0.000000	89.580000,8.360000,0.000000
4.411	6.310000,-68.040000,0.000000	90.010000,-9.570000,0.000000	89.580000,8.420000,0.000000
4.545	6.310000,-68.060000,0.000000	89.920000,-9.630000,0.000000	89.480000,8.540000,0.000000
4.681	6.390000,-68.100000,0.000000	89.880000,-9.770000,0.000000	89.360000,8.640000,0.000000
4.801	6.160000,-68.080000,0.000000	89.880000,-9.820000,0.000000	89.350000,8.560000,0.000000
4.935	6.470000,-68.050000,0.000000	89.970000,-9.870000,0.000000	89.260000,8.540000,0.000000
5.070	6.180000,-68.010000,0.000000	89.950000,-10.010000,0.000000	89.240000,8.320000,0.000000
5.191	6.330000,-68.010000,0.000000	89.880000,-10.010000,0.000000	89.120000,8.380000,0.000000
5.325	6.250000,-68.030000,0.000000	89.700000,-10.060000,0.000000	89.080000,8.190000,0.000000
5.460	6.740000,-68.110000,0.000000	89.670000,-10.060000,0.000000	89.060000,8.250000,0.000000
5.581	7.430000,-68.030000,0.000000	89.960000,-9.900000,0.000000	89.180000,7.980000,0.000000
5.715	7.790000,-67.800000,0.000000	89.800000,-9.560000,0.000000	89.220000,7.910000,0.000000
5.851	6.340000,-67.450000,0.000000	89.640000,-9.950000,0.000000	88.830000,7.530000,0.000000
5.971	5.600000,-67.040000,0.000000	89.530000,-10.440000,0.000000	88.730000,7.050000,0.000000
6.106	4.380000,-67.010000,0.000000	88.560000,-11.140000,0.000000	88.750000,6.240000,0.000000
6.240	2.020000,-66.320000,0.000000	87.660000,-12.260000,0.000000	88.600000,5.010000,0.000000
6.361	-0.060000,-66.280000,0.000000	87.100000,-13.870000,0.000000	88.910000,2.910000,0.000000
6.495	-1.750000,-66.620000,0.000000	86.710000,-16.750000,0.000000	89.100000,-0.140000,0.000000
6.630	-3.150000,-67.060000,0.000000	86.960000,-20.510000,0.000000	89.670000,-3.190000,0.000000
6.751	-4.240000,-67.930000,0.000000	87.010000,-25.450000,0.000000	90.770000,-6.960000,0.000000
6.885	-4.820000,-69.060000,0.000000	86.970000,-31.080000,0.000000	91.790000,-11.310000,0.000000
7.021	-6.700000,-70.100000,0.000000	86.150000,-36.530000,0.000000	92.600000,-16.220000,0.000000
7.140	-9.280000,-71.610000,0.000000	84.830000,-42.710000,0.000000	93.280000,-21.530000,0.000000
7.276	-14.710000,-72.880000,0.000000	81.430000,-49.190000,0.000000	94.730000,-27.070000,0.000000
7.411	-16.930000,-74.560000,0.000000	76.210000,-55.250000,0.000000	95.600000,-32.240000,0.000000
7.530	-23.810000,-75.720000,0.000000	70.980000,-61.380000,0.000000	95.960000,-37.640000,0.000000
7.666	-28.960000,-76.870000,0.000000	66.000000,-65.700000,0.000000	97.020000,-41.890000,0.000000
7.800	-34.900000,-77.570000,0.000000	62.330000,-70.500000,0.000000	97.890000,-45.750000,0.000000
7.920	-38.120000,-78.140000,0.000000	58.140000,-73.840000,0.000000	98.510000,-49.450000,0.000000
8.055	-42.120000,-78.970000,0.000000	54.460000,-76.690000,0.000000	99.150000,-52.120000,0.000000
8.191	-46.020000,-79.570000,0.000000	51.240000,-78.360000,0.000000	99.910000,-54.300000,0.000000
8.311	-47.690000,-80.030000,0.000000	49.390000,-79.890000,0.000000	100.790000,-55.870000,0.000000
8.445	-50.610000,-80.580000,0.000000	48.760000,-81.430000,0.000000	101.070000,-57.590000,0.000000
8.581	-52.600000,-81.120000,0.000000	48.390000,-83.000000,0.000000	101.240000,-58.600000,0.000000
8.700	-54.260000,-81.630000,0.000000	49.010000,-83.400000,0.000000	101.240000,-59.090000,0.000000
8.836	-56.800000,-82.110000,0.000000	47.990000,-83.850000,0.000000	101.120000,-60.090000,0.000000
8.971	-59.720000,-82.100000,0.000000	46.880000,-84.220000,0.000000	100.610000,-60.580000,0.000000
