time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.00000	-3.110000,-82.000000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.04352	-2.590000,-81.990000,0.000000	94.480000,10.960000,0.000000	90.620000,-8.710000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.10616	-2.220000,-82.140000,0.000000	94.510000,10.990000,0.000000	90.590000,-8.540000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.13085	-2.500000,-82.230000,0.000000	94.560000,10.980000,0.000000	90.590000,-8.500000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.17674	-2.510000,-82.240000,0.000000	94.600000,10.890000,0.000000	90.580000,-8.570000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.22600	-2.440000,-82.140000,0.000000	94.590000,10.860000,0.000000	90.590000,-8.640000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.25866	-2.600000,-82.110000,0.000000	94.590000,10.790000,0.000000	90.670000,-8.770000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.30747	-2.700000,-81.960000,0.000000	94.640000,10.910000,0.000000	90.700000,-8.690000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.35850	-2.700000,-82.090000,0.000000	94.660000,11.040000,0.000000	90.700000,-8.580000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.40577	-2.650000,-82.230000,0.000000	94.640000,11.180000,0.000000	90.660000,-8.420000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.44440	-2.170000,-82.220000,0.000000	94.640000,11.160000,0.000000	90.690000,-8.490000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.49301	-2.750000,-82.120000,0.000000	94.670000,11.110000,0.000000	90.780000,-8.570000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.54031	-3.050000,-82.150000,0.000000	94.750000,11.170000,0.000000	90.830000,-8.600000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.57574	-2.980000,-82.190000,0.000000	94.760000,11.250000,0.000000	90.830000,-8.450000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.62629	-2.040000,-82.250000,0.000000	94.830000,11.350000,0.000000	90.900000,-8.370000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.69030	-1.690000,-82.190000,0.000000	94.850000,11.410000,0.000000	90.880000,-8.300000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.70948	-1.530000,-82.060000,0.000000	94.880000,11.450000,0.000000	90.950000,-8.300000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.75926	-1.500000,-82.060000,0.000000	94.870000,11.490000,0.000000	91.050000,-8.250000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.80975	-1.150000,-82.110000,0.000000	94.950000,11.510000,0.000000	91.150000,-8.150000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.85540	-1.120000,-82.090000,0.000000	94.990000,11.630000,0.000000	91.220000,-8.150000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.89891	-1.370000,-82.080000,0.000000	95.010000,11.640000,0.000000	91.200000,-8.180000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.94401	-0.910000,-82.040000,0.000000	95.010000,11.670000,0.000000	91.240000,-8.230000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
0.99207	-0.310000,-82.070000,0.000000	95.060000,11.670000,0.000000	91.260000,-8.260000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
1.04232	-0.000000,-82.100000,0.000000	95.110000,11.700000,0.000000	91.330000,-8.270000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
1.07489	0.100000,-82.070000,0.000000	95.170000,11.750000,0.000000	91.330000,-8.160000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
1.14043	0.840000,-82.020000,0.000000	95.240000,11.820000,0.000000	91.280000,-8.150000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
1.16490	1.420000,-82.000000,0.000000	95.330000,11.850000,0.000000	91.310000,-8.100000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
1.22822	1.950000,-81.970000,0.000000	95.410000,11.980000,0.000000	91.280000,-7.990000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
1.26029	2.510000,-81.980000,0.000000	95.480000,12.050000,0.000000	91.300000,-8.000000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
1.33206	3.170000,-82.010000,0.000000	95.580000,12.120000,0.000000	91.380000,-7.900000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
1.39542	3.450000,-81.960000,0.000000	95.700000,12.190000,0.000000	91.290000,-7.820000,0.000000	94.460000,10.770000,0.000000	90.660000,-8.830000,0.000000
