time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.02406	149.940000,4.090000,0.000000	-22.930000,0.310000,0.000000	-163.390000,0.460000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.05989	149.930000,4.040000,0.000000	-22.970000,0.300000,0.000000	-163.360000,0.450000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.08808	149.920000,4.030000,0.000000	-22.950000,0.270000,0.000000	-163.410000,0.430000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.12148	149.920000,4.060000,0.000000	-22.950000,0.280000,0.000000	-163.420000,0.380000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.14836	149.930000,4.060000,0.000000	-22.900000,0.280000,0.000000	-163.420000,0.350000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.17873	149.890000,4.030000,0.000000	-22.900000,0.260000,0.000000	-163.370000,0.330000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.21111	149.900000,4.030000,0.000000	-22.940000,0.270000,0.000000	-163.320000,0.320000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.24149	149.890000,4.020000,0.000000	-22.960000,0.290000,0.000000	-163.270000,0.310000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.27118	149.880000,4.020000,0.000000	-22.910000,0.300000,0.000000	-163.330000,0.320000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.29712	149.850000,4.020000,0.000000	-22.890000,0.270000,0.000000	-163.360000,0.300000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.32897	149.850000,4.050000,0.000000	-22.870000,0.320000,0.000000	-163.400000,0.340000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.36119	149.850000,4.040000,0.000000	-22.880000,0.370000,0.000000	-163.390000,0.300000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.39256	149.850000,4.050000,0.000000	-22.880000,0.410000,0.000000	-163.380000,0.300000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.42403	149.830000,4.100000,0.000000	-22.890000,0.400000,0.000000	-163.420000,0.270000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.45266	149.890000,4.100000,0.000000	-22.910000,0.390000,0.000000	-163.360000,0.260000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.47594	149.840000,4.120000,0.000000	-22.900000,0.370000,0.000000	-163.370000,0.270000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.51009	149.830000,4.150000,0.000000	-22.910000,0.340000,0.000000	-163.380000,0.250000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.54061	149.850000,4.140000,0.000000	-22.890000,0.310000,0.000000	-163.330000,0.290000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.57064	149.860000,4.140000,0.000000	-22.880000,0.320000,0.000000	-163.380000,0.310000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.59860	149.870000,4.130000,0.000000	-22.900000,0.310000,0.000000	-163.460000,0.330000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.62683	149.920000,4.110000,0.000000	-22.880000,0.300000,0.000000	-163.360000,0.350000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.65549	149.930000,4.070000,0.000000	-23.000000,0.370000,0.000000	-163.350000,0.330000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.68915	149.940000,4.090000,0.000000	-23.080000,0.380000,0.000000	-163.340000,0.290000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.72091	149.890000,4.100000,0.000000	-23.080000,0.430000,0.000000	-163.360000,0.330000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
0.75062	149.850000,4.110000,0.000000	-23.060000,0.410000,0.000000	-163.400000,0.290000,0.000000	-22.920000,0.320000,0.000000	-163.400000,0.430000,0.000000
